Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Longley R., Robinson A., Liber J.A., Bryson A.E., Morales D.P., LaButti K., Riley R., Mondo S.J., Kuo A., Yoshinaga Y., Daum C., Barry K., Grigoriev I.V., Desirò A., Chain P.S.G., Bonito G.","57211448778;57193540752;57200792840;57218119257;56108230900;12795096400;36524070500;17346297000;23501793300;57189035262;52263425400;12791813200;57195934346;55319133700;35247755800;6507694449;","Comparative genomics of Mollicutes-related endobacteria supports a late invasion into Mucoromycota fungi",2023,"Communications Biology","6","1","948","","",,,"10.1038/s42003-023-05299-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171566042&doi=10.1038%2fs42003-023-05299-8&partnerID=40&md5=15e9714b8bf555c137fedb46e50898fd","Los Alamos National Laboratory, Los Alamos, NM, United States; Department of Microbiology and Molecular Genetics, Michigan State University, East Lansing, MI  48824, United States; Department of Biology, Duke University, Durham, NC  27704, United States; Department of Plant Soil and Microbial Sciences, Michigan State University, East Lansing, MI  48824, United States; United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Department of Agricultural Biology, Colorado State University, Fort Collins, CO  80521, United States; Department of Plant and Microbial Biology, University of California Berkeley, Berkeley, CA  94720, United States","Longley, R., Los Alamos National Laboratory, Los Alamos, NM, United States, Department of Microbiology and Molecular Genetics, Michigan State University, East Lansing, MI  48824, United States; Robinson, A., Los Alamos National Laboratory, Los Alamos, NM, United States; Liber, J.A., Department of Biology, Duke University, Durham, NC  27704, United States; Bryson, A.E., Department of Plant Soil and Microbial Sciences, Michigan State University, East Lansing, MI  48824, United States; Morales, D.P., Los Alamos National Laboratory, Los Alamos, NM, United States; LaButti, K., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Riley, R., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Mondo, S.J., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Department of Agricultural Biology, Colorado State University, Fort Collins, CO  80521, United States; Kuo, A., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Yoshinaga, Y., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Daum, C., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Barry, K., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Grigoriev, I.V., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Department of Plant and Microbial Biology, University of California Berkeley, Berkeley, CA  94720, United States; Desirò, A., Department of Plant Soil and Microbial Sciences, Michigan State University, East Lansing, MI  48824, United States; Chain, P.S.G., Los Alamos National Laboratory, Los Alamos, NM, United States; Bonito, G., Department of Microbiology and Molecular Genetics, Michigan State University, East Lansing, MI  48824, United States, Department of Plant Soil and Microbial Sciences, Michigan State University, East Lansing, MI  48824, United States","Bonito, G.; Department of Microbiology and Molecular Genetics, United States; email: bonito@msu.edu",,"Nature Research",23993642,,,"37723238","English","Commun. Biolog.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85171566042
"Chen R., Shi C., Zhang L., Tu C., Weiner J.","57200274468;58575551700;56796979500;55899194400;56211780300;","Potential role of kin selection in the transition from vegetative to reproductive allocation in plants",2023,"Journal of Plant Ecology","16","6","rtad025","","",,,"10.1093/jpe/rtad025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171158721&doi=10.1093%2fjpe%2frtad025&partnerID=40&md5=52395d3463cc169a04d0386976c28563","School of Life Science, Shanxi Normal University, Taiyuan, 030000, China; State Key Laboratory of Grassland Agro-Ecosystem, School of Life Sciences, Lanzhou University, Lanzhou, 730000, China; School of Economics and Management, Zhejiang Sci-Tech University, Hangzhou, 310000, China; Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA  94720, United States; Department of Plant and Environmental Sciences, University of Copenhagen, Frederiksberg, DK-1871, Denmark","Chen, R., School of Life Science, Shanxi Normal University, Taiyuan, 030000, China; Shi, C., School of Life Science, Shanxi Normal University, Taiyuan, 030000, China; Zhang, L., State Key Laboratory of Grassland Agro-Ecosystem, School of Life Sciences, Lanzhou University, Lanzhou, 730000, China; Tu, C., School of Economics and Management, Zhejiang Sci-Tech University, Hangzhou, 310000, China, Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA  94720, United States; Weiner, J., Department of Plant and Environmental Sciences, University of Copenhagen, Frederiksberg, DK-1871, Denmark","Chen, R.; School of Life Science, China; email: chenrf@sxnu.edu.cn
Tu, C.; School of Economics and Management, China; email: chengyitu1986@gmail.com",,"Oxford University Press",17529921,,,,"English","J. Plant Ecol.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85171158721
"Marciano D., Bellier L., Mayer I., Ruvalcaba M., Lee S., Hsu M., Knight R.T.","57519846300;57225114583;58280539000;58159490200;57193580787;35214685000;57413445100;","Dynamic expectations: Behavioral and electrophysiological evidence of sub-second updates in reward predictions",2023,"Communications Biology","6","1","871","","",,,"10.1038/s42003-023-05199-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168707928&doi=10.1038%2fs42003-023-05199-x&partnerID=40&md5=ae420c5a12a25af99e43caf7cd9d66ca","Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA, United States; Haas Business School, University of California, Berkeley, Berkeley, CA, United States; Department of Psychology, University of California, Berkeley, Berkeley, CA, United States","Marciano, D., Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA, United States, Haas Business School, University of California, Berkeley, Berkeley, CA, United States; Bellier, L., Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA, United States; Mayer, I., Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA, United States, Haas Business School, University of California, Berkeley, Berkeley, CA, United States; Ruvalcaba, M., Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA, United States; Lee, S., Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA, United States; Hsu, M., Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA, United States, Haas Business School, University of California, Berkeley, Berkeley, CA, United States; Knight, R.T., Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA, United States, Department of Psychology, University of California, Berkeley, Berkeley, CA, United States","Marciano, D.; Helen Wills Neuroscience Institute, United States; email: dvorah.marciano@gmail.com
Knight, R.T.; Helen Wills Neuroscience Institute, United States; email: rtknight@berkeley.edu",,"Nature Research",23993642,,,"37620589","English","Commun. Biolog.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85168707928
"Afsah-Hejri L., Rajaram P., O'Leary J., McGivern J., Baxter R., Mesbah A., Maboudian R., Ehsani R.","36697721300;57203574058;57196483192;58534372400;36545756100;57203053338;7006616139;23100009200;","Identification of volatile organic compounds (VOCs) by SPME-GC-MS to detect Aspergillus flavus infection in pistachios",2023,"Food Control","154",,"110033","","",,,"10.1016/j.foodcont.2023.110033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167778873&doi=10.1016%2fj.foodcont.2023.110033&partnerID=40&md5=f26c3768ebd632e889b0994bc3523a65","Department of Food Safety and Quality, School of Business, Science and Technology, Lakeland University, Plymouth, WI  53073, United States; Department of Chemistry and Biochemistry, School of Natural Sciences, University of California, Merced, CA  95343, United States; Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA  94720, United States; Department of Chemistry and Biochemistry, School of Business, Science and Technology, Lakeland University, Plymouth, WI  53073, United States; Department of Mechanical Engineering, School of Engineering, University of California, Merced, CA  95343, United States","Afsah-Hejri, L., Department of Food Safety and Quality, School of Business, Science and Technology, Lakeland University, Plymouth, WI  53073, United States, Department of Mechanical Engineering, School of Engineering, University of California, Merced, CA  95343, United States; Rajaram, P., Department of Chemistry and Biochemistry, School of Natural Sciences, University of California, Merced, CA  95343, United States; O'Leary, J., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA  94720, United States; McGivern, J., Department of Chemistry and Biochemistry, School of Business, Science and Technology, Lakeland University, Plymouth, WI  53073, United States; Baxter, R., Department of Chemistry and Biochemistry, School of Natural Sciences, University of California, Merced, CA  95343, United States; Mesbah, A., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA  94720, United States; Maboudian, R., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA  94720, United States; Ehsani, R., Department of Mechanical Engineering, School of Engineering, University of California, Merced, CA  95343, United States","Afsah-Hejri, L.; Department of Food Safety and Quality, United States; email: afsahhejril@lakeland.edu",,"Elsevier Ltd",09567135,,FOOCE,,"English","Food Control",Article,"Final","",Scopus,2-s2.0-85167778873
"Wang J.W., Squire H.J., Goh N.S., Ni H.M., Lien E., Wong C., González-Grandío E., Landry M.P.","57209694348;57209460265;57201793800;58533380800;58321653600;58533621200;55969549400;35574111800;","Delivered complementation in planta (DCIP) enables measurement of peptide-mediated protein delivery efficiency in plants",2023,"Communications Biology","6","1","840","","",,,"10.1038/s42003-023-05191-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167741966&doi=10.1038%2fs42003-023-05191-5&partnerID=40&md5=b5e866b7d33f3f0b45042be43daeee9b","Department of Chemical and Biomolecular Engineering, University of California, Berkeley, Berkeley, CA  94720, United States; Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States; Plant Molecular Genetics Department, Centro Nacional de Biotecnología-CSIC, Campus Universidad Autónoma de Madrid, Madrid, Spain; Innovative Genomics Institute, Berkeley, CA  94720, United States; California Institute for Quantitative Biosciences, University of California, Berkeley, Berkeley, CA  94720, United States; Chan Zuckerberg Biohub, San Francisco, CA  94063, United States","Wang, J.W., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, Berkeley, CA  94720, United States; Squire, H.J., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, Berkeley, CA  94720, United States; Goh, N.S., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, Berkeley, CA  94720, United States; Ni, H.M., Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States; Lien, E., Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States; Wong, C., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, Berkeley, CA  94720, United States; González-Grandío, E., Plant Molecular Genetics Department, Centro Nacional de Biotecnología-CSIC, Campus Universidad Autónoma de Madrid, Madrid, Spain; Landry, M.P., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, Berkeley, CA  94720, United States, Innovative Genomics Institute, Berkeley, CA  94720, United States, California Institute for Quantitative Biosciences, University of California, Berkeley, Berkeley, CA  94720, United States, Chan Zuckerberg Biohub, San Francisco, CA  94063, United States","Landry, M.P.; Department of Chemical and Biomolecular Engineering, United States; email: landry@berkeley.edu",,"Nature Research",23993642,,,"37573467","English","Commun. Biolog.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85167741966
"Huang Y.-H., Owen-Smith N., Henley M.D., Kilian J.W., Kamath P.L., Ochai S.O., van Heerden H., Mfune J.K.E., Getz W.M., Turner W.C.","57224107379;7004084904;36186730000;24765183200;42061430100;57219305941;6602669346;55822886100;7006533560;8840463100;","Variation in herbivore space use: comparing two savanna ecosystems with different anthrax outbreak patterns in southern Africa",2023,"Movement Ecology","11","1","46","","",,,"10.1186/s40462-023-00385-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167426726&doi=10.1186%2fs40462-023-00385-2&partnerID=40&md5=0196a568619d79f8acf09bd133840eea","Wisconsin Cooperative Wildlife Research Unit, Department of Forest and Wildlife Ecology, University of Wisconsin-Madison, Madison, WI  53706, United States; Centre for African Ecology, School of Animal, Plant and Environmental Sciences, University of the Witwatersrand, Wits, 2050, South Africa; Applied Behavioural Ecology and Ecosystem Research Unit, School of Environmental Sciences, University of South Africa, Florida, Johannesburg, 1710, South Africa; Elephants Alive, Ekuthuleni Shareblock Ltd, Hoedspruit, 1380, South Africa; Department of Philosophy, Faculty of Humanities, University of Johannesburg, Auckland Park, 2006, South Africa; Etosha Ecological Institute (retired), Etosha National Park, Ministry of Environment, Forestry and Tourism, Okaukuejo, Namibia; School of Food and Agriculture, University of Maine, Orono, ME  04469, United States; Department of Veterinary Tropical Diseases, University of Pretoria, Onderstepoort, South Africa; Department of Environmental Science, University of Namibia, Windhoek, Namibia; Department of Environmental Science, Policy & Management, University of California, Berkeley, CA  94704, United States; School of Mathematical Sciences, University of KwaZulu-Natal, Durban, South Africa; Wisconsin Cooperative Wildlife Research Unit, U.S. Geological Survey, Department of Forest and Wildlife Ecology, University of Wisconsin-Madison, Madison, WI  53706, United States","Huang, Y.-H., Wisconsin Cooperative Wildlife Research Unit, Department of Forest and Wildlife Ecology, University of Wisconsin-Madison, Madison, WI  53706, United States; Owen-Smith, N., Centre for African Ecology, School of Animal, Plant and Environmental Sciences, University of the Witwatersrand, Wits, 2050, South Africa; Henley, M.D., Applied Behavioural Ecology and Ecosystem Research Unit, School of Environmental Sciences, University of South Africa, Florida, Johannesburg, 1710, South Africa, Elephants Alive, Ekuthuleni Shareblock Ltd, Hoedspruit, 1380, South Africa, Department of Philosophy, Faculty of Humanities, University of Johannesburg, Auckland Park, 2006, South Africa; Kilian, J.W., Etosha Ecological Institute (retired), Etosha National Park, Ministry of Environment, Forestry and Tourism, Okaukuejo, Namibia; Kamath, P.L., School of Food and Agriculture, University of Maine, Orono, ME  04469, United States; Ochai, S.O., Department of Veterinary Tropical Diseases, University of Pretoria, Onderstepoort, South Africa; van Heerden, H., Department of Veterinary Tropical Diseases, University of Pretoria, Onderstepoort, South Africa; Mfune, J.K.E., Department of Environmental Science, University of Namibia, Windhoek, Namibia; Getz, W.M., Department of Environmental Science, Policy & Management, University of California, Berkeley, CA  94704, United States, School of Mathematical Sciences, University of KwaZulu-Natal, Durban, South Africa; Turner, W.C., Wisconsin Cooperative Wildlife Research Unit, U.S. Geological Survey, Department of Forest and Wildlife Ecology, University of Wisconsin-Madison, Madison, WI  53706, United States","Huang, Y.-H.; Wisconsin Cooperative Wildlife Research Unit, United States; email: yhhuang0324@gmail.com",,"BioMed Central Ltd",20513933,,,,"English","Mov. Ecol.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85167426726
"Jagota M., Ye C., Albors C., Rastogi R., Koehl A., Ioannidis N., Song Y.S.","56644908600;58524178700;57221320645;58402280500;56592782800;56746207400;35231093900;","Cross-protein transfer learning substantially improves disease variant prediction",2023,"Genome Biology","24","1","182","","",,,"10.1186/s13059-023-03024-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166783322&doi=10.1186%2fs13059-023-03024-6&partnerID=40&md5=ece6eb9fce5c1d888479897ace22e12c","Computer Science Division, University of California, Berkeley, CA  94720, United States; Department of Statistics, University of California, Berkeley, CA  94720, United States; Chan Zuckerberg Biohub, San Francisco, CA  94158, United States; Center for Computational Biology, University of California, Berkeley, CA  94720, United States","Jagota, M., Computer Science Division, University of California, Berkeley, CA  94720, United States; Ye, C., Department of Statistics, University of California, Berkeley, CA  94720, United States; Albors, C., Computer Science Division, University of California, Berkeley, CA  94720, United States; Rastogi, R., Computer Science Division, University of California, Berkeley, CA  94720, United States; Koehl, A., Department of Statistics, University of California, Berkeley, CA  94720, United States; Ioannidis, N., Computer Science Division, University of California, Berkeley, CA  94720, United States, Chan Zuckerberg Biohub, San Francisco, CA  94158, United States, Center for Computational Biology, University of California, Berkeley, CA  94720, United States; Song, Y.S., Computer Science Division, University of California, Berkeley, CA  94720, United States, Department of Statistics, University of California, Berkeley, CA  94720, United States, Center for Computational Biology, University of California, Berkeley, CA  94720, United States","Song, Y.S.; Computer Science Division, United States; email: yss@berkeley.edu",,"BioMed Central Ltd",14747596,,GNBLF,"37550700","English","Genome Biol.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85166783322
"Lewin-Epstein O., Jaques Y., Feldman M.W., Kaufer D., Hadany L.","57192951829;57944030300;35429106600;7005732331;57204228231;","Evolutionary modeling suggests that addictions may be driven by competition-induced microbiome dysbiosis",2023,"Communications Biology","6","1","782","","",,,"10.1038/s42003-023-05099-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165930716&doi=10.1038%2fs42003-023-05099-0&partnerID=40&md5=057e27cf18111aa86e06677e7900e64d","School of Plant Sciences and Food Security, Tel Aviv University, Tel Aviv, 6997801, Israel; Center for Computational and Integrative Biology, Massachusetts General Hospital and Harvard Medical School, Boston, MA  02114, United States; Broad Institute of MIT and Harvard, Cambridge, MA  02142, United States; Helen Wills Neuroscience Institute, University of California, Berkeley, CA  94720, United States; Department of Biology, Stanford University, Stanford, CA  94305, United States; Department of Integrative Biology, University of California, Berkeley, CA  94720, United States; Sagol school of neuroscience, Tel Aviv University, Tel Aviv, 6997801, Israel","Lewin-Epstein, O., School of Plant Sciences and Food Security, Tel Aviv University, Tel Aviv, 6997801, Israel, Center for Computational and Integrative Biology, Massachusetts General Hospital and Harvard Medical School, Boston, MA  02114, United States, Broad Institute of MIT and Harvard, Cambridge, MA  02142, United States; Jaques, Y., Helen Wills Neuroscience Institute, University of California, Berkeley, CA  94720, United States; Feldman, M.W., Department of Biology, Stanford University, Stanford, CA  94305, United States; Kaufer, D., Helen Wills Neuroscience Institute, University of California, Berkeley, CA  94720, United States, Department of Integrative Biology, University of California, Berkeley, CA  94720, United States; Hadany, L., School of Plant Sciences and Food Security, Tel Aviv University, Tel Aviv, 6997801, Israel, Sagol school of neuroscience, Tel Aviv University, Tel Aviv, 6997801, Israel","Lewin-Epstein, O.; School of Plant Sciences and Food Security, Israel; email: ohadletaz@gmail.com
Hadany, L.; School of Plant Sciences and Food Security, Israel; email: lilach.hadany@gmail.com",,"Nature Research",23993642,,,"37495841","English","Commun. Biolog.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85165930716
"Hankin L.E., Anderson C.T., Dickman G.J., Bevington P., Stephens S.L.","57202572877;57210846855;57885441100;58143673100;7102649054;","How forest management changed the course of the Washburn fire and the fate of Yosemite’s giant sequoias (Sequoiadendron giganteum)",2023,"Fire Ecology","19","1","40","","",,,"10.1186/s42408-023-00202-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165266446&doi=10.1186%2fs42408-023-00202-6&partnerID=40&md5=eb0a8145974839587524c45c81d0fcd6","National Park Service, Yosemite National Park, El Portal, CA, United States; Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA, United States","Hankin, L.E., National Park Service, Yosemite National Park, El Portal, CA, United States; Anderson, C.T., National Park Service, Yosemite National Park, El Portal, CA, United States; Dickman, G.J., National Park Service, Yosemite National Park, El Portal, CA, United States; Bevington, P., National Park Service, Yosemite National Park, El Portal, CA, United States; Stephens, S.L., Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA, United States","Hankin, L.E.; National Park Service, United States; email: lacey_hankin@nps.gov",,"Springer Science and Business Media Deutschland GmbH",19339747,,,,"English","Fire Ecol.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85165266446
"Darimont C.T., Cooke R., Bourbonnais M.L., Bryan H.M., Carlson S.M., Estes J.A., Galetti M., Levi T., MacLean J.L., McKechnie I., Paquet P.C., Worm B.","36832400400;57200382071;55945356000;18436176500;35387659000;7103178276;7004205870;22035083500;58413264200;22035607000;7006661830;6701786317;","Humanity’s diverse predatory niche and its ecological consequences",2023,"Communications Biology","6","1","609","","",,,"10.1038/s42003-023-04940-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163790824&doi=10.1038%2fs42003-023-04940-w&partnerID=40&md5=8695ddfecb8c4f489cafa4e6fa31a94a","Department of Geography, University of Victoria, Victoria, BC, Canada; Raincoast Conservation Foundation, Sidney, BC, Canada; UK Centre for Ecology & Hydrology, Wallingford, United Kingdom; Department of Earth, Environmental, and Geographic Sciences, University of British Columbia Okanagan, Kelowna, BC, Canada; Department of Ecosystem Science and Management, University of Northern British Columbia, Prince George, BC, Canada; Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA, United States; Department of Ecology and Evolutionary Biology, University of California, Santa Cruz, CA, United States; São Paulo State University (UNESP), Department of Biodiversity, São Paulo, Rio Claro, Brazil; Kimberly Green Latin American and Caribbean Center, Florida International University (FIU), Miami, FL, United States; Department of Fisheries, Wildlife, and Conservation Sciences, Oregon State University, Corvallis, OR, United States; Department of Anthropology, University of Victoria, Victoria, BC, Canada; Hakai Institute, Heriot Bay, Quadra Island, BC, Canada; Department of Biology, Dalhousie University, Halifax, NS, Canada; Ocean Frontier Institute, Dalhousie University, Halifax, NS, Canada","Darimont, C.T., Department of Geography, University of Victoria, Victoria, BC, Canada, Raincoast Conservation Foundation, Sidney, BC, Canada; Cooke, R., UK Centre for Ecology & Hydrology, Wallingford, United Kingdom; Bourbonnais, M.L., Department of Earth, Environmental, and Geographic Sciences, University of British Columbia Okanagan, Kelowna, BC, Canada; Bryan, H.M., Raincoast Conservation Foundation, Sidney, BC, Canada, Department of Ecosystem Science and Management, University of Northern British Columbia, Prince George, BC, Canada; Carlson, S.M., Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA, United States; Estes, J.A., Department of Ecology and Evolutionary Biology, University of California, Santa Cruz, CA, United States; Galetti, M., São Paulo State University (UNESP), Department of Biodiversity, São Paulo, Rio Claro, Brazil, Kimberly Green Latin American and Caribbean Center, Florida International University (FIU), Miami, FL, United States; Levi, T., Department of Fisheries, Wildlife, and Conservation Sciences, Oregon State University, Corvallis, OR, United States; MacLean, J.L., Department of Geography, University of Victoria, Victoria, BC, Canada, Raincoast Conservation Foundation, Sidney, BC, Canada; McKechnie, I., Department of Anthropology, University of Victoria, Victoria, BC, Canada, Hakai Institute, Heriot Bay, Quadra Island, BC, Canada; Paquet, P.C., Department of Geography, University of Victoria, Victoria, BC, Canada, Raincoast Conservation Foundation, Sidney, BC, Canada; Worm, B., Department of Biology, Dalhousie University, Halifax, NS, Canada, Ocean Frontier Institute, Dalhousie University, Halifax, NS, Canada","Darimont, C.T.; Department of Geography, Canada; email: darimont@uvic.ca
Cooke, R.; UK Centre for Ecology & HydrologyUnited Kingdom; email: RobOke@ceh.ac.uk",,"Nature Research",23993642,,,"37386144","English","Commun. Biolog.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85163790824
