Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Nadler E.O., Darragh-Ford E., Desikan B.S., Conaway C., Chu M., Hull T., Guilbeault D.","57201114001;57211745129;57202579427;58581953000;57216991203;57221325332;57190262951;","Divergences in color perception between deep neural networks and humans",2023,"Cognition","241",,"105621","","",,,"10.1016/j.cognition.2023.105621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171358370&doi=10.1016%2fj.cognition.2023.105621&partnerID=40&md5=d347de6d59bee31c5bcc677ad893aeab","Carnegie Observatories, United States; Department of Physics, University of Southern California, United States; Kavli Institute for Particle Astrophysics and Cosmology and Department of Physics, Stanford University, United States; School of Computer and Communication Sciences, École Polytechnique Fédérale de Lausanne, Switzerland; Knowledge Lab, University of Chicago, United States; University of California, San Diego, United States; School of the Arts, Columbia University, United States; Psiphon Inc., Toronto, Canada; Haas School of Business, University of California, Berkeley, United States","Nadler, E.O., Carnegie Observatories, United States, Department of Physics, University of Southern California, United States; Darragh-Ford, E., Kavli Institute for Particle Astrophysics and Cosmology and Department of Physics, Stanford University, United States; Desikan, B.S., School of Computer and Communication Sciences, École Polytechnique Fédérale de Lausanne, Switzerland, Knowledge Lab, University of Chicago, United States; Conaway, C., University of California, San Diego, United States; Chu, M., School of the Arts, Columbia University, United States; Hull, T., Psiphon Inc., Toronto, Canada; Guilbeault, D., Haas School of Business, University of California, Berkeley, United States","Nadler, E.O.; Carnegie ObservatoriesUnited States; email: enadler@carnegiescience.edu
Guilbeault, D.; Haas School of Business, United States; email: douglas.guilbeault@haas.berkeley.edu",,"Elsevier B.V.",00100277,,CGTNA,,"English","Cognition",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85171358370
"Fudolig M.I., Alshaabi T., Cramer K., Danforth C.M., Dodds P.S.","56296933700;57214781899;57854947000;12808716500;57897460000;","A decomposition of book structure through ousiometric fluctuations in cumulative word-time",2023,"Humanities and Social Sciences Communications","10","1","187","","",,,"10.1057/s41599-023-01680-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156220914&doi=10.1057%2fs41599-023-01680-4&partnerID=40&md5=c0a47a2d86b1841f34886e4582fca03a","Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States; Advanced Bioimaging Center, UC Berkeley, Berkeley, CA, United States; Department of Mathematics & Statistics, University of Vermont, Burlington, VT, United States; Department of Computer Science, University of Vermont, Burlington, VT, United States","Fudolig, M.I., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States; Alshaabi, T., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States, Advanced Bioimaging Center, UC Berkeley, Berkeley, CA, United States; Cramer, K., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States; Danforth, C.M., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States, Department of Mathematics & Statistics, University of Vermont, Burlington, VT, United States; Dodds, P.S., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States, Department of Computer Science, University of Vermont, Burlington, VT, United States","Fudolig, M.I.; Computational Story Lab, United States; email: mikaela.fudolig@uvm.edu",,"Springer Nature",26629992,,,,"English","Hum. Soc. Sci. Comm",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85156220914
"Cella C.-E., Ghisi D., Maresz Y., Petrolati A., Teiller A., Esling P.","36614069100;52563476100;55669287200;58223245000;57210897028;36052697700;","Dynamic Computer-Aided Orchestration in Practice with Orchidea",2023,"Computer Music Journal","45","4",,"40","56",,1,"10.1162/COMJ_a_00629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156210996&doi=10.1162%2fCOMJ_a_00629&partnerID=40&md5=451a64ec4b56b0bd2803df724ca9ade3","University of California Berkeley Center for New Music and Audio Technologies, 1750 Arch Street, Berkeley, CA  94709, United States","Cella, C.-E., University of California Berkeley Center for New Music and Audio Technologies, 1750 Arch Street, Berkeley, CA  94709, United States; Ghisi, D., University of California Berkeley Center for New Music and Audio Technologies, 1750 Arch Street, Berkeley, CA  94709, United States; Maresz, Y., University of California Berkeley Center for New Music and Audio Technologies, 1750 Arch Street, Berkeley, CA  94709, United States; Petrolati, A., University of California Berkeley Center for New Music and Audio Technologies, 1750 Arch Street, Berkeley, CA  94709, United States; Teiller, A., University of California Berkeley Center for New Music and Audio Technologies, 1750 Arch Street, Berkeley, CA  94709, United States; Esling, P., University of California Berkeley Center for New Music and Audio Technologies, 1750 Arch Street, Berkeley, CA  94709, United States",,,"MIT Press Journals",01489267,,CMUJD,,"English","Comput Music J",Article,"Final","",Scopus,2-s2.0-85156210996
"Katz E.","55227736600;","Dusting Off the Before-Lives of Resistance",2023,"Jewish Quarterly Review","113","1",,"23","29",,,"10.1353/jqr.2023.0006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154558749&doi=10.1353%2fjqr.2023.0006&partnerID=40&md5=64c55f2bfc167192c0595a5313de8a6b","University of California, Berkeley, United States","Katz, E., University of California, Berkeley, United States","Katz, E.; University of CaliforniaUnited States",,"University of Pennsylvania Press",00216682,,,,"English","Jew. Q. Rev.",Article,"Final","",Scopus,2-s2.0-85154558749
"Gopnik A.","7004056086;","Caregiving in Philosophy, Biology & Political Economy",2023,"Daedalus","152","1",,"58","69",,2,"10.1162/daed_a_01961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149242671&doi=10.1162%2fdaed_a_01961&partnerID=40&md5=a9d029da702139c64e1ef5cc8e13c07c","University of California, Berkeley, United States","Gopnik, A., University of California, Berkeley, United States","Gopnik, A.; University of California, United States",,"MIT Press Journals",00115266,,,,"English","Daedalus",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85149242671
"Farrell H., Fourcade M.","35917780400;14319001200;","The Moral Economy of High-Tech Modernism",2023,"Daedalus","152","1",,"225","235",,3,"10.1162/daed_a_01982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149240643&doi=10.1162%2fdaed_a_01982&partnerID=40&md5=553cdda750c7a582d3cb14518cb8943d","Johns Hopkins School of Advanced International Studies, United States; University of California, Berkeley, United States","Farrell, H., Johns Hopkins School of Advanced International Studies, United States; Fourcade, M., University of California, Berkeley, United States",,,"MIT Press Journals",00115266,,,,"English","Daedalus",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85149240643
"Cohen J., Locke R.","57213162274;7005120776;","Doing Well by Doing Right",2023,"Daedalus","152","1",,"143","148",,,"10.1162/daed_a_01971","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149217492&doi=10.1162%2fdaed_a_01971&partnerID=40&md5=6dfb4058d1e344a05b6835f0bdacf8f6","University of California, Berkeley, United States","Cohen, J., University of California, Berkeley, United States; Locke, R., University of California, Berkeley, United States",,,"MIT Press Journals",00115266,,,,"English","Daedalus",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85149217492
"Fanti G., Siefker R.","6603726109;58510992600;","The Holy Fire and the Divine Photography: The Image of the Holy Shroud of Christ",2023,"The Holy Fire and the Divine Photography: The Image of the Holy Shroud of Christ",,,,"1","359",,,"10.1201/9781003454441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166063154&doi=10.1201%2f9781003454441&partnerID=40&md5=4549449b4a9baf6376a60194aff05f30","University of Padua, Italy; University of California, Berkeley, United States","Fanti, G., University of Padua, Italy; Siefker, R., University of California, Berkeley, United States","Fanti, G.; University of PaduaItaly",,"Pan Stanford Publishing Pte. Ltd.",,9781000987270; 9789814968911,,,"English","The Holy Fire and the Divine Photogr.: The Image of the Holy Shroud of Christ",Book,"Final","",Scopus,2-s2.0-85166063154
"Passi L.","58611855500;","Promising by Normative Assurance",2023,"Philosophical Quarterly","73","4",,"1004","1023",,,"10.1093/pq/pqad068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171853727&doi=10.1093%2fpq%2fpqad068&partnerID=40&md5=1004a18887864ed62c2cda282ad6ebf3","University of California, Berkeley, United States","Passi, L., University of California, Berkeley, United States","Passi, L.; University of CaliforniaUnited States",,"Oxford University Press",00318094,,,,"English","Philos. Q.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85171853727
"Marom R., Taxel I.","57209651738;26034697700;","Ḥamāma: The historical geography of settlement continuity and change in Majdal ‘Asqalan's hinterland, 1270–1750 CE",2023,"Journal of Historical Geography","82",,,"49","65",,,"10.1016/j.jhg.2023.08.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171335531&doi=10.1016%2fj.jhg.2023.08.003&partnerID=40&md5=933f690eece0d4f54ba6021d7c69dfde","Department of History, University of California (Berkeley), 340 Stephens Hall, Berkeley, CA  94720, United States; Archaeological Research Department, Israel Antiquities Authority, P.O.B. 586, Jerusalem, 91004, United States","Marom, R., Department of History, University of California (Berkeley), 340 Stephens Hall, Berkeley, CA  94720, United States; Taxel, I., Archaeological Research Department, Israel Antiquities Authority, P.O.B. 586, Jerusalem, 91004, United States","Marom, R.; Department of History, 340 Stephens Hall, United States; email: mighemi@gmail.com",,"Academic Press",03057488,,,,"English","J. Hist. Geogr.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85171335531
