Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Hartwich E., Rieger A., Sedlmeir J., Jurek D., Fridgen G.","57901199300;57190400303;57209206051;58498020400;54083028500;","Machine economies",2023,"Electronic Markets","33","1","36","","",,,"10.1007/s12525-023-00649-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165391127&doi=10.1007%2fs12525-023-00649-0&partnerID=40&md5=489091fbeb93d4efb1ee537c881beabf","SnT - Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg; Haas School of Business, University of California, Berkeley, CA, United States","Hartwich, E., SnT - Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg; Rieger, A., SnT - Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg; Sedlmeir, J., SnT - Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg; Jurek, D., Haas School of Business, University of California, Berkeley, CA, United States; Fridgen, G., SnT - Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg","Hartwich, E.; SnT - Interdisciplinary Centre for Security, Luxembourg; email: eduard.hartwich@uni.lu",,"Springer Science and Business Media Deutschland GmbH",10196781,,,,"English","Electron. Mark.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85165391127
"Fudolig M.I., Alshaabi T., Cramer K., Danforth C.M., Dodds P.S.","56296933700;57214781899;57854947000;12808716500;57897460000;","A decomposition of book structure through ousiometric fluctuations in cumulative word-time",2023,"Humanities and Social Sciences Communications","10","1","187","","",,,"10.1057/s41599-023-01680-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156220914&doi=10.1057%2fs41599-023-01680-4&partnerID=40&md5=c0a47a2d86b1841f34886e4582fca03a","Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States; Advanced Bioimaging Center, UC Berkeley, Berkeley, CA, United States; Department of Mathematics & Statistics, University of Vermont, Burlington, VT, United States; Department of Computer Science, University of Vermont, Burlington, VT, United States","Fudolig, M.I., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States; Alshaabi, T., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States, Advanced Bioimaging Center, UC Berkeley, Berkeley, CA, United States; Cramer, K., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States; Danforth, C.M., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States, Department of Mathematics & Statistics, University of Vermont, Burlington, VT, United States; Dodds, P.S., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States, Department of Computer Science, University of Vermont, Burlington, VT, United States","Fudolig, M.I.; Computational Story Lab, United States; email: mikaela.fudolig@uvm.edu",,"Springer Nature",26629992,,,,"English","Hum. Soc. Sci. Comm",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85156220914
"Yu X., Zhang T., Bogers M.L.A.M.","57208391785;58366494100;36117631500;","Why do user innovators want to pursue user entrepreneurship? On the influence of the communitarian identity",2023,"Journal of Business Venturing Insights","20",,"e00414","","",,,"10.1016/j.jbvi.2023.e00414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165701192&doi=10.1016%2fj.jbvi.2023.e00414&partnerID=40&md5=d4ba7f0f6230c1517e37ff31e9b33052","Chongqing University of Posts and Telecommunications, School of Economics and Management, Chongwen-road 2, Chongqing, 40000, China; Eindhoven University of Technology, Department of Industrial Engineering & Innovation Science, PO Box 513, MB Eindhoven, 5600, Netherlands; University of Copenhagen, Department of Food and Resource Economics, Rolighedsvej 23, Frederiksberg C, DK-1958, Denmark; University of California, Berkeley, Garwood Center for Corporate Innovation, F402 Haas School of Business, Berkeley, CA  94720-1930,, United States","Yu, X., Chongqing University of Posts and Telecommunications, School of Economics and Management, Chongwen-road 2, Chongqing, 40000, China; Zhang, T., Chongqing University of Posts and Telecommunications, School of Economics and Management, Chongwen-road 2, Chongqing, 40000, China; Bogers, M.L.A.M., Eindhoven University of Technology, Department of Industrial Engineering & Innovation Science, PO Box 513, MB Eindhoven, 5600, Netherlands, University of Copenhagen, Department of Food and Resource Economics, Rolighedsvej 23, Frederiksberg C, DK-1958, Denmark, University of California, Berkeley, Garwood Center for Corporate Innovation, F402 Haas School of Business, Berkeley, CA  94720-1930,, United States","Yu, X.; Chongqing University of Posts and Telecommunications, Chongwen-road 2, China; email: yuxin@cqupt.edu.cn",,"Elsevier Inc.",23526734,,,,"English","J. Bus. Ventur. Insights",Article,"Final","",Scopus,2-s2.0-85165701192
"Brick C., Schneider D., Harknett K.","58044637400;56747064600;10140040000;","The Gender Wage Gap, Between-Firm Inequality, and Devaluation: Testing a New Hypothesis in the Service Sector",2023,"Work and Occupations","50","4",,"539","577",,1,"10.1177/07308884221141072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145677306&doi=10.1177%2f07308884221141072&partnerID=40&md5=d857fcdce2e58862d125e25dfbb7a651","Department of Sociology, UC Berkeley, Berkeley, CA, United States; Harvard Kennedy School, Department of Sociology, Harvard University, Cambridge, MA, United States; Department of Social and Behavioral Sciences, UC San Francisco, San Francisco, CA, United States","Brick, C., Department of Sociology, UC Berkeley, Berkeley, CA, United States; Schneider, D., Harvard Kennedy School, Department of Sociology, Harvard University, Cambridge, MA, United States; Harknett, K., Department of Social and Behavioral Sciences, UC San Francisco, San Francisco, CA, United States","Brick, C.; Department of Sociology, United States; email: carmenbrick@berkeley.edu",,"SAGE Publications Inc.",07308884,,,,"English","Work Occup.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85145677306
"Cooper G.A., Doyle F.M., Evans J.W.","58560055600;7102653679;57197523282;","Harriet Kildahl, Li Wang, Lige Tong, Yulong Ding, “Cost effective decarbonisation of blast furnace -basic oxygen furnace steel production through thermochemical sector coupling”, Journal of Cleaner Production 389 (2023) 135963",2023,"Journal of Cleaner Production","422",,"138504","","",,,"10.1016/j.jclepro.2023.138504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169601839&doi=10.1016%2fj.jclepro.2023.138504&partnerID=40&md5=11c10b58991ac9e471d9f8641f2506f9","Department of Civil & Environmental Engineering, University of California, Berkeley, United States; Department of Materials Science & Engineering, University of California, Berkeley, United States","Cooper, G.A., Department of Civil & Environmental Engineering, University of California, Berkeley, United States; Doyle, F.M., Department of Materials Science & Engineering, University of California, Berkeley, United States; Evans, J.W., Department of Materials Science & Engineering, University of California, Berkeley, United States","Doyle, F.M.; Department of Materials Science & Engineering, United States; email: fmdoyle@berkeley.edu",,"Elsevier Ltd",09596526,,JCROE,,"English","J. Clean. Prod.",Letter,"Final","",Scopus,2-s2.0-85169601839
"Singh V.V., Tommelein I.D.","57223104208;7004273354;","Visual Workload Leveling and Zoning Using Work Density Method for Construction Process Planning",2023,"Journal of Construction Engineering and Management","149","10","04023102","","",,,"10.1061/JCEMD4.COENG-13377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167795038&doi=10.1061%2fJCEMD4.COENG-13377&partnerID=40&md5=62f4c2896a44a506bdc37f1fd8891a92","Project Production Systems Laboratory, Dept. of Civil and Environmental Engineering, Univ. of California, Berkeley, CA  94720-1712, United States","Singh, V.V., Project Production Systems Laboratory, Dept. of Civil and Environmental Engineering, Univ. of California, Berkeley, CA  94720-1712, United States; Tommelein, I.D., Project Production Systems Laboratory, Dept. of Civil and Environmental Engineering, Univ. of California, Berkeley, CA  94720-1712, United States","Singh, V.V.; Project Production Systems Laboratory, United States; email: visheshvs@berkeley.edu",,"American Society of Civil Engineers (ASCE)",07339364,,JCEMD,,"English","J Constr Eng Manage",Article,"Final","",Scopus,2-s2.0-85167795038
"Dorr E., Goldstein B., Aubry C., Gabrielle B., Horvath A.","57216193686;55653484800;55920303700;6603049348;57216819141;","Best practices for consistent and reliable life cycle assessments of urban agriculture",2023,"Journal of Cleaner Production","419",,"138010","","",,,"10.1016/j.jclepro.2023.138010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166332456&doi=10.1016%2fj.jclepro.2023.138010&partnerID=40&md5=070bd444eb49512e0533dbf014aaf065","Université Paris-Saclay, INRAE, AgroParisTech, UMR SAD-APT, Palaiseau, France; Université Paris-Saclay, INRAE, AgroParisTech, UMR ECOSYS, Palaiseau, France; McGill University, Faculty of Agricultural and Environmental Sciences, Canada; Department of Civil and Environmental Engineering, University of California, Berkeley, United States","Dorr, E., Université Paris-Saclay, INRAE, AgroParisTech, UMR SAD-APT, Palaiseau, France, Université Paris-Saclay, INRAE, AgroParisTech, UMR ECOSYS, Palaiseau, France; Goldstein, B., McGill University, Faculty of Agricultural and Environmental Sciences, Canada; Aubry, C., Université Paris-Saclay, INRAE, AgroParisTech, UMR SAD-APT, Palaiseau, France; Gabrielle, B., Université Paris-Saclay, INRAE, AgroParisTech, UMR ECOSYS, Palaiseau, France; Horvath, A., Department of Civil and Environmental Engineering, University of California, Berkeley, United States","Gabrielle, B.; Université Paris-Saclay, France; email: Benoit.gabrielle@agroparistech.fr",,"Elsevier Ltd",09596526,,JCROE,,"English","J. Clean. Prod.",Article,"Final","",Scopus,2-s2.0-85166332456
"Chandrakanth M.G., Patil K.K.R., Anitha N., Lokesh G.B.","6603429364;55836674300;58564863900;57193259644;","The saga of research in water resource economics",2023,"Agricultural Sector in India: Accelerating Growth and Enhancing Competitiveness",,,,"49","62",,,"10.4324/9781003434672-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169998252&doi=10.4324%2f9781003434672-5&partnerID=40&md5=a7a9520526cd9eaeb97aafd4873218e2","University of California, Berkeley, United States; College of Agriculture, University of Agricultural and Horticultural Sciences, Iruvakki, Shivamogga, India; Department of Agricultural Economics, University of Agricultural Sciences, Bangalore, India; Department of Agricultural Economics, UAS, Raichur, India","Chandrakanth, M.G., University of California, Berkeley, United States; Patil, K.K.R., College of Agriculture, University of Agricultural and Horticultural Sciences, Iruvakki, Shivamogga, India; Anitha, N., Department of Agricultural Economics, University of Agricultural Sciences, Bangalore, India; Lokesh, G.B., Department of Agricultural Economics, UAS, Raichur, India","Chandrakanth, M.G.; University of CaliforniaUnited States",,"Taylor and Francis",,9781003434672; 9781032342269,,,"English","Agric. Sect. in India: Accel. Growth and Enhancing Compet.",Book Chapter,"Final","",Scopus,2-s2.0-85169998252
"Chandrakanth M.G.","6603429364;","The doyen professor R. Ramanna: A tribute",2023,"Agricultural Sector in India: Accelerating Growth and Enhancing Competitiveness",,,,"xxviii","xxxvii",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169998032&partnerID=40&md5=c79c0c7aa838f4b1f1ee741653664d72","University of California, Berkeley, United States","Chandrakanth, M.G., University of California, Berkeley, United States","Chandrakanth, M.G.; University of CaliforniaUnited States",,"Taylor and Francis",,9781003434672; 9781032342269,,,"English","Agric. Sect. in India: Accel. Growth and Enhancing Compet.",Book Chapter,"Final","",Scopus,2-s2.0-85169998032
"Zelnik R.E.","56586807800;","Law and disorder on the Narova River: The Kreenholm strike of 1872",2023,"Law and Disorder on the Narova River: The Kreenholm Strike of 1872",,,,"1","308",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170624505&partnerID=40&md5=3bae4286d0fdd08a95ca507833d5e58e","University of California, Berkeley, United States","Zelnik, R.E., University of California, Berkeley, United States","Zelnik, R.E.; University of CaliforniaUnited States",,"University of California Press",,9780520914605; 9780520084810,,,"English","Law and Disord. on the Narova River: The Kreenholm Strike of 1872",Book,"Final","",Scopus,2-s2.0-85170624505
