Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Cooney A.Y., Carey V.P.","57196216875;58613617300;","Adaptive machine learning based control of multi-temperature, multi-module latent thermal storage ensembles",2024,"Applied Thermal Engineering","236",,"121494","","",,,"10.1016/j.applthermaleng.2023.121494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172009372&doi=10.1016%2fj.applthermaleng.2023.121494&partnerID=40&md5=f00e071eaa51bd79fc686264728e1ae3","University of California, Berkeley, CA, United States","Cooney, A.Y., University of California, Berkeley, CA, United States; Carey, V.P., University of California, Berkeley, CA, United States","Cooney, A.Y.; University of CaliforniaUnited States; email: alannacooney@berkeley.edu",,"Elsevier Ltd",13594311,,ATENF,,"English","Appl Therm Eng",Article,"Final","",Scopus,2-s2.0-85172009372
"Adams J.D., Sander K.B., Criddle C.S., Arkin A.P., Clark D.S.","57226686855;55923804600;7004173112;7006902792;57219106275;","Engineering osmolysis susceptibility in Cupriavidus necator and Escherichia coli for recovery of intracellular products",2023,"Microbial Cell Factories","22","1","69","","",,,"10.1186/s12934-023-02064-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152326717&doi=10.1186%2fs12934-023-02064-8&partnerID=40&md5=cb49a1014d5de5a25f3f88b5677b6484","Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA  94720, United States; Department of Bioengineering, University of California, Berkeley, CA  94720, United States; Department of Civil and Environmental Engineering, Stanford University, Stanford, CA  94305, United States; Environmental Genomics and Systems Biology Division, Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA  94720, United States; Molecular Biophysics and Integrated Bioimaging Division, Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA  94720, United States","Adams, J.D., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA  94720, United States; Sander, K.B., Department of Bioengineering, University of California, Berkeley, CA  94720, United States; Criddle, C.S., Department of Civil and Environmental Engineering, Stanford University, Stanford, CA  94305, United States; Arkin, A.P., Department of Bioengineering, University of California, Berkeley, CA  94720, United States, Environmental Genomics and Systems Biology Division, Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA  94720, United States; Clark, D.S., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA  94720, United States, Molecular Biophysics and Integrated Bioimaging Division, Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA  94720, United States","Clark, D.S.; Department of Chemical and Biomolecular Engineering, United States; email: dsc@berkeley.edu",,"BioMed Central Ltd",14752859,,MCFIC,"37046248","English","Microb. Cell Fact.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85152326717
"Shikhaliyev K., Onsree T., Jaeschke A.H., Ghoreishian S.M., Shariati K., Martinez A., Katz A., Hwang S., Gaffney A., Urban-Klaehn J.M., Lauterbach J.","57204600862;57197845332;57223590459;55613283600;57365395900;57208290406;57203496007;7404626491;6603943581;9436019100;57193814169;","H-ZSM-5 Catalysts for the catalytic upcycling of polypropylene glycol",2023,"Applied Catalysis B: Environmental","337",,"122991","","",,,"10.1016/j.apcatb.2023.122991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162158942&doi=10.1016%2fj.apcatb.2023.122991&partnerID=40&md5=4758802d95ad81bef1baf5277c213c86","Department of Chemical Engineering, University of South Carolina, Columbia, SC, United States; Department of Chemical and Biomolecular Engineering, UC Berkeley, Berkeley, United States; Division of Chemistry and Chemical Engineering, California Institute of Technology, Pasadena, CA, United States; Energy & Environment S&T Department, Idaho National Lab, Idaho Falls, United States","Shikhaliyev, K., Department of Chemical Engineering, University of South Carolina, Columbia, SC, United States; Onsree, T., Department of Chemical Engineering, University of South Carolina, Columbia, SC, United States; Jaeschke, A.H., Department of Chemical Engineering, University of South Carolina, Columbia, SC, United States; Ghoreishian, S.M., Department of Chemical Engineering, University of South Carolina, Columbia, SC, United States; Shariati, K., Department of Chemical Engineering, University of South Carolina, Columbia, SC, United States; Martinez, A., Department of Chemical and Biomolecular Engineering, UC Berkeley, Berkeley, United States; Katz, A., Department of Chemical and Biomolecular Engineering, UC Berkeley, Berkeley, United States; Hwang, S., Division of Chemistry and Chemical Engineering, California Institute of Technology, Pasadena, CA, United States; Gaffney, A., Energy & Environment S&T Department, Idaho National Lab, Idaho Falls, United States; Urban-Klaehn, J.M., Energy & Environment S&T Department, Idaho National Lab, Idaho Falls, United States; Lauterbach, J., Department of Chemical Engineering, University of South Carolina, Columbia, SC, United States","Lauterbach, J.; Department of Chemical Engineering, United States; email: lauteraj@cec.sc.edu",,"Elsevier B.V.",09263373,,ACBEE,,"English","Appl. Catal. B Environ.",Article,"Final","",Scopus,2-s2.0-85162158942
"Weddle P.J., Spotte-Smith E.W.C., Verma A., Patel H.D., Fink K., Tremolet de Villers B.J., Schulze M.C., Blau S.M., Smith K.A., Persson K.A., Colclasure A.M.","57126387300;57208057366;58546791700;57210947840;57211373892;16029794600;55368105900;35247623400;55489781700;7102591438;14628346800;","Continuum-level modeling of Li-ion battery SEI by upscaling atomistically informed reaction mechanisms",2023,"Electrochimica Acta","468",,"143121","","",,,"10.1016/j.electacta.2023.143121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170262692&doi=10.1016%2fj.electacta.2023.143121&partnerID=40&md5=3887c4eeba99b71922761e0832e2212f","National Renewable Energy Laboratory (NREL), 15013 Denver West Parkway, Golden, CO  80401, United States; Department of Materials Science and Engineering, University of California, Berkeley, CA  94720, United States; Materials Science Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Energy Technologies Area, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Molecular Foundry, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States","Weddle, P.J., National Renewable Energy Laboratory (NREL), 15013 Denver West Parkway, Golden, CO  80401, United States; Spotte-Smith, E.W.C., Department of Materials Science and Engineering, University of California, Berkeley, CA  94720, United States, Materials Science Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Verma, A., National Renewable Energy Laboratory (NREL), 15013 Denver West Parkway, Golden, CO  80401, United States; Patel, H.D., Department of Materials Science and Engineering, University of California, Berkeley, CA  94720, United States, Materials Science Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Fink, K., National Renewable Energy Laboratory (NREL), 15013 Denver West Parkway, Golden, CO  80401, United States; Tremolet de Villers, B.J., National Renewable Energy Laboratory (NREL), 15013 Denver West Parkway, Golden, CO  80401, United States; Schulze, M.C., National Renewable Energy Laboratory (NREL), 15013 Denver West Parkway, Golden, CO  80401, United States; Blau, S.M., Energy Technologies Area, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Smith, K.A., National Renewable Energy Laboratory (NREL), 15013 Denver West Parkway, Golden, CO  80401, United States; Persson, K.A., Department of Materials Science and Engineering, University of California, Berkeley, CA  94720, United States, Molecular Foundry, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Colclasure, A.M., National Renewable Energy Laboratory (NREL), 15013 Denver West Parkway, Golden, CO  80401, United States","Weddle, P.J.; National Renewable Energy Laboratory (NREL), 15013 Denver West Parkway, United States; email: peter.weddle@nrel.gov",,"Elsevier Ltd",00134686,,ELCAA,,"English","Electrochim Acta",Article,"Final","",Scopus,2-s2.0-85170262692
"Petrovick J.G., Radke C.J., Weber A.Z.","57212930430;57220455376;7403707400;","Effect of water droplet growth dynamics on electrode current in fuel-cell catalyst layers",2023,"Chemical Engineering Science","281",,"119152","","",,,"10.1016/j.ces.2023.119152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167605306&doi=10.1016%2fj.ces.2023.119152&partnerID=40&md5=12785665611eaceb0ee3582331b8c8aa","Department of Chemical and Biomolecular Engineering, University of California, Berkeley, United States; Energy Technologies Area, Lawrence Berkeley National Laboratory, United States","Petrovick, J.G., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, United States, Energy Technologies Area, Lawrence Berkeley National Laboratory, United States; Radke, C.J., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, United States; Weber, A.Z., Energy Technologies Area, Lawrence Berkeley National Laboratory, United States","Weber, A.Z.; Energy Technologies Area, United States; email: AZWeber@lbl.gov",,"Elsevier Ltd",00092509,,CESCA,,"English","Chem. Eng. Sci.",Article,"Final","",Scopus,2-s2.0-85167605306
"Kim M., Yoo S., Kwon O., Choi E., Choi W., Ji H., Won J.C., Kim Y.H., Kim D.W.","58603138700;57217635955;57186104100;57218368620;57812604900;57813002600;57211030030;24822871200;55742934300;","ZIF-8 nanoplate/6FDA-DAM membrane for hydrogen extraction from propane dehydrogenation process",2023,"Journal of Membrane Science","685",,"121952","","",,1,"10.1016/j.memsci.2023.121952","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165575195&doi=10.1016%2fj.memsci.2023.121952&partnerID=40&md5=eea089a1d17eb78def8d73065aadaac0","Department of Chemical and Biomolecular Engineering, Yonsei University, Yonsei-ro 50, Seodaemun-gu, Seoul, 03722, South Korea; Advanced Materials Division, Korea Research Institute of Chemical Technology, 141 Gajeong-ro, Yuseong-gu, Daejeon, 34114, South Korea; Department of Chemical and Biomolecular Engineering, University of California, Berkeley, Berkeley, CA  94720, United States; Advanced Materials and Chemical Engineering, KRICT School, University of Science and Technology, 217 Gajeong-ro, Yuseong-gu, Daejeon, 34114, South Korea","Kim, M., Department of Chemical and Biomolecular Engineering, Yonsei University, Yonsei-ro 50, Seodaemun-gu, Seoul, 03722, South Korea; Yoo, S., Advanced Materials Division, Korea Research Institute of Chemical Technology, 141 Gajeong-ro, Yuseong-gu, Daejeon, 34114, South Korea; Kwon, O., Department of Chemical and Biomolecular Engineering, Yonsei University, Yonsei-ro 50, Seodaemun-gu, Seoul, 03722, South Korea, Department of Chemical and Biomolecular Engineering, University of California, Berkeley, Berkeley, CA  94720, United States; Choi, E., Department of Chemical and Biomolecular Engineering, Yonsei University, Yonsei-ro 50, Seodaemun-gu, Seoul, 03722, South Korea; Choi, W., Department of Chemical and Biomolecular Engineering, Yonsei University, Yonsei-ro 50, Seodaemun-gu, Seoul, 03722, South Korea; Ji, H., Department of Chemical and Biomolecular Engineering, Yonsei University, Yonsei-ro 50, Seodaemun-gu, Seoul, 03722, South Korea; Won, J.C., Advanced Materials Division, Korea Research Institute of Chemical Technology, 141 Gajeong-ro, Yuseong-gu, Daejeon, 34114, South Korea; Kim, Y.H., Advanced Materials Division, Korea Research Institute of Chemical Technology, 141 Gajeong-ro, Yuseong-gu, Daejeon, 34114, South Korea, Advanced Materials and Chemical Engineering, KRICT School, University of Science and Technology, 217 Gajeong-ro, Yuseong-gu, Daejeon, 34114, South Korea; Kim, D.W., Department of Chemical and Biomolecular Engineering, Yonsei University, Yonsei-ro 50, Seodaemun-gu, Seoul, 03722, South Korea","Kim, D.W.; Department of Chemical and Biomolecular Engineering, Yonsei-ro 50, Seodaemun-gu, South Korea; email: audw1105@yonsei.ac.kr",,"Elsevier B.V.",03767388,,JMESD,,"English","J. Membr. Sci.",Article,"Final","",Scopus,2-s2.0-85165575195
"Kim C.H., Kim J., Hollmann F., Park C.B.","58303711400;57197708460;7003659539;7408417711;","Photoelectrocatalytic N2 fixation and C-H oxyfunctionalization driven by H2O oxidation",2023,"Applied Catalysis B: Environmental","336",,"122925","","",,1,"10.1016/j.apcatb.2023.122925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161042208&doi=10.1016%2fj.apcatb.2023.122925&partnerID=40&md5=7c7e5715873ffac96fd1b3dd7f90de02","Department of Materials Science and Engineering, Korea Advanced Institute of Science and Technology (KAIST), 335 Science Road, Daejeon, 305–701, South Korea; Department of Chemical and Biomolecular Engineering, University of California, Berkeley, Berkeley, CA  94720, United States; Department of Biotechnology, Delft University of Technology, Van der Maasweg 9, 2629 Hz, Delft, Netherlands","Kim, C.H., Department of Materials Science and Engineering, Korea Advanced Institute of Science and Technology (KAIST), 335 Science Road, Daejeon, 305–701, South Korea; Kim, J., Department of Materials Science and Engineering, Korea Advanced Institute of Science and Technology (KAIST), 335 Science Road, Daejeon, 305–701, South Korea, Department of Chemical and Biomolecular Engineering, University of California, Berkeley, Berkeley, CA  94720, United States; Hollmann, F., Department of Biotechnology, Delft University of Technology, Van der Maasweg 9, 2629 Hz, Delft, Netherlands; Park, C.B., Department of Materials Science and Engineering, Korea Advanced Institute of Science and Technology (KAIST), 335 Science Road, Daejeon, 305–701, South Korea","Park, C.B.; Department of Materials Science and Engineering, 335 Science Road, South Korea; email: parkcb@kaist.ac.kr",,"Elsevier B.V.",09263373,,ACBEE,,"English","Appl. Catal. B Environ.",Article,"Final","",Scopus,2-s2.0-85161042208
"Yang J., Liu Y., Zhong D., Xu L., Gao H., Keasling J.D., Luo X., Chou H.H.","58613704400;58614446900;58614601400;58613704500;58614447000;7005564120;56072967000;58160071500;","Combinatorial optimization and spatial remodeling of CYPs to control product profile",2023,"Metabolic Engineering","80",,,"119","129",,,"10.1016/j.ymben.2023.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172025823&doi=10.1016%2fj.ymben.2023.09.004&partnerID=40&md5=22282261cecf60bc2b2e2ea7e2564465","Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China; CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China; Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Joint BioEnergy Institute, Emeryville, CA  94608, United States; Biological Systems and Engineering Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Department of Chemical and Biomolecular Engineering & Department of Bioengineering, University of California, Berkeley, CA  94720, United States; Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark, Kgs. Lyngby2800, Denmark","Yang, J., Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Liu, Y., CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Zhong, D., CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Xu, L., Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Gao, H., CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Keasling, J.D., Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China, Joint BioEnergy Institute, Emeryville, CA  94608, United States, Biological Systems and Engineering Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Department of Chemical and Biomolecular Engineering & Department of Bioengineering, University of California, Berkeley, CA  94720, United States, Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark, Kgs. Lyngby2800, Denmark; Luo, X., Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Chou, H.H., Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China","Chou, H.H.; Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, China; email: howard@siat.ac.cn",,"Academic Press Inc.",10967176,,MEENF,"37703999","English","Metab. Eng.",Article,"Final","",Scopus,2-s2.0-85172025823
"Lei X., Dong X., Hao L., Wang J., Macdonald D.D., Wang N.","55323403500;58565860200;57207948467;58565353200;57220942831;58265387200;","Investigation of the ordered and disordered corrosion morphologies on Ni-based alloy in the passive state",2023,"Corrosion Science","224",,"111490","","",,,"10.1016/j.corsci.2023.111490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170037637&doi=10.1016%2fj.corsci.2023.111490&partnerID=40&md5=868e0115fc3795eeea96308c9dad882c","School of Physical Science and Technology, Northwestern Polytechnical University, Xi'an, 710072, China; Department of Materials Science and Engineering, University of California at Berkeley, Berkeley, CA  94720, United States","Lei, X., School of Physical Science and Technology, Northwestern Polytechnical University, Xi'an, 710072, China; Dong, X., School of Physical Science and Technology, Northwestern Polytechnical University, Xi'an, 710072, China; Hao, L., School of Physical Science and Technology, Northwestern Polytechnical University, Xi'an, 710072, China; Wang, J., School of Physical Science and Technology, Northwestern Polytechnical University, Xi'an, 710072, China; Macdonald, D.D., Department of Materials Science and Engineering, University of California at Berkeley, Berkeley, CA  94720, United States; Wang, N., School of Physical Science and Technology, Northwestern Polytechnical University, Xi'an, 710072, China","Macdonald, D.D.; Department of Materials Science and Engineering, United States; email: macdonald@berkeley.edu",,"Elsevier Ltd",0010938X,,CRRSA,,"English","Corros. Sci.",Article,"Final","",Scopus,2-s2.0-85170037637
"Aminian-Dehkordi J., Rahimi S., Golzar-Ahmadi M., Singh A., Lopez J., Ledesma-Amaro R., Mijakovic I.","57202949214;38961952200;57224821398;57201303838;58588733700;55793172900;8325215500;","Synthetic biology tools for environmental protection",2023,"Biotechnology Advances","68",,"108239","","",,,"10.1016/j.biotechadv.2023.108239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169035008&doi=10.1016%2fj.biotechadv.2023.108239&partnerID=40&md5=2520bbd00cf7d5107f532806034a5460","Department of Bioengineering, University of California, Berkeley, United States; Department of Life Sciences, Chalmers University of Technology, Göteborg, Sweden; Norman B. Keevil Institute of Mining Engineering, University of British Columbia, Vancouver, Canada; Department of Bioengineering, Imperial College London, London, SW72AZ, United Kingdom; Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark, Lyngby, Denmark","Aminian-Dehkordi, J., Department of Bioengineering, University of California, Berkeley, United States; Rahimi, S., Department of Life Sciences, Chalmers University of Technology, Göteborg, Sweden; Golzar-Ahmadi, M., Norman B. Keevil Institute of Mining Engineering, University of British Columbia, Vancouver, Canada; Singh, A., Department of Bioengineering, Imperial College London, London, SW72AZ, United Kingdom; Lopez, J., Department of Bioengineering, Imperial College London, London, SW72AZ, United Kingdom; Ledesma-Amaro, R., Department of Bioengineering, Imperial College London, London, SW72AZ, United Kingdom; Mijakovic, I., Department of Life Sciences, Chalmers University of Technology, Göteborg, Sweden, Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark, Lyngby, Denmark","Mijakovic, I.; Department of Life Sciences, Sweden; email: ivan.mijakovic@chalmers.se
Ledesma-Amaro, R.; Department of Bioengineering, United Kingdom; email: r.ledesma-amaro@imperial.ac.uk",,"Elsevier Inc.",07349750,,BIADD,"37619824","English","Biotechnol. Adv.",Review,"Final","",Scopus,2-s2.0-85169035008
