Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Kaur H., Riya, Singh A., Singh H., Ranjan Lal U., Kumar A., Chaitanya M.V.N.L.","57211016413;58542842300;57210974613;56438498800;58543036100;23866125800;56702930800;","Molecular recognition of carbonate ion using a novel turn-on fluorescent probe",2023,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy","303",,"123270","","",,,"10.1016/j.saa.2023.123270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168419981&doi=10.1016%2fj.saa.2023.123270&partnerID=40&md5=7307c38ed21bfb779483f838fed43ff5","Post Graduate Department of Chemistry, Khalsa College Amritsar, Punjab143102, India; Department of Pharmacognosy and Phytochemistry, Khalsa College of Pharmacy, Punjab, Amritsar, 143102, India; Department of Chemistry, University of California, Berkeley, CA  94720, United States; Department of Natural Product, National Institute of Pharmaceutical and Education Research, Punjab, Mohali, 160062, India; Department of Pharmacology and Toxicology, National Institute of Pharmaceutical and Education Research, Punjab, Mohali, 160062, India; Department of Pharmaceutical Sciences, Lovely Professional University, Punjab, Phagwara, 144411, India","Kaur, H., Post Graduate Department of Chemistry, Khalsa College Amritsar, Punjab143102, India; Riya, Post Graduate Department of Chemistry, Khalsa College Amritsar, Punjab143102, India; Singh, A., Department of Pharmacognosy and Phytochemistry, Khalsa College of Pharmacy, Punjab, Amritsar, 143102, India; Singh, H., Department of Chemistry, University of California, Berkeley, CA  94720, United States; Ranjan Lal, U., Department of Natural Product, National Institute of Pharmaceutical and Education Research, Punjab, Mohali, 160062, India; Kumar, A., Department of Pharmacology and Toxicology, National Institute of Pharmaceutical and Education Research, Punjab, Mohali, 160062, India; Chaitanya, M.V.N.L., Department of Pharmaceutical Sciences, Lovely Professional University, Punjab, Phagwara, 144411, India","Kaur, H.; Post Graduate Department of Chemistry, Punjab, India; email: hardeepchem@gmail.com",,"Elsevier B.V.",13861425,,SAMCA,"37611524","English","Spectrochim. Acta Part A Mol. Biomol. Spectrosc.",Article,"Final","",Scopus,2-s2.0-85168419981
"Shi J., Bie Y.-Q., Zong A., Fang S., Chen W., Han J., Cao Z., Zhang Y., Taniguchi T., Watanabe K., Fu X., Bulović V., Kaxiras E., Baldini E., Jarillo-Herrero P., Nelson K.A.","57211561075;24470955900;57057630200;56735252000;57198582117;57219587185;50161024500;56706973400;55252500400;57203090873;52063330200;7003553668;57216595180;43860903800;8312699800;7403227857;","Intrinsic 1 T′ phase induced in atomically thin 2H-MoTe2 by a single terahertz pulse",2023,"Nature Communications","14","1","5905","","",,,"10.1038/s41467-023-41291-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171880954&doi=10.1038%2fs41467-023-41291-w&partnerID=40&md5=794b77224f1e4d832000c3812b77d5dc","Department of Chemistry, Massachusetts Institute of Technology, Cambridge, MA  02139, United States; Department of Physics, Massachusetts Institute of Technology, Cambridge, MA  02139, United States; State Key Lab of Optoelectronic Materials and Technologies, Guangdong Province Key Laboratory of Display Material and Technology, School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, 510275, China; Department of Chemistry, University of California, Berkeley, CA  94720, United States; Department of Physics, Harvard University, Cambridge, MA  02138, United States; Department of Physics and Astronomy, Center for Materials Theory, Rutgers University, Piscataway, NJ  08854, United States; Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA  02139, United States; School of Integrated Circuits, Peking University, Beijing, 100871, China; Center for Materials Science & Engineering, Massachusetts Institute of Technology, Cambridge, MA  02139, United States; International Center for Materials Nanoarchitectonics, National Institute for Materials Science, 1-1 Namiki, Tsukuba, 305-0044, Japan; Research Center for Functional Materials, National Institute for Materials Science, 1-1 Namiki, Tsukuba, 305-0044, Japan; Ultrafast Electron Microscopy Laboratory, The MOE Key Laboratory of Weak-Light Nonlinear Photonics, School of Physics, Nankai University, Tianjin, 300071, China; Department of Physics, Center for Complex Quantum System, The University of Texas at Austin, Austin, TX  78712, United States","Shi, J., Department of Chemistry, Massachusetts Institute of Technology, Cambridge, MA  02139, United States; Bie, Y.-Q., Department of Physics, Massachusetts Institute of Technology, Cambridge, MA  02139, United States, State Key Lab of Optoelectronic Materials and Technologies, Guangdong Province Key Laboratory of Display Material and Technology, School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, 510275, China; Zong, A., Department of Physics, Massachusetts Institute of Technology, Cambridge, MA  02139, United States, Department of Chemistry, University of California, Berkeley, CA  94720, United States; Fang, S., Department of Physics, Massachusetts Institute of Technology, Cambridge, MA  02139, United States, Department of Physics, Harvard University, Cambridge, MA  02138, United States, Department of Physics and Astronomy, Center for Materials Theory, Rutgers University, Piscataway, NJ  08854, United States; Chen, W., Department of Physics, Harvard University, Cambridge, MA  02138, United States; Han, J., Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA  02139, United States, School of Integrated Circuits, Peking University, Beijing, 100871, China; Cao, Z., State Key Lab of Optoelectronic Materials and Technologies, Guangdong Province Key Laboratory of Display Material and Technology, School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, 510275, China; Zhang, Y., Center for Materials Science & Engineering, Massachusetts Institute of Technology, Cambridge, MA  02139, United States; Taniguchi, T., International Center for Materials Nanoarchitectonics, National Institute for Materials Science, 1-1 Namiki, Tsukuba, 305-0044, Japan; Watanabe, K., Research Center for Functional Materials, National Institute for Materials Science, 1-1 Namiki, Tsukuba, 305-0044, Japan; Fu, X., Ultrafast Electron Microscopy Laboratory, The MOE Key Laboratory of Weak-Light Nonlinear Photonics, School of Physics, Nankai University, Tianjin, 300071, China; Bulović, V., Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA  02139, United States; Kaxiras, E., Department of Physics, Harvard University, Cambridge, MA  02138, United States; Baldini, E., Department of Physics, Center for Complex Quantum System, The University of Texas at Austin, Austin, TX  78712, United States; Jarillo-Herrero, P., Department of Physics, Massachusetts Institute of Technology, Cambridge, MA  02139, United States; Nelson, K.A., Department of Chemistry, Massachusetts Institute of Technology, Cambridge, MA  02139, United States","Nelson, K.A.; Department of Chemistry, United States; email: kanelson@mit.edu
Bie, Y.-Q.; State Key Lab of Optoelectronic Materials and Technologies, China; email: bieyq@mail.sysu.edu.cn
Jarillo-Herrero, P.; Department of Physics, United States; email: pjarillo@mit.edu",,"Nature Research",20411723,,,"37737233","English","Nat. Commun.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85171880954
"Nicolas A.M., Sieradzki E.T., Pett-Ridge J., Banfield J.F., Taga M.E., Firestone M.K., Blazewicz S.J.","57220666697;57195261189;6507917604;7005748958;58611012600;7006908068;21734296100;","A subset of viruses thrives following microbial resuscitation during rewetting of a seasonally dry California grassland soil",2023,"Nature Communications","14","1","5835","","",,,"10.1038/s41467-023-40835-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171808237&doi=10.1038%2fs41467-023-40835-4&partnerID=40&md5=f38bd56db90ea1593f82f7ef17ca2fa1","Plant & Microbial Biology Department, University of California Berkeley, Berkeley, CA, United States; Environmental Science, Policy & Management Department, University of California Berkeley, Berkeley, CA, United States; Physical and Life Sciences Directorate, Lawrence Livermore National Laboratory, Livermore, CA, United States; Life & Environmental Sciences Department, University of California Merced, Merced, CA, United States; Earth and Planetary Sciences, University of California Berkeley, Berkeley, CA, United States; Lawrence Berkeley National Laboratory, Berkeley, CA, United States","Nicolas, A.M., Plant & Microbial Biology Department, University of California Berkeley, Berkeley, CA, United States; Sieradzki, E.T., Environmental Science, Policy & Management Department, University of California Berkeley, Berkeley, CA, United States; Pett-Ridge, J., Physical and Life Sciences Directorate, Lawrence Livermore National Laboratory, Livermore, CA, United States, Life & Environmental Sciences Department, University of California Merced, Merced, CA, United States; Banfield, J.F., Environmental Science, Policy & Management Department, University of California Berkeley, Berkeley, CA, United States, Earth and Planetary Sciences, University of California Berkeley, Berkeley, CA, United States, Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Taga, M.E., Plant & Microbial Biology Department, University of California Berkeley, Berkeley, CA, United States; Firestone, M.K., Environmental Science, Policy & Management Department, University of California Berkeley, Berkeley, CA, United States, Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Blazewicz, S.J., Physical and Life Sciences Directorate, Lawrence Livermore National Laboratory, Livermore, CA, United States","Sieradzki, E.T.; Environmental Science, United States; email: ella.shir@gmail.com
Blazewicz, S.J.; Physical and Life Sciences Directorate, United States; email: blazewicz1@llnl.gov",,"Nature Research",20411723,,,"37730729","English","Nat. Commun.",Article,"Final","",Scopus,2-s2.0-85171808237
"Urbano T., Verzelloni P., Malavolti M., Sucato S., Polledri E., Agnoli C., Sieri S., Natalini N., Marchesi C., Fustinoni S., Vinceti M., Filippini T.","57300610300;58608936400;6701817650;56823612200;33568214100;25959868900;6603792079;57214212099;7005791332;57190110670;6701585191;56638659600;","Influence of dietary patterns on urinary excretion of cadmium in an Italian population: A cross-sectional study",2023,"Journal of Trace Elements in Medicine and Biology","80",,"127298","","",,,"10.1016/j.jtemb.2023.127298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171749544&doi=10.1016%2fj.jtemb.2023.127298&partnerID=40&md5=18ef113dfc9cb72fdccb6794c160672e","CREAGEN - Environmental, Genetic and Nutritional Epidemiology Research Center, Department of Biomedical, Metabolic and Neural Sciences, University of Modena and Reggio Emilia, Modena, Italy; Department of Clinical Sciences and Community Health, University of Milan, Milan, Italy; Epidemiology and Prevention Unit, Fondazione IRCCS Istituto Nazionale dei Tumori, Milan, Italy; Head Office, Azienda USL, IRCCS di Reggio Emilia, Reggio Emilia, Italy; IRCCS Ca' Granda Foundation Maggiore Policlinico Hospital, Milan, Italy; Department of Epidemiology, Boston University School of Public Health, Boston, MA, United States; School of Public Health, University of California Berkeley, Berkeley, CA, United States","Urbano, T., CREAGEN - Environmental, Genetic and Nutritional Epidemiology Research Center, Department of Biomedical, Metabolic and Neural Sciences, University of Modena and Reggio Emilia, Modena, Italy; Verzelloni, P., CREAGEN - Environmental, Genetic and Nutritional Epidemiology Research Center, Department of Biomedical, Metabolic and Neural Sciences, University of Modena and Reggio Emilia, Modena, Italy; Malavolti, M., CREAGEN - Environmental, Genetic and Nutritional Epidemiology Research Center, Department of Biomedical, Metabolic and Neural Sciences, University of Modena and Reggio Emilia, Modena, Italy; Sucato, S., Department of Clinical Sciences and Community Health, University of Milan, Milan, Italy; Polledri, E., Department of Clinical Sciences and Community Health, University of Milan, Milan, Italy; Agnoli, C., Epidemiology and Prevention Unit, Fondazione IRCCS Istituto Nazionale dei Tumori, Milan, Italy; Sieri, S., Epidemiology and Prevention Unit, Fondazione IRCCS Istituto Nazionale dei Tumori, Milan, Italy; Natalini, N., Head Office, Azienda USL, IRCCS di Reggio Emilia, Reggio Emilia, Italy; Marchesi, C., Head Office, Azienda USL, IRCCS di Reggio Emilia, Reggio Emilia, Italy; Fustinoni, S., Department of Clinical Sciences and Community Health, University of Milan, Milan, Italy, IRCCS Ca' Granda Foundation Maggiore Policlinico Hospital, Milan, Italy; Vinceti, M., CREAGEN - Environmental, Genetic and Nutritional Epidemiology Research Center, Department of Biomedical, Metabolic and Neural Sciences, University of Modena and Reggio Emilia, Modena, Italy, Department of Epidemiology, Boston University School of Public Health, Boston, MA, United States; Filippini, T., CREAGEN - Environmental, Genetic and Nutritional Epidemiology Research Center, Department of Biomedical, Metabolic and Neural Sciences, University of Modena and Reggio Emilia, Modena, Italy, School of Public Health, University of California Berkeley, Berkeley, CA, United States","Filippini, T.; Department of Biomedical, Via Campi 287, Italy; email: tommaso.filippini@unimore.it",,"Elsevier GmbH",0946672X,,JTEBF,"37713806","English","J. Trace Elem. Med. Biol.",Article,"Final","",Scopus,2-s2.0-85171749544
"Lei S., Allen K., Huang J., Moya J.M., Wu T.C., Casas B., Zhang Y., Oh J.S., Hashimoto M., Lu D., Denlinger J., Jozwiak C., Bostwick A., Rotenberg E., Balicas L., Birgeneau R., Foster M.S., Yi M., Sun Y., Morosan E.","57274838100;57394053900;55984893200;57211011195;57211079353;56426055000;57224786804;56573191000;55624476855;7403079713;7004535608;9747364500;14119334800;7006230675;56252921400;57219106151;9241074600;58605540100;57192957342;14058608900;","Weyl nodal ring states and Landau quantization with very large magnetoresistance in square-net magnet EuGa4",2023,"Nature Communications","14","1","5812","","",,,"10.1038/s41467-023-40767-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171670823&doi=10.1038%2fs41467-023-40767-z&partnerID=40&md5=0532cec1ad6fa8d87f5e8635516bd48c","Department of Physics and Astronomy, Rice University, Houston, TX  77005, United States; Rice Center for Quantum Materials, Rice University, Houston, TX  77005, United States; Applied Physics Graduate Program, Rice University, Houston, TX  77005, United States; National High Magnetic Field Laboratory, Tallahase, FL  32310, United States; Department of Physics, University of California, Berkeley, CA  94720, United States; Stanford Synchrotron Radiation Lightsource, SLAC National Accelerator Laboratory, Menlo Park, CA  94025, United States; Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Department of Physics, Florida State University, Tallahassee, FL  32306, United States; Materials Science Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Shenyang National Laboratory for Materials Science, Institute of Metal Research, Chinese Academy of Sciences, Shenyang, 110016, China","Lei, S., Department of Physics and Astronomy, Rice University, Houston, TX  77005, United States, Rice Center for Quantum Materials, Rice University, Houston, TX  77005, United States; Allen, K., Department of Physics and Astronomy, Rice University, Houston, TX  77005, United States, Rice Center for Quantum Materials, Rice University, Houston, TX  77005, United States; Huang, J., Department of Physics and Astronomy, Rice University, Houston, TX  77005, United States, Rice Center for Quantum Materials, Rice University, Houston, TX  77005, United States; Moya, J.M., Department of Physics and Astronomy, Rice University, Houston, TX  77005, United States, Rice Center for Quantum Materials, Rice University, Houston, TX  77005, United States, Applied Physics Graduate Program, Rice University, Houston, TX  77005, United States; Wu, T.C., Department of Physics and Astronomy, Rice University, Houston, TX  77005, United States, Rice Center for Quantum Materials, Rice University, Houston, TX  77005, United States; Casas, B., National High Magnetic Field Laboratory, Tallahase, FL  32310, United States; Zhang, Y., Department of Physics and Astronomy, Rice University, Houston, TX  77005, United States, Rice Center for Quantum Materials, Rice University, Houston, TX  77005, United States; Oh, J.S., Department of Physics and Astronomy, Rice University, Houston, TX  77005, United States, Rice Center for Quantum Materials, Rice University, Houston, TX  77005, United States, Department of Physics, University of California, Berkeley, CA  94720, United States; Hashimoto, M., Stanford Synchrotron Radiation Lightsource, SLAC National Accelerator Laboratory, Menlo Park, CA  94025, United States; Lu, D., Stanford Synchrotron Radiation Lightsource, SLAC National Accelerator Laboratory, Menlo Park, CA  94025, United States; Denlinger, J., Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Jozwiak, C., Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Bostwick, A., Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Rotenberg, E., Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Balicas, L., National High Magnetic Field Laboratory, Tallahase, FL  32310, United States, Department of Physics, Florida State University, Tallahassee, FL  32306, United States; Birgeneau, R., Department of Physics, University of California, Berkeley, CA  94720, United States, Materials Science Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Foster, M.S., Department of Physics and Astronomy, Rice University, Houston, TX  77005, United States, Rice Center for Quantum Materials, Rice University, Houston, TX  77005, United States; Yi, M., Department of Physics and Astronomy, Rice University, Houston, TX  77005, United States, Rice Center for Quantum Materials, Rice University, Houston, TX  77005, United States; Sun, Y., Shenyang National Laboratory for Materials Science, Institute of Metal Research, Chinese Academy of Sciences, Shenyang, 110016, China; Morosan, E., Department of Physics and Astronomy, Rice University, Houston, TX  77005, United States, Rice Center for Quantum Materials, Rice University, Houston, TX  77005, United States","Lei, S.; Department of Physics and Astronomy, United States; email: shiminglei1@gmail.com
Morosan, E.; Department of Physics and Astronomy, United States; email: emorosan@rice.edu
Sun, Y.; Shenyang National Laboratory for Materials Science, China; email: sunyan@imr.ac.cn",,"Nature Research",20411723,,,"37726328","English","Nat. Commun.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85171670823
"Thomsen M., Cruz J.J., Escudero F., Fernandez-Pello C., Fuentes A.","57188757303;57203544889;57021488500;56676952500;8725383200;","Sooting behavior on a spreading flame over PMMA rods under different oxygen concentrations",2023,"Fire Safety Journal","141",,"103967","","",,,"10.1016/j.firesaf.2023.103967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171616861&doi=10.1016%2fj.firesaf.2023.103967&partnerID=40&md5=9f3aafeebebb4d29d88b8eff4915d52c","Faculty of Engineering and Sciences, Universidad Adolfo Ibáñez, Santiago, Chile; Departamento de Industrias, Universidad Técnica Federico Santa María, Av. España 1680, Valparaíso, Chile; Department of Mechanical Engineering, University of California Berkeley, Berkeley, CA, United States","Thomsen, M., Faculty of Engineering and Sciences, Universidad Adolfo Ibáñez, Santiago, Chile; Cruz, J.J., Departamento de Industrias, Universidad Técnica Federico Santa María, Av. España 1680, Valparaíso, Chile; Escudero, F., Departamento de Industrias, Universidad Técnica Federico Santa María, Av. España 1680, Valparaíso, Chile; Fernandez-Pello, C., Department of Mechanical Engineering, University of California Berkeley, Berkeley, CA, United States; Fuentes, A., Departamento de Industrias, Universidad Técnica Federico Santa María, Av. España 1680, Valparaíso, Chile","Thomsen, M.; Faculty of Engineering and Sciences, Chile; email: maria.thomsen@uai.cl",,"Elsevier Ltd",03797112,,FSJOD,,"English","Fire Saf J",Article,"Final","",Scopus,2-s2.0-85171616861
"Bloch I.M., Shaham R., Hochberg Y., Kuflik E., Volansky T., Katz O.","56978800600;57214936070;26323192600;36163114600;6506737371;55776129000;","Constraints on axion-like dark matter from a SERF comagnetometer",2023,"Nature Communications","14","1","5784","","",,,"10.1038/s41467-023-41162-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171547127&doi=10.1038%2fs41467-023-41162-4&partnerID=40&md5=2fdc2314761a09ebd050d65b9579f8c0","Berkeley Center for Theoretical Physics, University of California, Berkeley, CA  94720, United States; Theory Group, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Rafael Ltd., Haifa, 31021, Israel; Department of Physics of Complex Systems, Weizmann Institute of Science, Rehovot, 76100, Israel; Racah Institute of Physics, Hebrew University of Jerusalem, Jerusalem, 91904, Israel; Department of Physics, Tel Aviv University, Tel Aviv, Israel; Duke Quantum Center, Duke University, Durham, NC  27701, United States; School of Applied and Engineering Physics, Cornell University, Ithaca, NY  14853, United States","Bloch, I.M., Berkeley Center for Theoretical Physics, University of California, Berkeley, CA  94720, United States, Theory Group, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Shaham, R., Rafael Ltd., Haifa, 31021, Israel, Department of Physics of Complex Systems, Weizmann Institute of Science, Rehovot, 76100, Israel; Hochberg, Y., Racah Institute of Physics, Hebrew University of Jerusalem, Jerusalem, 91904, Israel; Kuflik, E., Racah Institute of Physics, Hebrew University of Jerusalem, Jerusalem, 91904, Israel; Volansky, T., Department of Physics, Tel Aviv University, Tel Aviv, Israel; Katz, O., Duke Quantum Center, Duke University, Durham, NC  27701, United States, School of Applied and Engineering Physics, Cornell University, Ithaca, NY  14853, United States","Katz, O.; Duke Quantum Center, United States; email: or.katz@cornell.edu",,"Nature Research",20411723,,,"37723175","English","Nat. Commun.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85171547127
"Ha C.S., Yao D., Xu Z., Liu C., Liu H., Elkins D., Kile M., Deshpande V., Kong Z., Bauchy M., Zheng X.R.","56597514500;57205510383;57214727067;57191830890;57203248568;57225208975;58582941300;56212784700;58505696500;57204169904;58391996500;","Rapid inverse design of metamaterials based on prescribed mechanical behavior through machine learning",2023,"Nature Communications","14","1","5765","","",,,"10.1038/s41467-023-40854-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171353704&doi=10.1038%2fs41467-023-40854-1&partnerID=40&md5=a87a4338d92a2e84e1f80da72e84c62d","Department of Mechanical Engineering, Virginia Tech, Blacksburg, VA, United States; Department of Material Science and Engineering, University of California, Berkeley, CA, United States; Department of Civil and Environmental Engineering, University of California, Los Angeles, CA, United States; Industrial Engineering and Management, Oklahoma State University, Stillwater, OK, United States; Department of Computer Science and Technology, Sichuan University, Chengdu, China; Grado Department of Industrial and Systems Engineering, Virginia Tech, Blacksburg, VA, United States; Department of Engineering, University of Cambridge, Cambridge, United Kingdom","Ha, C.S., Department of Mechanical Engineering, Virginia Tech, Blacksburg, VA, United States; Yao, D., Department of Material Science and Engineering, University of California, Berkeley, CA, United States, Department of Civil and Environmental Engineering, University of California, Los Angeles, CA, United States; Xu, Z., Department of Material Science and Engineering, University of California, Berkeley, CA, United States, Department of Civil and Environmental Engineering, University of California, Los Angeles, CA, United States; Liu, C., Industrial Engineering and Management, Oklahoma State University, Stillwater, OK, United States; Liu, H., Department of Computer Science and Technology, Sichuan University, Chengdu, China; Elkins, D., Department of Mechanical Engineering, Virginia Tech, Blacksburg, VA, United States, Grado Department of Industrial and Systems Engineering, Virginia Tech, Blacksburg, VA, United States; Kile, M., Department of Mechanical Engineering, Virginia Tech, Blacksburg, VA, United States; Deshpande, V., Department of Engineering, University of Cambridge, Cambridge, United Kingdom; Kong, Z., Grado Department of Industrial and Systems Engineering, Virginia Tech, Blacksburg, VA, United States; Bauchy, M., Department of Civil and Environmental Engineering, University of California, Los Angeles, CA, United States; Zheng, X.R., Department of Mechanical Engineering, Virginia Tech, Blacksburg, VA, United States, Department of Material Science and Engineering, University of California, Berkeley, CA, United States, Department of Civil and Environmental Engineering, University of California, Los Angeles, CA, United States","Zheng, X.R.; Department of Mechanical Engineering, United States; email: rayne23@berkeley.edu
Bauchy, M.; Department of Civil and Environmental Engineering, United States; email: bauchy@ucla.edu
Kong, Z.; Grado Department of Industrial and Systems Engineering, United States; email: zkong@vt.edu
Deshpande, V.; Department of Engineering, United Kingdom; email: vsd20@cam.ac.uk",,"Nature Research",20411723,,,"37718343","English","Nat. Commun.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85171353704
"Ju X., Conkling M., Hajilou M., Lin S., Mostafa F., Ayyar A., McDowell A., Lisano M., Gollner M.J.","57192236737;58569634200;55928914200;57209984197;58569634300;58570044100;58569767100;58569837000;36760629900;","Laboratory quantification of firebrand generation from WUI fuels for model development",2023,"Fire Safety Journal","141",,"103921","","",,,"10.1016/j.firesaf.2023.103921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170420175&doi=10.1016%2fj.firesaf.2023.103921&partnerID=40&md5=4269fdac2dee565dc33f1f15a3c9500b","Department of Mechanical Engineering, University of California, Berkeley, CA, United States; State Key Laboratory of Fire Science, University of Science and Technology of China, Anhui, Hefei, China; Shiley School of Engineering, University of Portland, Oregon, United States; Department of Molecular and Cell Biology, University of California, Berkeley, CA, United States; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA, United States","Ju, X., Department of Mechanical Engineering, University of California, Berkeley, CA, United States, State Key Laboratory of Fire Science, University of Science and Technology of China, Anhui, Hefei, China; Conkling, M., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; Hajilou, M., Department of Mechanical Engineering, University of California, Berkeley, CA, United States, Shiley School of Engineering, University of Portland, Oregon, United States; Lin, S., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; Mostafa, F., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; Ayyar, A., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; McDowell, A., Department of Molecular and Cell Biology, University of California, Berkeley, CA, United States; Lisano, M., Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA, United States; Gollner, M.J., Department of Mechanical Engineering, University of California, Berkeley, CA, United States","Gollner, M.J.; Department of Mechanical Engineering, United States; email: mgollner@berkeley.edu",,"Elsevier Ltd",03797112,,FSJOD,,"English","Fire Saf J",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85170420175
"Molinaro G., Cogliati Dezza I., Bühler S.K., Moutsiana C., Sharot T.","58505819900;57309003300;58566471300;26039358500;6506450367;","Multifaceted information-seeking motives in children",2023,"Nature Communications","14","1","5505","","",,,"10.1038/s41467-023-40971-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170157454&doi=10.1038%2fs41467-023-40971-x&partnerID=40&md5=63e67e6211c86db211f1fdefbbb4dd50","Affective Brain Lab, Department of Experimental Psychology, University College London, London, WC1H 0AP, United Kingdom; Max Planck University College London Centre for Computational Psychiatry and Ageing Research, London, WC1B 5EH, United Kingdom; Department of Psychology, University of California, Berkeley, 2121 Berkeley Way, Berkeley, CA  94704, United States; Department of Experimental Psychology, Ghent University, Ghent, 9000, Belgium; Department of Social Sciences, University of Westminster, London, W1W 6UW, United Kingdom; Department of Brain and Cognitive Sciences, Massachusetts Institute of Technology, Cambridge, MA, United States","Molinaro, G., Affective Brain Lab, Department of Experimental Psychology, University College London, London, WC1H 0AP, United Kingdom, Max Planck University College London Centre for Computational Psychiatry and Ageing Research, London, WC1B 5EH, United Kingdom, Department of Psychology, University of California, Berkeley, 2121 Berkeley Way, Berkeley, CA  94704, United States; Cogliati Dezza, I., Affective Brain Lab, Department of Experimental Psychology, University College London, London, WC1H 0AP, United Kingdom, Max Planck University College London Centre for Computational Psychiatry and Ageing Research, London, WC1B 5EH, United Kingdom, Department of Experimental Psychology, Ghent University, Ghent, 9000, Belgium; Bühler, S.K., Affective Brain Lab, Department of Experimental Psychology, University College London, London, WC1H 0AP, United Kingdom, Max Planck University College London Centre for Computational Psychiatry and Ageing Research, London, WC1B 5EH, United Kingdom; Moutsiana, C., Department of Social Sciences, University of Westminster, London, W1W 6UW, United Kingdom; Sharot, T., Affective Brain Lab, Department of Experimental Psychology, University College London, London, WC1H 0AP, United Kingdom, Max Planck University College London Centre for Computational Psychiatry and Ageing Research, London, WC1B 5EH, United Kingdom, Department of Brain and Cognitive Sciences, Massachusetts Institute of Technology, Cambridge, MA, United States","Molinaro, G.; Affective Brain Lab, United Kingdom; email: gaiamolinaro@berkeley.edu
Sharot, T.; Affective Brain Lab, United Kingdom; email: t.sharot@ucl.ac.uk",,"Nature Research",20411723,,,"37679315","English","Nat. Commun.",Article,"Final","",Scopus,2-s2.0-85170157454
