Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Chu H., Christianson D.S., Cheah Y.-W., Pastorello G., O’Brien F., Geden J., Ngo S.-T., Hollowgrass R., Leibowitz K., Beekwilder N.F., Sandesh M., Dengel S., Chan S.W., Santos A., Delwiche K., Yi K., Buechner C., Baldocchi D., Papale D., Keenan T.F., Biraud S.C., Agarwal D.A., Torn M.S.","55220380900;54988246700;37014447500;12039367000;57971108500;58572159900;57221151044;56455292700;58572194100;6506763131;55389488600;35097167500;58572194200;58572172200;56605032600;55505699400;57210902562;7005870626;15081024700;33567888000;6506718516;7202077437;6604022152;","AmeriFlux BASE data pipeline to support network growth and data sharing",2023,"Scientific Data","10","1","614","","",,,"10.1038/s41597-023-02531-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170625585&doi=10.1038%2fs41597-023-02531-2&partnerID=40&md5=71a209eb60850789bcc8406709bfd39e","Climate & Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Scientific Data Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Department of Environmental Science, Policy, and Management, University of California Berkeley, Berkeley, CA  94720, United States; HyperArts, Inc, Oakland, CA  94607, United States; Department of Computer Science, University of Virginia, Charlottesville, VA  22903, United States; DIBAF, University of Tuscia, Viterbo, 01100, Italy; Euro-Mediterranean Center on Climate Change CMCC IAFES, Viterbo, 01100, Italy; Energy and Resources Group, University of California Berkeley, Berkeley, CA  94720, United States","Chu, H., Climate & Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Christianson, D.S., Scientific Data Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Cheah, Y.-W., Scientific Data Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Pastorello, G., Scientific Data Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; O’Brien, F., Scientific Data Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Geden, J., Scientific Data Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Ngo, S.-T., Scientific Data Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Hollowgrass, R., Department of Environmental Science, Policy, and Management, University of California Berkeley, Berkeley, CA  94720, United States; Leibowitz, K., HyperArts, Inc, Oakland, CA  94607, United States; Beekwilder, N.F., Department of Computer Science, University of Virginia, Charlottesville, VA  22903, United States; Sandesh, M., Scientific Data Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Dengel, S., Climate & Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Chan, S.W., Climate & Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Santos, A., Climate & Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Delwiche, K., Department of Environmental Science, Policy, and Management, University of California Berkeley, Berkeley, CA  94720, United States; Yi, K., Climate & Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Buechner, C., Climate & Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Baldocchi, D., Department of Environmental Science, Policy, and Management, University of California Berkeley, Berkeley, CA  94720, United States; Papale, D., DIBAF, University of Tuscia, Viterbo, 01100, Italy, Euro-Mediterranean Center on Climate Change CMCC IAFES, Viterbo, 01100, Italy; Keenan, T.F., Climate & Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Department of Environmental Science, Policy, and Management, University of California Berkeley, Berkeley, CA  94720, United States; Biraud, S.C., Climate & Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Agarwal, D.A., Scientific Data Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Torn, M.S., Climate & Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Energy and Resources Group, University of California Berkeley, Berkeley, CA  94720, United States","Chu, H.; Climate & Ecosystem Sciences Division, United States; email: hchu@lbl.gov",,"Nature Research",20524463,,,"37696825","English","Sci. Data",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85170625585
"Vandvik V., Halbritter A.H., Althuizen I.H.J., Christiansen C.T., Henn J.J., Jónsdóttir I.S., Klanderud K., Macias-Fauria M., Malhi Y., Maitner B.S., Michaletz S., Roos R.E., Telford R.J., Bass P., Björnsdóttir K., Bustamante L.L.V., Chmurzynski A., Chen S., Haugum S.V., Kemppinen J., Lepley K., Li Y., Linabury M., Matos I.S., Neto-Bradley B.M., Ng M., Niittynen P., Östman S., Pánková K., Roth N., Castorena M., Spiegel M., Thomson E., Vågenes A.S., Enquist B.J.","6602749682;55013397100;57132947200;55318012000;56450461300;7005669499;8680008900;54786710100;7004035832;54395788800;12763166300;57208326799;57218240195;57223373578;57213195868;58561493400;57223372215;57207735807;57201549073;57200082149;57215495762;57190886162;58561592100;57189504471;57215599823;58561087900;57200081789;57225066695;58561787400;57210143760;56245639200;57223373510;57204395303;58561787500;7004590620;","Plant traits and associated data from a warming experiment, a seabird colony, and along elevation in Svalbard",2023,"Scientific Data","10","1","578","","",,,"10.1038/s41597-023-02467-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169674870&doi=10.1038%2fs41597-023-02467-7&partnerID=40&md5=ff205a92ff62e121764d0b6409bfe359","Department of Biological Sciences, University of Bergen, Bergen, Norway; Bjerknes Centre for Climate Research, University of Bergen, Bergen, Norway; NORCE, Norwegian Research Centre AS, Bjerknes Centre for Climate Research, Bergen, Norway; Department of Biology, University of Copenhagen, Copenhagen, Denmark; Institute of Arctic and Alpine Research, University of Colorado Boulder, Boulder, United States; Life- and Environmental Sciences, University of Iceland, Reykjavík, Iceland; Faculty of Environmental Sciences and Natural Resource Management, Norwegian University of Life Sciences, Ås, Norway; School of Geography and the Environment, University of Oxford, Oxford, United Kingdom; Department of Ecology and Evolutionary Biology, University of Arizona, Tucson, United States; Department of Botany, University of British Columbia, Vancouver, Canada; Department of Ethnobotany, University of Alaska, Fairbanks, Canada; Universidad Nacional de San Antonio Abad del Cusco, Cusco, Peru; Geography Research Unit, University of Oulu, Oulu, Finland; School of Geography, Development and Environment, University of Arizona, Tucson, United States; Department of Health and Environmental Sciences, Xi’an Jiaotong-Liverpool University, Suzhou, China; Department of Biology, Colorado State University, Fort Collins, United States; Department of Environmental Science Policy and Management, University of California, Berkeley, Berkeley, United States; Department of Plant Sciences, University of Cambridge, Cambridge, United Kingdom; Section of Botany, Carnegie Museum of Natural History, Pittsburgh, United States; Department of Botany, Charles University, Prague, Czech Republic; Department of Physical Geography, Stockholm University, Stockholm, Sweden","Vandvik, V., Department of Biological Sciences, University of Bergen, Bergen, Norway, Bjerknes Centre for Climate Research, University of Bergen, Bergen, Norway; Halbritter, A.H., Department of Biological Sciences, University of Bergen, Bergen, Norway, Bjerknes Centre for Climate Research, University of Bergen, Bergen, Norway; Althuizen, I.H.J., Bjerknes Centre for Climate Research, University of Bergen, Bergen, Norway, NORCE, Norwegian Research Centre AS, Bjerknes Centre for Climate Research, Bergen, Norway; Christiansen, C.T., Department of Biology, University of Copenhagen, Copenhagen, Denmark; Henn, J.J., Institute of Arctic and Alpine Research, University of Colorado Boulder, Boulder, United States; Jónsdóttir, I.S., Life- and Environmental Sciences, University of Iceland, Reykjavík, Iceland; Klanderud, K., Faculty of Environmental Sciences and Natural Resource Management, Norwegian University of Life Sciences, Ås, Norway; Macias-Fauria, M., School of Geography and the Environment, University of Oxford, Oxford, United Kingdom; Malhi, Y., School of Geography and the Environment, University of Oxford, Oxford, United Kingdom; Maitner, B.S., Department of Ecology and Evolutionary Biology, University of Arizona, Tucson, United States; Michaletz, S., Department of Botany, University of British Columbia, Vancouver, Canada; Roos, R.E., Faculty of Environmental Sciences and Natural Resource Management, Norwegian University of Life Sciences, Ås, Norway; Telford, R.J., Department of Biological Sciences, University of Bergen, Bergen, Norway; Bass, P., Department of Ethnobotany, University of Alaska, Fairbanks, Canada; Björnsdóttir, K., Life- and Environmental Sciences, University of Iceland, Reykjavík, Iceland; Bustamante, L.L.V., Universidad Nacional de San Antonio Abad del Cusco, Cusco, Peru; Chmurzynski, A., Department of Ecology and Evolutionary Biology, University of Arizona, Tucson, United States; Chen, S., Department of Ecology and Evolutionary Biology, University of Arizona, Tucson, United States; Haugum, S.V., Department of Biological Sciences, University of Bergen, Bergen, Norway, Bjerknes Centre for Climate Research, University of Bergen, Bergen, Norway; Kemppinen, J., Geography Research Unit, University of Oulu, Oulu, Finland; Lepley, K., School of Geography, Development and Environment, University of Arizona, Tucson, United States; Li, Y., Department of Health and Environmental Sciences, Xi’an Jiaotong-Liverpool University, Suzhou, China; Linabury, M., Department of Biology, Colorado State University, Fort Collins, United States; Matos, I.S., Department of Environmental Science Policy and Management, University of California, Berkeley, Berkeley, United States; Neto-Bradley, B.M., Department of Plant Sciences, University of Cambridge, Cambridge, United Kingdom; Ng, M., Section of Botany, Carnegie Museum of Natural History, Pittsburgh, United States; Niittynen, P., Geography Research Unit, University of Oulu, Oulu, Finland; Östman, S., Department of Biological Sciences, University of Bergen, Bergen, Norway; Pánková, K., Department of Botany, Charles University, Prague, Czech Republic; Roth, N., Department of Physical Geography, Stockholm University, Stockholm, Sweden; Castorena, M., Department of Ecology and Evolutionary Biology, University of Arizona, Tucson, United States; Spiegel, M., School of Geography and the Environment, University of Oxford, Oxford, United Kingdom; Thomson, E., School of Geography and the Environment, University of Oxford, Oxford, United Kingdom; Vågenes, A.S., Department of Biological Sciences, University of Bergen, Bergen, Norway; Enquist, B.J., Department of Ecology and Evolutionary Biology, University of Arizona, Tucson, United States","Vandvik, V.; Department of Biological Sciences, Norway; email: vigdis.vandvik@uib.no
Enquist, B.J.; Department of Ecology and Evolutionary Biology, United States; email: benquist@email.arizona.edu",,"Nature Research",20524463,,,"37666874","English","Sci. Data",Data Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85169674870
"Bitschnau M.","57225958251;","Students or internationals? Divergent patterns of governing international student mobility in Germany and the United Kingdom",2023,"Comparative Migration Studies","11","1","24","","",,,"10.1186/s40878-023-00332-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169575571&doi=10.1186%2fs40878-023-00332-5&partnerID=40&md5=69242db8e314bff3413f00f91cf159c3","Swiss Forum for Migration and Population Studies, University of Neuchâtel, Rue Abram-Louis-Breguet 2, Neuchâtel, 2000, Switzerland; Center for Studies in Higher Education, University of California, 771 Evans Hall, Berkeley, CA  94720, United States","Bitschnau, M., Swiss Forum for Migration and Population Studies, University of Neuchâtel, Rue Abram-Louis-Breguet 2, Neuchâtel, 2000, Switzerland, Center for Studies in Higher Education, University of California, 771 Evans Hall, Berkeley, CA  94720, United States","Bitschnau, M.; Swiss Forum for Migration and Population Studies, Rue Abram-Louis-Breguet 2, Switzerland; email: marco.bitschnau@unine.ch",,"Springer Science and Business Media Deutschland GmbH",2214594X,,,,"English","Comp. Migr. Stud.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85169575571
"LeBel A., Wagner L., Jain S., Adhikari-Desai A., Gupta B., Morgenthal A., Tang J., Xu L., Huth A.G.","57222015889;57935844500;57208446516;57935806700;57935834800;57935834900;57224768669;57935786600;24391233100;","A natural language fMRI dataset for voxelwise encoding models",2023,"Scientific Data","10","1","555","","",,,"10.1038/s41597-023-02437-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168583939&doi=10.1038%2fs41597-023-02437-z&partnerID=40&md5=7571ec0d90183841e947032747329a92","Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA  94704, United States; Department of Psychiatry and Biobehavioral Sciences, University of California, Los Angeles, CA  90095, United States; Department of Computer Science, The University of Texas at Austin, Austin, TX  78712, United States; Department of Neuroscience, The University of Texas at Austin, Austin, TX  78712, United States; Department of Physics, The University of Texas at Austin, Austin, TX  78712, United States","LeBel, A., Helen Wills Neuroscience Institute, University of California, Berkeley, Berkeley, CA  94704, United States; Wagner, L., Department of Psychiatry and Biobehavioral Sciences, University of California, Los Angeles, CA  90095, United States; Jain, S., Department of Computer Science, The University of Texas at Austin, Austin, TX  78712, United States; Adhikari-Desai, A., Department of Computer Science, The University of Texas at Austin, Austin, TX  78712, United States, Department of Neuroscience, The University of Texas at Austin, Austin, TX  78712, United States; Gupta, B., Department of Computer Science, The University of Texas at Austin, Austin, TX  78712, United States; Morgenthal, A., Department of Neuroscience, The University of Texas at Austin, Austin, TX  78712, United States; Tang, J., Department of Computer Science, The University of Texas at Austin, Austin, TX  78712, United States; Xu, L., Department of Physics, The University of Texas at Austin, Austin, TX  78712, United States; Huth, A.G., Department of Computer Science, The University of Texas at Austin, Austin, TX  78712, United States, Department of Neuroscience, The University of Texas at Austin, Austin, TX  78712, United States","Huth, A.G.; Department of Computer Science, United States; email: huth@cs.utexas.edu",,"Nature Research",20524463,,,"37612332","English","Sci. Data",Data Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85168583939
"Huerta E.A., Blaiszik B., Brinson L.C., Bouchard K.E., Diaz D., Doglioni C., Duarte J.M., Emani M., Foster I., Fox G., Harris P., Heinrich L., Jha S., Katz D.S., Kindratenko V., Kirkpatrick C.R., Lassila-Perini K., Madduri R.K., Neubauer M.S., Psomopoulos F.E., Roy A., Rübel O., Zhao Z., Zhu R.","57226144536;15043808100;57222306277;55521678200;57212339370;57202559542;57212652549;55671511800;35572232000;57203074031;57208119901;35317494100;24344078700;49661664400;6505973419;57191980581;6505817089;6505672275;57191623580;35173341800;58279909000;24067719500;58385744000;57910992900;","FAIR for AI: An interdisciplinary and international community building perspective",2023,"Scientific Data","10","1","487","","",,,"10.1038/s41597-023-02298-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165655737&doi=10.1038%2fs41597-023-02298-6&partnerID=40&md5=24caf0ef175d48cbdab7ebaf7ba14455","Data Science and Learning Division, Argonne National Laboratory, Lemont, IL  60439, United States; Department of Computer Science, University of Chicago, Chicago, IL  60637, United States; Globus, University of Chicago, Chicago, IL  60637, United States; Department of Mechanical Engineering and Materials Science, Duke University, Durham, NC  27708, United States; Scientific Data Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Biological Systems & Engineering, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Helen Wills Neuroscience Institute, University of California Berkeley, Berkeley, CA  94720, United States; Department of Physics, University of California San Diego, La Jolla, CA  92093, United States; Lund University, Department of Physics, Box 118, Lund, 221 00, Sweden; School of Physics & Astronomy, The University of Manchester, Manchester, M13 9PL, United Kingdom; Leadership Computing Facility, Argonne National Laboratory, Lemont, IL  60439, United States; Biocomplexity Institute and Department of Computer Science, University of Virginia, Charlottesville, VA  22904, United States; Department of Physics, Massachusetts Institute of Technology, Cambridge, MA  02139, United States; Technical University Munich, Arcisstraβe 21, München, 80333, Germany; Computational Science Initiative Brookhaven National Laboratory UptonNY  11973, United States; Electrical and Computer Engineering, Rutgers, The State University of New Jersey, Piscataway, NJ  08854, United States; National Center for Supercomputing Applications, University of Illinois, Urbana-Champaign, Urbana, IL  61801, United States; Department of Computer Science, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States; Department of Electrical & Computer Engineering, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States; School of Information Sciences, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States; San Diego Supercomputer Center, University of California San Diego, La Jolla, CA  92093, United States; Helsinki Institute of Physics, University of Helsinki, P.O. Box 64, Helsinki, 00014, Finland; Department of Physics, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States; Institute of Applied Biosciences, Centre for Research and Technology Hellas, Thessaloniki, 57001, Greece","Huerta, E.A., Data Science and Learning Division, Argonne National Laboratory, Lemont, IL  60439, United States, Department of Computer Science, University of Chicago, Chicago, IL  60637, United States; Blaiszik, B., Data Science and Learning Division, Argonne National Laboratory, Lemont, IL  60439, United States, Globus, University of Chicago, Chicago, IL  60637, United States; Brinson, L.C., Department of Mechanical Engineering and Materials Science, Duke University, Durham, NC  27708, United States; Bouchard, K.E., Scientific Data Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Biological Systems & Engineering, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Helen Wills Neuroscience Institute, University of California Berkeley, Berkeley, CA  94720, United States; Diaz, D., Department of Physics, University of California San Diego, La Jolla, CA  92093, United States; Doglioni, C., Lund University, Department of Physics, Box 118, Lund, 221 00, Sweden, School of Physics & Astronomy, The University of Manchester, Manchester, M13 9PL, United Kingdom; Duarte, J.M., Department of Physics, University of California San Diego, La Jolla, CA  92093, United States; Emani, M., Leadership Computing Facility, Argonne National Laboratory, Lemont, IL  60439, United States; Foster, I., Data Science and Learning Division, Argonne National Laboratory, Lemont, IL  60439, United States, Department of Computer Science, University of Chicago, Chicago, IL  60637, United States; Fox, G., Biocomplexity Institute and Department of Computer Science, University of Virginia, Charlottesville, VA  22904, United States; Harris, P., Department of Physics, Massachusetts Institute of Technology, Cambridge, MA  02139, United States; Heinrich, L., Technical University Munich, Arcisstraβe 21, München, 80333, Germany; Jha, S., Computational Science Initiative Brookhaven National Laboratory UptonNY  11973, United States, Electrical and Computer Engineering, Rutgers, The State University of New Jersey, Piscataway, NJ  08854, United States; Katz, D.S., National Center for Supercomputing Applications, University of Illinois, Urbana-Champaign, Urbana, IL  61801, United States, Department of Computer Science, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States, Department of Electrical & Computer Engineering, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States, School of Information Sciences, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States; Kindratenko, V., National Center for Supercomputing Applications, University of Illinois, Urbana-Champaign, Urbana, IL  61801, United States, Department of Computer Science, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States, Department of Electrical & Computer Engineering, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States; Kirkpatrick, C.R., San Diego Supercomputer Center, University of California San Diego, La Jolla, CA  92093, United States; Lassila-Perini, K., Helsinki Institute of Physics, University of Helsinki, P.O. Box 64, Helsinki, 00014, Finland; Madduri, R.K., Data Science and Learning Division, Argonne National Laboratory, Lemont, IL  60439, United States; Neubauer, M.S., National Center for Supercomputing Applications, University of Illinois, Urbana-Champaign, Urbana, IL  61801, United States, Department of Electrical & Computer Engineering, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States, Department of Physics, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States; Psomopoulos, F.E., Institute of Applied Biosciences, Centre for Research and Technology Hellas, Thessaloniki, 57001, Greece; Roy, A., National Center for Supercomputing Applications, University of Illinois, Urbana-Champaign, Urbana, IL  61801, United States, Department of Physics, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States; Rübel, O., Scientific Data Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Zhao, Z., National Center for Supercomputing Applications, University of Illinois, Urbana-Champaign, Urbana, IL  61801, United States, Department of Electrical & Computer Engineering, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States; Zhu, R., Department of Computer Science, University of Illinois at Urbana-Champaign, Urbana, IL  61801, United States","Huerta, E.A.; Data Science and Learning Division, United States; email: elihu@anl.gov",,"Nature Research",20524463,,,"37495591","English","Sci. Data",Note,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85165655737
"Swaminathan B., Kang J., Vaidya K., Srinivasan A., Kumar P., Byna S., Barbarash D.","58241881000;58243224400;58242999500;7202313283;58266235100;8420675300;57151218700;","Crowd cluster data in the USA for analysis of human response to COVID-19 events and policies",2023,"Scientific Data","10","1","267","","",,,"10.1038/s41597-023-02176-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158888541&doi=10.1038%2fs41597-023-02176-1&partnerID=40&md5=e009655b741860aea614f7b3d41e423a","University of California, Berkeley, United States; University of West Florida, Pensacola, United States; Florida State University, Tallahassee, United States; Lawrence Berkeley National Lab, Berkeley, United States; Purdue University, West Lafayette, United States","Swaminathan, B., University of California, Berkeley, United States; Kang, J., University of California, Berkeley, United States; Vaidya, K., University of California, Berkeley, United States; Srinivasan, A., University of West Florida, Pensacola, United States; Kumar, P., Florida State University, Tallahassee, United States; Byna, S., Lawrence Berkeley National Lab, Berkeley, United States; Barbarash, D., Purdue University, West Lafayette, United States","Srinivasan, A.; University of West FloridaUnited States; email: asrinivasan@uwf.edu",,"Nature Research",20524463,,,"37164983","English","Sci. Data",Data Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85158888541
"Hurt B., Hoque O.B., Mokrzycki F., Mathew A., Xue M., Gabitsinashvili L., Mokrzycki H., Fischer R., Telesca N., Xue L.A., Ritchie J., Zamfirescu-Pereira J.D., Bernstein M., Whiting M., Marathe M.","57223309476;57208012444;58134408200;58134610500;58135007000;58135207600;58134408300;58135207700;58134002000;58134408400;57209399871;57209393657;57193014048;57191996823;7005103606;","COVID-19 non-pharmaceutical interventions: data annotation for rapidly changing local policy information",2023,"Scientific Data","10","1","126","","",,,"10.1038/s41597-023-01979-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149655984&doi=10.1038%2fs41597-023-01979-6&partnerID=40&md5=39d3c1b944cb9d216f324f72434d8305","Network Systems Science and Advanced Computing, Biocomplexity Institute and Initiative, University of Virginia, Charlottesville, United States; Dept of Computer Science, Stanford University, Stanford, United States; Dept of Electrical Engineering and Computer Science, University of California, Berkeley, United States; Department of Computer and Information Sciences, University of Pennsylvania, Philadelphia, United States","Hurt, B., Network Systems Science and Advanced Computing, Biocomplexity Institute and Initiative, University of Virginia, Charlottesville, United States; Hoque, O.B., Network Systems Science and Advanced Computing, Biocomplexity Institute and Initiative, University of Virginia, Charlottesville, United States; Mokrzycki, F., Network Systems Science and Advanced Computing, Biocomplexity Institute and Initiative, University of Virginia, Charlottesville, United States; Mathew, A., Network Systems Science and Advanced Computing, Biocomplexity Institute and Initiative, University of Virginia, Charlottesville, United States; Xue, M., Network Systems Science and Advanced Computing, Biocomplexity Institute and Initiative, University of Virginia, Charlottesville, United States; Gabitsinashvili, L., Network Systems Science and Advanced Computing, Biocomplexity Institute and Initiative, University of Virginia, Charlottesville, United States; Mokrzycki, H., Network Systems Science and Advanced Computing, Biocomplexity Institute and Initiative, University of Virginia, Charlottesville, United States; Fischer, R., Network Systems Science and Advanced Computing, Biocomplexity Institute and Initiative, University of Virginia, Charlottesville, United States; Telesca, N., Network Systems Science and Advanced Computing, Biocomplexity Institute and Initiative, University of Virginia, Charlottesville, United States; Xue, L.A., Network Systems Science and Advanced Computing, Biocomplexity Institute and Initiative, University of Virginia, Charlottesville, United States; Ritchie, J., Dept of Computer Science, Stanford University, Stanford, United States; Zamfirescu-Pereira, J.D., Dept of Electrical Engineering and Computer Science, University of California, Berkeley, United States; Bernstein, M., Dept of Computer Science, Stanford University, Stanford, United States; Whiting, M., Department of Computer and Information Sciences, University of Pennsylvania, Philadelphia, United States; Marathe, M., Network Systems Science and Advanced Computing, Biocomplexity Institute and Initiative, University of Virginia, Charlottesville, United States","Hurt, B.; Network Systems Science and Advanced Computing, United States; email: benjaminhurt@virginia.edu
Hoque, O.B.; Network Systems Science and Advanced Computing, United States; email: oishee@virginia.edu
Mokrzycki, F.; Network Systems Science and Advanced Computing, United States; email: qcp6az@virginia.edu
Marathe, M.; Network Systems Science and Advanced Computing, United States; email: marathe@virginia.edu",,"Nature Research",20524463,,,"36894597","English","Sci. Data",Data Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85149655984
