Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Gorodnichenko Y., Kukharskyy B., Roland G.","8567095900;57189601724;57203077703;","Cultural distance, firm boundaries, and global sourcing",2024,"Journal of Development Economics","166",,"103175","","",,,"10.1016/j.jdeveco.2023.103175","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170565645&doi=10.1016%2fj.jdeveco.2023.103175&partnerID=40&md5=5614bb95af31d16bc193c2571a7267a8","UC Berkeley, United States; NBER, United States; City University of New York, Baruch College, United States; CESifo, Germany; CEPR, United Kingdom","Gorodnichenko, Y., UC Berkeley, United States, NBER, United States, CEPR, United Kingdom; Kukharskyy, B., City University of New York, Baruch College, United States, CESifo, Germany; Roland, G., UC Berkeley, United States, NBER, United States, CEPR, United Kingdom","Kukharskyy, B.; City University of New York, United States; email: bohdan.kukharskyy@baruch.cuny.edu",,"Elsevier B.V.",03043878,,,,"English","J. Dev. Econ.",Article,"Final","",Scopus,2-s2.0-85170565645
"Hartwich E., Rieger A., Sedlmeir J., Jurek D., Fridgen G.","57901199300;57190400303;57209206051;58498020400;54083028500;","Machine economies",2023,"Electronic Markets","33","1","36","","",,,"10.1007/s12525-023-00649-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165391127&doi=10.1007%2fs12525-023-00649-0&partnerID=40&md5=489091fbeb93d4efb1ee537c881beabf","SnT - Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg; Haas School of Business, University of California, Berkeley, CA, United States","Hartwich, E., SnT - Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg; Rieger, A., SnT - Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg; Sedlmeir, J., SnT - Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg; Jurek, D., Haas School of Business, University of California, Berkeley, CA, United States; Fridgen, G., SnT - Interdisciplinary Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg","Hartwich, E.; SnT - Interdisciplinary Centre for Security, Luxembourg; email: eduard.hartwich@uni.lu",,"Springer Science and Business Media Deutschland GmbH",10196781,,,,"English","Electron. Mark.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85165391127
"Tan Y., Jin H., Mao S.S., Shen S.","57201212250;35746068900;7202387593;8714841100;","Surface hydrophobicity-hydrophilicity switching induced interface heat and water transfer enhancement for high-efficiency solar steam generation",2023,"Carbon Neutrality","2","1","11","","",,,"10.1007/s43979-023-00051-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85157995468&doi=10.1007%2fs43979-023-00051-x&partnerID=40&md5=c79c4c3ef6999b49674ed65bf104cb73","International Research Center for Renewable Energy, State Key Laboratory of Multiphase Flow in Power Engineering, Xi’an Jiaotong University, Shaanxi, 710049, China; Department of Mechanical Engineering, University of California at Berkeley, Berkeley, CA94720, United States","Tan, Y., International Research Center for Renewable Energy, State Key Laboratory of Multiphase Flow in Power Engineering, Xi’an Jiaotong University, Shaanxi, 710049, China; Jin, H., International Research Center for Renewable Energy, State Key Laboratory of Multiphase Flow in Power Engineering, Xi’an Jiaotong University, Shaanxi, 710049, China; Mao, S.S., Department of Mechanical Engineering, University of California at Berkeley, Berkeley, CA94720, United States; Shen, S., International Research Center for Renewable Energy, State Key Laboratory of Multiphase Flow in Power Engineering, Xi’an Jiaotong University, Shaanxi, 710049, China","Shen, S.; International Research Center for Renewable Energy, China; email: shshen_xjtu@mail.xjtu.edu.cn",,"Springer",27888614,,,,"English","Carbon. Neutrality.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85157995468
"Fudolig M.I., Alshaabi T., Cramer K., Danforth C.M., Dodds P.S.","56296933700;57214781899;57854947000;12808716500;57897460000;","A decomposition of book structure through ousiometric fluctuations in cumulative word-time",2023,"Humanities and Social Sciences Communications","10","1","187","","",,,"10.1057/s41599-023-01680-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156220914&doi=10.1057%2fs41599-023-01680-4&partnerID=40&md5=c0a47a2d86b1841f34886e4582fca03a","Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States; Advanced Bioimaging Center, UC Berkeley, Berkeley, CA, United States; Department of Mathematics & Statistics, University of Vermont, Burlington, VT, United States; Department of Computer Science, University of Vermont, Burlington, VT, United States","Fudolig, M.I., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States; Alshaabi, T., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States, Advanced Bioimaging Center, UC Berkeley, Berkeley, CA, United States; Cramer, K., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States; Danforth, C.M., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States, Department of Mathematics & Statistics, University of Vermont, Burlington, VT, United States; Dodds, P.S., Computational Story Lab, Vermont Complex Systems Center, MassMutual Center of Excellence for Complex Systems and Data Science, Vermont Advanced Computing Core, University of Vermont, Burlington, VT, United States, Department of Computer Science, University of Vermont, Burlington, VT, United States","Fudolig, M.I.; Computational Story Lab, United States; email: mikaela.fudolig@uvm.edu",,"Springer Nature",26629992,,,,"English","Hum. Soc. Sci. Comm",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85156220914
"Sears J., Villas-Boas J.M., Villas-Boas S.B., Villas-Boas V.","57221459206;58081016000;57207573375;57221473362;","ARE WE #STAYI NGHOME TO FLATTEN THE CURVE?",2023,"American Journal of Health Economics","9","1",,"71","95",,4,"10.1086/721705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146941335&doi=10.1086%2f721705&partnerID=40&md5=3089ac3c30aca9cb4e8aad2f33c4ce8e","Department of Agricultural, Food, and Resource Economics, Michigan State University, United States; Haas School of Business, University of Califor-nia, Berkeley, United States; Department of Agricultural and Resource Economics, University of California, Berkeley, United States","Sears, J., Department of Agricultural, Food, and Resource Economics, Michigan State University, United States; Villas-Boas, J.M., Haas School of Business, University of Califor-nia, Berkeley, United States; Villas-Boas, S.B., Department of Agricultural and Resource Economics, University of California, Berkeley, United States; Villas-Boas, V., Haas School of Business, University of Califor-nia, Berkeley, United States","Sears, J.; Department of Agricultural, United States; email: searsja1@msu.edu",,"University of Chicago Press",23323493,,,,"English","Am. J. Health Econ.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85146941335
"O'Shaughnessy E., Grayson A., Barbose G.","57192171749;58090982400;15749838300;","The role of peer influence in rooftop solar adoption inequity in the United States",2023,"Energy Economics","127",,"107009","","",,,"10.1016/j.eneco.2023.107009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172006904&doi=10.1016%2fj.eneco.2023.107009&partnerID=40&md5=125341802e63d254ab491f3294a60bf7","Lawrence Berkeley National Laboratory, Berkeley, CA, United States; University of California, Berkeley, CA, United States","O'Shaughnessy, E., Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Grayson, A., Lawrence Berkeley National Laboratory, Berkeley, CA, United States, University of California, Berkeley, CA, United States; Barbose, G., Lawrence Berkeley National Laboratory, Berkeley, CA, United States","O'Shaughnessy, E.; Lawrence Berkeley National LaboratoryUnited States; email: eoshaughnessy@lbl.gov",,"Elsevier B.V.",01409883,,EECOD,,"English","Energy Econ.",Article,"Final","",Scopus,2-s2.0-85172006904
"Cui Z., Wu C., Zhu L.","56995511500;58576347300;57203794942;","Explicit solution to the economic index of riskiness",2023,"Economics Letters","232",,"111343","","",,,"10.1016/j.econlet.2023.111343","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171158752&doi=10.1016%2fj.econlet.2023.111343&partnerID=40&md5=ff770037054ddb331ca8c642dfa7f173","School of Business, Stevens Institute of Technology, United States; University of California at Berkeley, United States; Fudan University, China; Department of Mathematics, Florida State University, United States","Cui, Z., School of Business, Stevens Institute of Technology, United States; Wu, C., University of California at Berkeley, United States, Fudan University, China; Zhu, L., Department of Mathematics, Florida State University, United States","Zhu, L.; Department of Mathematics, United States; email: zhu@math.fsu.edu",,"Elsevier B.V.",01651765,,ECLED,,"English","Econ. Lett.",Article,"Final","",Scopus,2-s2.0-85171158752
"Yu B.","57203763471;","What is uncertainty in today's practice of data science?",2023,"Journal of Econometrics","237","1","105519","","",,,"10.1016/j.jeconom.2023.105519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170287082&doi=10.1016%2fj.jeconom.2023.105519&partnerID=40&md5=7fd2c6029632ccdaefc752ca6a354f3e","Departments of Statistics and EECS, Center for Computational Biology at UC Berkeley, 367 Evans Hall # 3860, Berkeley, CA  94720, United States","Yu, B., Departments of Statistics and EECS, Center for Computational Biology at UC Berkeley, 367 Evans Hall # 3860, Berkeley, CA  94720, United States",,,"Elsevier Ltd",03044076,,JECMB,,"English","J Econom",Article,"Final","",Scopus,2-s2.0-85170287082
"Panta H., Narayanasamy A., Panta A.","57215937387;57211627998;58186995000;","Organizational capital and credit ratings",2023,"Finance Research Letters","57",,"104277","","",,,"10.1016/j.frl.2023.104277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169791329&doi=10.1016%2fj.frl.2023.104277&partnerID=40&md5=a3c89c1414045c7a3048e766af9ebd39","Associate Professor of Finance, School of Business, Cal Poly Humboldt, Arcata, CA  95521, United States; College of Business, University of Northern Iowa, Cedar Falls, IA  50614, United States; University of California, Berkeley, CA  94720, United States","Panta, H., Associate Professor of Finance, School of Business, Cal Poly Humboldt, Arcata, CA  95521, United States; Narayanasamy, A., College of Business, University of Northern Iowa, Cedar Falls, IA  50614, United States; Panta, A., University of California, Berkeley, CA  94720, United States","Panta, H.; Associate Professor of Finance, United States; email: humnath.panta@humboldt.edu",,"Elsevier Ltd",15446123,,,,"English","Finan. Res. Lett.",Article,"Final","",Scopus,2-s2.0-85169791329
"Bugni F.A., Gao M.","27867542300;57219125855;","Inference under covariate-adaptive randomization with imperfect compliance",2023,"Journal of Econometrics","237","1","105497","","",,,"10.1016/j.jeconom.2023.105497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169290247&doi=10.1016%2fj.jeconom.2023.105497&partnerID=40&md5=ae0776dc2bb5951a96968eca9296cc0c","Department of Economics, Northwestern University, United States; Department of Economics, UC Berkeley, United States","Bugni, F.A., Department of Economics, Northwestern University, United States; Gao, M., Department of Economics, UC Berkeley, United States","Bugni, F.A.; Department of Economics, United States; email: federico.bugni@northwestern.edu",,"Elsevier Ltd",03044076,,JECMB,,"English","J Econom",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85169290247
