Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Cooney A.Y., Carey V.P.","57196216875;58613617300;","Adaptive machine learning based control of multi-temperature, multi-module latent thermal storage ensembles",2024,"Applied Thermal Engineering","236",,"121494","","",,,"10.1016/j.applthermaleng.2023.121494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172009372&doi=10.1016%2fj.applthermaleng.2023.121494&partnerID=40&md5=f00e071eaa51bd79fc686264728e1ae3","University of California, Berkeley, CA, United States","Cooney, A.Y., University of California, Berkeley, CA, United States; Carey, V.P., University of California, Berkeley, CA, United States","Cooney, A.Y.; University of CaliforniaUnited States; email: alannacooney@berkeley.edu",,"Elsevier Ltd",13594311,,ATENF,,"English","Appl Therm Eng",Article,"Final","",Scopus,2-s2.0-85172009372
"Banayan Esfahani E., Dixit F., Asadi Zeidabadi F., Johnson M.R., Mayilswamy N., Kandasubramanian B., Mohseni M.","57420946600;55917835200;57330175000;58325633500;57402901500;55839027100;7005809210;","Ion exchange and advanced oxidation/reduction processes for per- and polyfluoroalkyl substances treatment: a mini-review",2023,"Current Opinion in Chemical Engineering","42",,"100953","","",,,"10.1016/j.coche.2023.100953","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171385211&doi=10.1016%2fj.coche.2023.100953&partnerID=40&md5=0990a00bf92bf80e0de8f9f94c8dc77c","Department of Chemical and Biological Engineering, University of British Columbia, 2360 East Mall, Vancouver, Canada; Department of Civil and Environmental Engineering, University of California, Berkeley, United States; Nano Surface Texturing, Department of Metallurgical and Materials Engineering, Defence Institute of Advanced Technology (DU), Girinagar, Pune, India","Banayan Esfahani, E., Department of Chemical and Biological Engineering, University of British Columbia, 2360 East Mall, Vancouver, Canada; Dixit, F., Department of Civil and Environmental Engineering, University of California, Berkeley, United States; Asadi Zeidabadi, F., Department of Chemical and Biological Engineering, University of British Columbia, 2360 East Mall, Vancouver, Canada; Johnson, M.R., Department of Chemical and Biological Engineering, University of British Columbia, 2360 East Mall, Vancouver, Canada; Mayilswamy, N., Nano Surface Texturing, Department of Metallurgical and Materials Engineering, Defence Institute of Advanced Technology (DU), Girinagar, Pune, India; Kandasubramanian, B., Nano Surface Texturing, Department of Metallurgical and Materials Engineering, Defence Institute of Advanced Technology (DU), Girinagar, Pune, India; Mohseni, M., Department of Chemical and Biological Engineering, University of British Columbia, 2360 East Mall, Vancouver, Canada",,,"Elsevier Ltd",22113398,,,,"English","Curr. Opin. Chem. Eng.",Review,"Final","",Scopus,2-s2.0-85171385211
"Tan Y., Jin H., Mao S.S., Shen S.","57201212250;35746068900;7202387593;8714841100;","Surface hydrophobicity-hydrophilicity switching induced interface heat and water transfer enhancement for high-efficiency solar steam generation",2023,"Carbon Neutrality","2","1","11","","",,,"10.1007/s43979-023-00051-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85157995468&doi=10.1007%2fs43979-023-00051-x&partnerID=40&md5=c79c4c3ef6999b49674ed65bf104cb73","International Research Center for Renewable Energy, State Key Laboratory of Multiphase Flow in Power Engineering, Xi’an Jiaotong University, Shaanxi, 710049, China; Department of Mechanical Engineering, University of California at Berkeley, Berkeley, CA94720, United States","Tan, Y., International Research Center for Renewable Energy, State Key Laboratory of Multiphase Flow in Power Engineering, Xi’an Jiaotong University, Shaanxi, 710049, China; Jin, H., International Research Center for Renewable Energy, State Key Laboratory of Multiphase Flow in Power Engineering, Xi’an Jiaotong University, Shaanxi, 710049, China; Mao, S.S., Department of Mechanical Engineering, University of California at Berkeley, Berkeley, CA94720, United States; Shen, S., International Research Center for Renewable Energy, State Key Laboratory of Multiphase Flow in Power Engineering, Xi’an Jiaotong University, Shaanxi, 710049, China","Shen, S.; International Research Center for Renewable Energy, China; email: shshen_xjtu@mail.xjtu.edu.cn",,"Springer",27888614,,,,"English","Carbon. Neutrality.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85157995468
"Sanjivy K., Marc O., Davies N., Lucas F.","57847247700;35299973400;17134891800;7005333814;","Energy performance assessment of Sea Water Air Conditioning (SWAC) as a solution toward net zero carbon emissions: A case study in French Polynesia",2023,"Energy Reports","9",,,"437","446",,2,"10.1016/j.egyr.2022.11.201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143672477&doi=10.1016%2fj.egyr.2022.11.201&partnerID=40&md5=2306668439760919fb8a171746978c06","GEPASUD, University of French Polynesia, Faa'a, French Polynesia; French Environment and Energy Management Agency, 20, avenue du Grésillé, Angers Cedex 01, BP 90406 49004, France; PIMENT, University of Reunion Island, La Réunion, Saint-Pierre, France; Gump South Pacific Research Station, University of California, Moorea, French Polynesia; Berkeley Institute for Data Science, University of California Berkeley, United States","Sanjivy, K., GEPASUD, University of French Polynesia, Faa'a, French Polynesia, French Environment and Energy Management Agency, 20, avenue du Grésillé, Angers Cedex 01, BP 90406 49004, France; Marc, O., PIMENT, University of Reunion Island, La Réunion, Saint-Pierre, France; Davies, N., Gump South Pacific Research Station, University of California, Moorea, French Polynesia, Berkeley Institute for Data Science, University of California Berkeley, United States; Lucas, F., GEPASUD, University of French Polynesia, Faa'a, French Polynesia","Sanjivy, K.; GEPASUD, French Polynesia; email: kanhan.sanjivy@doctorant.upf.pf",,"Elsevier Ltd",23524847,,,,"English","Energy Rep.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85143672477
"O'Shaughnessy E., Grayson A., Barbose G.","57192171749;58090982400;15749838300;","The role of peer influence in rooftop solar adoption inequity in the United States",2023,"Energy Economics","127",,"107009","","",,,"10.1016/j.eneco.2023.107009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172006904&doi=10.1016%2fj.eneco.2023.107009&partnerID=40&md5=125341802e63d254ab491f3294a60bf7","Lawrence Berkeley National Laboratory, Berkeley, CA, United States; University of California, Berkeley, CA, United States","O'Shaughnessy, E., Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Grayson, A., Lawrence Berkeley National Laboratory, Berkeley, CA, United States, University of California, Berkeley, CA, United States; Barbose, G., Lawrence Berkeley National Laboratory, Berkeley, CA, United States","O'Shaughnessy, E.; Lawrence Berkeley National LaboratoryUnited States; email: eoshaughnessy@lbl.gov",,"Elsevier B.V.",01409883,,EECOD,,"English","Energy Econ.",Article,"Final","",Scopus,2-s2.0-85172006904
"Lee J.W., Park J.H., Choi H.W., Kang Y.T.","56294819200;57221500606;57216491298;7402784583;","Ammonia sorption thermal battery with water-loaded sorbent driven by low-temperature heat source",2023,"Energy Conversion and Management","295",,"117653","","",,,"10.1016/j.enconman.2023.117653","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171748299&doi=10.1016%2fj.enconman.2023.117653&partnerID=40&md5=bbb7ba08e685e02dac5bf36c60caa825","Division of Mechanical Engineering, Korea Maritime & Ocean University, 727 Taejong-ro, Yeongdo-gu, Busan, 49112, South Korea; Department of Mechanical Engineering, University of California, Berkely, Berkely, CA  94720, United States; School of Mechanical Engineering, Korea University, Seoul, 02841, South Korea","Lee, J.W., Division of Mechanical Engineering, Korea Maritime & Ocean University, 727 Taejong-ro, Yeongdo-gu, Busan, 49112, South Korea; Park, J.H., Department of Mechanical Engineering, University of California, Berkely, Berkely, CA  94720, United States; Choi, H.W., School of Mechanical Engineering, Korea University, Seoul, 02841, South Korea; Kang, Y.T., School of Mechanical Engineering, Korea University, Seoul, 02841, South Korea","Kang, Y.T.; School of Mechanical Engineering, South Korea; email: ytkang@korea.ac.kr",,"Elsevier Ltd",01968904,,ECMAD,,"English","Energy Convers. Manage.",Article,"Final","",Scopus,2-s2.0-85171748299
"Pinto P., Littin M., Rivera J.I., Severino G., Cruz J.J., Fuentes A.","57216417316;58550141200;57214812189;55911944000;57203544889;8725383200;","A simpler tractable contour technique to model thermal radiation from buoyant diffusion flames",2023,"Experimental Thermal and Fluid Science","149",,"111027","","",,,"10.1016/j.expthermflusci.2023.111027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168794152&doi=10.1016%2fj.expthermflusci.2023.111027&partnerID=40&md5=74658e76b5cb445d09539dcf9df6b879","Fire Protection Engineering Department, Worcester Polytechnic Institute, Worcester, MA, United States; Departmento de Industrias, Universidad Técnica Federico Santa María, Valparaíso, Chile; INSA Rouen Normandie, Univ. Rouen Normandie, CNRS, Normandie Univ., CORIA UMR 6614, Rouen, F-76000, France; Department of Mechanical Engineering, University of California, Berkeley, CA, United States","Pinto, P., Fire Protection Engineering Department, Worcester Polytechnic Institute, Worcester, MA, United States; Littin, M., Departmento de Industrias, Universidad Técnica Federico Santa María, Valparaíso, Chile, INSA Rouen Normandie, Univ. Rouen Normandie, CNRS, Normandie Univ., CORIA UMR 6614, Rouen, F-76000, France; Rivera, J.I., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; Severino, G., Departmento de Industrias, Universidad Técnica Federico Santa María, Valparaíso, Chile; Cruz, J.J., Departmento de Industrias, Universidad Técnica Federico Santa María, Valparaíso, Chile; Fuentes, A., Departmento de Industrias, Universidad Técnica Federico Santa María, Valparaíso, Chile","Fuentes, A.; Departmento de Industrias, Chile; email: andres.fuentes@usm.cl",,"Elsevier Inc.",08941777,,ETFSE,,"English","Exp. Therm. Fluid Sci.",Article,"Final","",Scopus,2-s2.0-85168794152
"Cheng F., Sun X., Li Y., Ju X., Yang Y., Liu X., Liu W., Yang M., Song Y.","57208406905;56208721500;55964469300;57205644431;58131097000;57993777300;56155301400;55549076600;7404920676;","Numerical analysis of coupled thermal-hydro-chemo-mechanical (THCM) behavior to joint production of marine gas hydrate and shallow gas",2023,"Energy","281",,"128224","","",,1,"10.1016/j.energy.2023.128224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164257129&doi=10.1016%2fj.energy.2023.128224&partnerID=40&md5=6b283d3bf3d0f0ed4826cfeadcabca17","Key Laboratory of Ocean Energy Utilization and Energy Conservation of Ministry of Education, Dalian University of Technology, Dalian, 116024, China; State Key Laboratory of Geomechanics and Geotechnical Engineering, Institute of Rock and Soil Mechanics, Chinese Academy of Sciences, Wuhan, 430071, China; Department of Energy Science and Engineering, Stanford University, Stanford, CA  94305, United States; University of California, Berkeley, Berkeley, CA  94720, United States","Cheng, F., Key Laboratory of Ocean Energy Utilization and Energy Conservation of Ministry of Education, Dalian University of Technology, Dalian, 116024, China; Sun, X., State Key Laboratory of Geomechanics and Geotechnical Engineering, Institute of Rock and Soil Mechanics, Chinese Academy of Sciences, Wuhan, 430071, China; Li, Y., Key Laboratory of Ocean Energy Utilization and Energy Conservation of Ministry of Education, Dalian University of Technology, Dalian, 116024, China; Ju, X., Department of Energy Science and Engineering, Stanford University, Stanford, CA  94305, United States; Yang, Y., University of California, Berkeley, Berkeley, CA  94720, United States; Liu, X., Key Laboratory of Ocean Energy Utilization and Energy Conservation of Ministry of Education, Dalian University of Technology, Dalian, 116024, China; Liu, W., Key Laboratory of Ocean Energy Utilization and Energy Conservation of Ministry of Education, Dalian University of Technology, Dalian, 116024, China; Yang, M., Key Laboratory of Ocean Energy Utilization and Energy Conservation of Ministry of Education, Dalian University of Technology, Dalian, 116024, China; Song, Y., Key Laboratory of Ocean Energy Utilization and Energy Conservation of Ministry of Education, Dalian University of Technology, Dalian, 116024, China","Sun, X.; State Key Laboratory of Geomechanics and Geotechnical Engineering, China; email: xsun@whrsm.ac.cn
Li, Y.; Key Laboratory of Ocean Energy Utilization and Energy Conservation of Ministry of Education, China; email: liy@dlut.edu.cn",,"Elsevier Ltd",03605442,,ENEYD,,"English","Energy",Article,"Final","",Scopus,2-s2.0-85164257129
"Cooper G.A., Doyle F.M., Evans J.W.","58560055600;7102653679;57197523282;","Harriet Kildahl, Li Wang, Lige Tong, Yulong Ding, “Cost effective decarbonisation of blast furnace -basic oxygen furnace steel production through thermochemical sector coupling”, Journal of Cleaner Production 389 (2023) 135963",2023,"Journal of Cleaner Production","422",,"138504","","",,,"10.1016/j.jclepro.2023.138504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169601839&doi=10.1016%2fj.jclepro.2023.138504&partnerID=40&md5=11c10b58991ac9e471d9f8641f2506f9","Department of Civil & Environmental Engineering, University of California, Berkeley, United States; Department of Materials Science & Engineering, University of California, Berkeley, United States","Cooper, G.A., Department of Civil & Environmental Engineering, University of California, Berkeley, United States; Doyle, F.M., Department of Materials Science & Engineering, University of California, Berkeley, United States; Evans, J.W., Department of Materials Science & Engineering, University of California, Berkeley, United States","Doyle, F.M.; Department of Materials Science & Engineering, United States; email: fmdoyle@berkeley.edu",,"Elsevier Ltd",09596526,,JCROE,,"English","J. Clean. Prod.",Letter,"Final","",Scopus,2-s2.0-85169601839
"López Prol J., Zilberman D.","57194650941;35578894000;","No alarms and no surprises: Dynamics of renewable energy curtailment in California",2023,"Energy Economics","126",,"106974","","",,,"10.1016/j.eneco.2023.106974","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171975719&doi=10.1016%2fj.eneco.2023.106974&partnerID=40&md5=0aaa2630262f15ce01c1d288566e9ba0","Yonsei University Mirae, Department of Economics and Department of Environmental Finance, South Korea; University of California Berkeley, Department of Agricultural and Resource Economics, United States","López Prol, J., Yonsei University Mirae, Department of Economics and Department of Environmental Finance, South Korea; Zilberman, D., University of California Berkeley, Department of Agricultural and Resource Economics, United States","López Prol, J.; Yonsei University Mirae, South Korea; email: jlprol@yonsei.ac.kr",,"Elsevier B.V.",01409883,,EECOD,,"English","Energy Econ.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85171975719
