Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Zhao S., Rogers M.J., Liu Y., Andersen G.L., He J.","56042214600;56406851800;58593078200;58591744200;55671919600;","Anthropogenic activity remains the main contributor to fecal pollution in managed tropical watersheds as unraveled by PhyloChip microarray-based microbial source tracking",2024,"Journal of Hazardous Materials","461",,"132474","","",,,"10.1016/j.jhazmat.2023.132474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171425987&doi=10.1016%2fj.jhazmat.2023.132474&partnerID=40&md5=47f36826a775846157e0b07f7e32604c","Department of Civil and Environmental Engineering, National University of Singapore117576, Singapore; Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA  94720, United States","Zhao, S., Department of Civil and Environmental Engineering, National University of Singapore117576, Singapore; Rogers, M.J., Department of Civil and Environmental Engineering, National University of Singapore117576, Singapore; Liu, Y., Department of Civil and Environmental Engineering, National University of Singapore117576, Singapore; Andersen, G.L., Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA  94720, United States; He, J., Department of Civil and Environmental Engineering, National University of Singapore117576, Singapore","He, J.; Department of Civil and Environmental Engineering, Block E2–02-13, 1 Engineering Drive 3, Singapore; email: jianzhong.he@nus.edu.sg",,"Elsevier B.V.",03043894,,JHMAD,"37717440","English","J. Hazard. Mater.",Article,"Final","",Scopus,2-s2.0-85171425987
"Tisherman R.A., Rossi R.J., Shonkoff S.B.C., DiGiulio D.C.","57210412123;56542483500;13411281800;6603632029;","Groundwater uranium contamination from produced water disposal to unlined ponds in the San Joaquin Valley",2023,"Science of the Total Environment","904",,"166937","","",,,"10.1016/j.scitotenv.2023.166937","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171761833&doi=10.1016%2fj.scitotenv.2023.166937&partnerID=40&md5=9a2725cf2f761ab7782e95ebe8ffaa7b","PSE Healthy Energy, Oakland, CA  94612, United States; Division of Environmental Health Sciences, School of Public Health, University of California, Berkeley, CA  94720, United States; Energy Technologies Area, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Department of Civil, Environmental, and Architectural Engineering, University of Colorado, Boulder, CO  80309, United States","Tisherman, R.A., PSE Healthy Energy, Oakland, CA  94612, United States; Rossi, R.J., PSE Healthy Energy, Oakland, CA  94612, United States; Shonkoff, S.B.C., PSE Healthy Energy, Oakland, CA  94612, United States, Division of Environmental Health Sciences, School of Public Health, University of California, Berkeley, CA  94720, United States, Energy Technologies Area, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; DiGiulio, D.C., Department of Civil, Environmental, and Architectural Engineering, University of Colorado, Boulder, CO  80309, United States","Tisherman, R.A.; PSE Healthy EnergyUnited States; email: beckytisherman@gmail.com",,"Elsevier B.V.",00489697,,STEVA,"37696399","English","Sci. Total Environ.",Article,"Final","",Scopus,2-s2.0-85171761833
"Stapp J., Nolte C., Potts M., Baumann M., Haya B.K., Butsic V.","56682720300;55001583800;7102163967;55437763600;6508360115;16743875400;","Little evidence of management change in California’s forest offset program",2023,"Communications Earth and Environment","4","1","331","","",,,"10.1038/s43247-023-00984-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171868458&doi=10.1038%2fs43247-023-00984-2&partnerID=40&md5=5bcd0a2911402990b07b76dba3cc8325","Department of Environmental Science, Policy and Management, University of California, Berkeley, CA, United States; Department of Earth & Environment, Boston University, Boston, MA, United States; Geography Department, Humboldt Universität zu Berlin, Berlin, Germany; Goldman School of Public Policy, University of California, Berkeley, CA, United States","Stapp, J., Department of Environmental Science, Policy and Management, University of California, Berkeley, CA, United States; Nolte, C., Department of Earth & Environment, Boston University, Boston, MA, United States; Potts, M., Department of Environmental Science, Policy and Management, University of California, Berkeley, CA, United States; Baumann, M., Geography Department, Humboldt Universität zu Berlin, Berlin, Germany; Haya, B.K., Goldman School of Public Policy, University of California, Berkeley, CA, United States; Butsic, V., Department of Environmental Science, Policy and Management, University of California, Berkeley, CA, United States","Stapp, J.; Department of Environmental Science, United States; email: jaredstapp@berkeley.edu",,"Nature Publishing Group",26624435,,,,"English","Commun. Earth Environ.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85171868458
"Ju Y., Dronova I., Rodriguez D.A., Bakhtsiyarava M., Farah I.","57193665005;22934129700;7202482729;57189456859;57954038200;","Recent greening may curb urban warming in Latin American cities of better economic conditions",2023,"Landscape and Urban Planning","240",,"104896","","",,,"10.1016/j.landurbplan.2023.104896","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171676597&doi=10.1016%2fj.landurbplan.2023.104896&partnerID=40&md5=2739e4c563cc825e633d3bdb747ff228","School of Architecture and Urban Planning, Nanjing University, Rm. 810, Jianliang Bldg., No. 22 Hankou Rd., Nanjing, China; Department of Environmental Science, Policy, and Management, University of California, Berkeley, United States; Department of Landscape Architecture and Environmental Planning, University of California, Berkeley, United States; Department of City and Regional Planning, University of California, Berkeley, United States; Institute of Transportation Studies, University of California, Berkeley, United States; Institute of Urban and Regional Development, University of California, Berkeley, United States","Ju, Y., School of Architecture and Urban Planning, Nanjing University, Rm. 810, Jianliang Bldg., No. 22 Hankou Rd., Nanjing, China; Dronova, I., Department of Environmental Science, Policy, and Management, University of California, Berkeley, United States, Department of Landscape Architecture and Environmental Planning, University of California, Berkeley, United States; Rodriguez, D.A., Department of City and Regional Planning, University of California, Berkeley, United States, Institute of Transportation Studies, University of California, Berkeley, United States; Bakhtsiyarava, M., Institute of Urban and Regional Development, University of California, Berkeley, United States; Farah, I., Department of City and Regional Planning, University of California, Berkeley, United States","Ju, Y.; School of Architecture and Urban Planning, Rm. 810, Jianliang Bldg., No. 22 Hankou Rd., China; email: yangju90@nju.edu.cn",,"Elsevier B.V.",01692046,,LUPLE,,"English","Landsc. Urban Plann.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85171676597
"Zhang W., Zhu R., Jiao Y., Rhew R.C., Sun B., Rinnan R., Zhou Z.","57219395578;7202446745;57203272296;6602498293;57221010842;8407779800;58147483400;","Sea animal colonies enhance carbonyl sulfide emissions from coastal Antarctic tundra",2023,"Communications Earth and Environment","4","1","326","","",,,"10.1038/s43247-023-00990-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171530663&doi=10.1038%2fs43247-023-00990-4&partnerID=40&md5=9714a5178f79eda20de49edee85a4f0e","Institute of Polar Environment and Anhui Provincial Key Laboratory of Polar Environment and Global Change, School of Earth and Space Sciences, University of Science and Technology of China, Anhui, Hefei, 230026, China; Terrestrial Ecology Section, Department of Biology, University of Copenhagen, Copenhagen Ø, 2100, Denmark; Center for Volatile Interactions (VOLT), Department of Biology, University of Copenhagen, Copenhagen Ø, 2100, Denmark; Department of Geography, University of California, Berkeley, CA  94720, United States; Department of Environmental Science, Policy and Management, University of California, Berkeley, CA  94720, United States","Zhang, W., Institute of Polar Environment and Anhui Provincial Key Laboratory of Polar Environment and Global Change, School of Earth and Space Sciences, University of Science and Technology of China, Anhui, Hefei, 230026, China; Zhu, R., Institute of Polar Environment and Anhui Provincial Key Laboratory of Polar Environment and Global Change, School of Earth and Space Sciences, University of Science and Technology of China, Anhui, Hefei, 230026, China; Jiao, Y., Terrestrial Ecology Section, Department of Biology, University of Copenhagen, Copenhagen Ø, 2100, Denmark, Center for Volatile Interactions (VOLT), Department of Biology, University of Copenhagen, Copenhagen Ø, 2100, Denmark; Rhew, R.C., Department of Geography, University of California, Berkeley, CA  94720, United States, Department of Environmental Science, Policy and Management, University of California, Berkeley, CA  94720, United States; Sun, B., Institute of Polar Environment and Anhui Provincial Key Laboratory of Polar Environment and Global Change, School of Earth and Space Sciences, University of Science and Technology of China, Anhui, Hefei, 230026, China; Rinnan, R., Terrestrial Ecology Section, Department of Biology, University of Copenhagen, Copenhagen Ø, 2100, Denmark, Center for Volatile Interactions (VOLT), Department of Biology, University of Copenhagen, Copenhagen Ø, 2100, Denmark; Zhou, Z., Institute of Polar Environment and Anhui Provincial Key Laboratory of Polar Environment and Global Change, School of Earth and Space Sciences, University of Science and Technology of China, Anhui, Hefei, 230026, China","Zhu, R.; Institute of Polar Environment and Anhui Provincial Key Laboratory of Polar Environment and Global Change, Anhui, China; email: zhurb@ustc.edu.cn",,"Nature Publishing Group",26624435,,,,"English","Commun. Earth Environ.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85171530663
"Rhoads D., Rames C., Solé-Ribalta A., González M.C., Szell M., Borge-Holthoefer J.","57215601836;57792844900;35088805900;36913172600;36158844200;36011530300;","Sidewalk networks: Review and outlook",2023,"Computers, Environment and Urban Systems","106",,"102031","","",,,"10.1016/j.compenvurbsys.2023.102031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171457102&doi=10.1016%2fj.compenvurbsys.2023.102031&partnerID=40&md5=2fbbbfb6cc899e8f7cfb77b262eac489","Internet Interdisciplinary Institute (IN3), Universitat Oberta de Catalunya, Catalonia, Barcelona, Spain; Department of City and Regional Planning, University of California, Berkeley, CA  94720, United States; Energy Technologies Area, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; IT University of Copenhagen, Copenhagen, Denmark; ISI Foundation, Turin, Italy; Complexity Science Hub, Vienna, Austria","Rhoads, D., Internet Interdisciplinary Institute (IN3), Universitat Oberta de Catalunya, Catalonia, Barcelona, Spain; Rames, C., Internet Interdisciplinary Institute (IN3), Universitat Oberta de Catalunya, Catalonia, Barcelona, Spain; Solé-Ribalta, A., Internet Interdisciplinary Institute (IN3), Universitat Oberta de Catalunya, Catalonia, Barcelona, Spain; González, M.C., Department of City and Regional Planning, University of California, Berkeley, CA  94720, United States, Energy Technologies Area, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Szell, M., IT University of Copenhagen, Copenhagen, Denmark, ISI Foundation, Turin, Italy, Complexity Science Hub, Vienna, Austria; Borge-Holthoefer, J., Internet Interdisciplinary Institute (IN3), Universitat Oberta de Catalunya, Catalonia, Barcelona, Spain","Borge-Holthoefer, J.; Internet Interdisciplinary Institute (IN3), Catalonia, Spain; email: jborgeh@uoc.edu",,"Elsevier Ltd",01989715,,CEUSD,,"English","Comput. Environ. Urban Syst.",Review,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85171457102
"Chen R., Shi C., Zhang L., Tu C., Weiner J.","57200274468;58575551700;56796979500;55899194400;56211780300;","Potential role of kin selection in the transition from vegetative to reproductive allocation in plants",2023,"Journal of Plant Ecology","16","6","rtad025","","",,,"10.1093/jpe/rtad025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171158721&doi=10.1093%2fjpe%2frtad025&partnerID=40&md5=52395d3463cc169a04d0386976c28563","School of Life Science, Shanxi Normal University, Taiyuan, 030000, China; State Key Laboratory of Grassland Agro-Ecosystem, School of Life Sciences, Lanzhou University, Lanzhou, 730000, China; School of Economics and Management, Zhejiang Sci-Tech University, Hangzhou, 310000, China; Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA  94720, United States; Department of Plant and Environmental Sciences, University of Copenhagen, Frederiksberg, DK-1871, Denmark","Chen, R., School of Life Science, Shanxi Normal University, Taiyuan, 030000, China; Shi, C., School of Life Science, Shanxi Normal University, Taiyuan, 030000, China; Zhang, L., State Key Laboratory of Grassland Agro-Ecosystem, School of Life Sciences, Lanzhou University, Lanzhou, 730000, China; Tu, C., School of Economics and Management, Zhejiang Sci-Tech University, Hangzhou, 310000, China, Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA  94720, United States; Weiner, J., Department of Plant and Environmental Sciences, University of Copenhagen, Frederiksberg, DK-1871, Denmark","Chen, R.; School of Life Science, China; email: chenrf@sxnu.edu.cn
Tu, C.; School of Economics and Management, China; email: chengyitu1986@gmail.com",,"Oxford University Press",17529921,,,,"English","J. Plant Ecol.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85171158721
"Parisien M.-A., Barber Q.E., Bourbonnais M.L., Daniels L.D., Flannigan M.D., Gray R.W., Hoffman K.M., Jain P., Stephens S.L., Taylor S.W., Whitman E.","56219345000;57220317569;55945356000;7102019392;7003528684;14619438600;57190658131;21934064400;7102649054;57194030089;55849440800;","Abrupt, climate-induced increase in wildfires in British Columbia since the mid-2000s",2023,"Communications Earth and Environment","4","1","309","","",,,"10.1038/s43247-023-00977-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169891549&doi=10.1038%2fs43247-023-00977-1&partnerID=40&md5=18fbfa05103b69897b7b55867024f6de","Northern Forestry Centre, Canadian Forest Service, Natural Resources Canada, Edmonton, AB, Canada; Department of Earth, Environmental and Geographic Sciences, University of British Columbia Okanagan, Kelowna, BC, Canada; Faculty of Forestry, University of British Columbia, Vancouver, BC, Canada; Natural Resource Science, Thompson Rivers University, Kamloops, BC, Canada; R.W. Gray Consulting Ltd, Chilliwack, BC, Canada; Department of Environmental Science, Policy, and Management, University of California, Berkeley, Berkeley, CA, United States; Pacific Forestry Centre, Canadian Forest Service, Natural Resources Canada, Victoria, BC, Canada","Parisien, M.-A., Northern Forestry Centre, Canadian Forest Service, Natural Resources Canada, Edmonton, AB, Canada; Barber, Q.E., Northern Forestry Centre, Canadian Forest Service, Natural Resources Canada, Edmonton, AB, Canada; Bourbonnais, M.L., Department of Earth, Environmental and Geographic Sciences, University of British Columbia Okanagan, Kelowna, BC, Canada; Daniels, L.D., Faculty of Forestry, University of British Columbia, Vancouver, BC, Canada; Flannigan, M.D., Natural Resource Science, Thompson Rivers University, Kamloops, BC, Canada; Gray, R.W., R.W. Gray Consulting Ltd, Chilliwack, BC, Canada; Hoffman, K.M., Faculty of Forestry, University of British Columbia, Vancouver, BC, Canada; Jain, P., Northern Forestry Centre, Canadian Forest Service, Natural Resources Canada, Edmonton, AB, Canada; Stephens, S.L., Department of Environmental Science, Policy, and Management, University of California, Berkeley, Berkeley, CA, United States; Taylor, S.W., Pacific Forestry Centre, Canadian Forest Service, Natural Resources Canada, Victoria, BC, Canada; Whitman, E., Northern Forestry Centre, Canadian Forest Service, Natural Resources Canada, Edmonton, AB, Canada","Parisien, M.-A.; Northern Forestry Centre, Canada; email: marc-andre.parisien@nrcan-rncan.gc.ca",,"Nature Publishing Group",26624435,,,,"English","Commun. Earth Environ.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85169891549
"Ohayon J.L., Rasanayagam S., Rudel R.A., Patton S., Buren H., Stefani T., Trowbridge J., Clarity C., Brody J.G., Morello-Frosch R.","55808554600;12788214900;7006589980;57212802077;57215852363;58556459900;57197513050;57190277038;7202412731;6602511010;","Translating community-based participatory research into broadscale sociopolitical change: insights from a coalition of women firefighters, scientists, and environmental health advocates",2023,"Environmental Health: A Global Access Science Source","22","1","60","","",,,"10.1186/s12940-023-01005-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169229965&doi=10.1186%2fs12940-023-01005-7&partnerID=40&md5=9981ae148141675155c0877240a2b1ab","Silent Spring Institute, 320 Nevada Street, Suite 302, Newton, MA  02460, United States; California Breast Cancer Research Program, University of California, Office of the President, Oakland, CA, United States; Commonweal Biomonitoring Resource Center, Bolinas, CA, United States; United Fire Service Women, San Francisco, CA, United States; San Francisco Firefighters Cancer Prevention Foundation, San Francisco, CA, United States; School of Public Health, University of California, Berkeley, Berkeley, CA, United States; Department of Environmental Science, Policy, and Management, University of California, Berkeley, Berkeley, CA, United States","Ohayon, J.L., Silent Spring Institute, 320 Nevada Street, Suite 302, Newton, MA  02460, United States; Rasanayagam, S., California Breast Cancer Research Program, University of California, Office of the President, Oakland, CA, United States; Rudel, R.A., Silent Spring Institute, 320 Nevada Street, Suite 302, Newton, MA  02460, United States; Patton, S., Commonweal Biomonitoring Resource Center, Bolinas, CA, United States; Buren, H., United Fire Service Women, San Francisco, CA, United States; Stefani, T., San Francisco Firefighters Cancer Prevention Foundation, San Francisco, CA, United States; Trowbridge, J., School of Public Health, University of California, Berkeley, Berkeley, CA, United States, Department of Environmental Science, Policy, and Management, University of California, Berkeley, Berkeley, CA, United States; Clarity, C., Department of Environmental Science, Policy, and Management, University of California, Berkeley, Berkeley, CA, United States; Brody, J.G., Silent Spring Institute, 320 Nevada Street, Suite 302, Newton, MA  02460, United States; Morello-Frosch, R., School of Public Health, University of California, Berkeley, Berkeley, CA, United States, Department of Environmental Science, Policy, and Management, University of California, Berkeley, Berkeley, CA, United States","Ohayon, J.L.; Silent Spring Institute, 320 Nevada Street, Suite 302, United States; email: ohayon@silentspring.org
Morello-Frosch, R.; School of Public Health, United States; email: rmf@berkeley.edu",,"BioMed Central Ltd",1476069X,,,"37649086","English","Environ. Health Global Access Sci. Sour.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85169229965
"Vishnu S., Risser M.D., O’Brien T.A., Ullrich P.A., Boos W.R.","56382994700;57136738600;15848674200;31067496800;16475714800;","Observed increase in the peak rain rates of monsoon depressions",2023,"npj Climate and Atmospheric Science","6","1","111","","",,,"10.1038/s41612-023-00436-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167452491&doi=10.1038%2fs41612-023-00436-w&partnerID=40&md5=0cc616d86c44cc45b5f0dc341f8041d2","Department of Earth and Planetary Science, University of California, Berkeley, CA, United States; Climate and Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Department of Earth and Atmospheric Sciences, Indiana University, Bloomington, IN, United States; Department of Land, Air and Water Resources, University of California, Davis, CA, United States; Computational Research Division, Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Météo-France, Direction de la Climatologie et des Services Climatiques, Toulouse, France; Institute of Research for Development (IRD), Nouvelle-Calédonie, Nouméa, France","Vishnu, S., Department of Earth and Planetary Science, University of California, Berkeley, CA, United States, Météo-France, Direction de la Climatologie et des Services Climatiques, Toulouse, France, Institute of Research for Development (IRD), Nouvelle-Calédonie, Nouméa, France; Risser, M.D., Climate and Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, United States; O’Brien, T.A., Climate and Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, United States, Department of Earth and Atmospheric Sciences, Indiana University, Bloomington, IN, United States; Ullrich, P.A., Department of Land, Air and Water Resources, University of California, Davis, CA, United States, Computational Research Division, Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Boos, W.R., Department of Earth and Planetary Science, University of California, Berkeley, CA, United States, Climate and Ecosystem Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA, United States","Vishnu, S.; Department of Earth and Planetary Science, United States; email: vishnuedv@gmail.com",,"Nature Research",23973722,,,,"English","npj Clim. Atmos. Sci.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85167452491
