Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Abràmoff M.D., Tarver M.E., Loyo-Berrios N., Trujillo S., Char D., Obermeyer Z., Eydelman M.B., Maisel W.H.","6602158360;57193358719;6504809029;57735443100;55323927700;15848778500;6506802619;7003836355;","Considerations for addressing bias in artificial intelligence for health equity",2023,"npj Digital Medicine","6","1","170","","",,,"10.1038/s41746-023-00913-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170827609&doi=10.1038%2fs41746-023-00913-9&partnerID=40&md5=9bf1f400886adffeea9571340053e4b6","Departments of Ophthalmology and Visual Sciences, and Electrical and Computer Engineering, University of Iowa, Iowa City, IA, United States; Center for Devices and Radiological Health, US Food and Drug Administration, Silver Spring, MD, United States; OCHIN, Portland, OR, United States; Center for Biomedical Ethics, Stanford University School of Medicine, San Francisco, CA, United States; Department of Anesthesiology, Stanford University School of Medicine, Division of Pediatric Cardiac Anesthesia, San Francisco, CA, United States; School of Public Health, University of California, Berkeley, CA, United States","Abràmoff, M.D., Departments of Ophthalmology and Visual Sciences, and Electrical and Computer Engineering, University of Iowa, Iowa City, IA, United States; Tarver, M.E., Center for Devices and Radiological Health, US Food and Drug Administration, Silver Spring, MD, United States; Loyo-Berrios, N., Center for Devices and Radiological Health, US Food and Drug Administration, Silver Spring, MD, United States; Trujillo, S., OCHIN, Portland, OR, United States; Char, D., Center for Biomedical Ethics, Stanford University School of Medicine, San Francisco, CA, United States, Department of Anesthesiology, Stanford University School of Medicine, Division of Pediatric Cardiac Anesthesia, San Francisco, CA, United States; Obermeyer, Z., School of Public Health, University of California, Berkeley, CA, United States; Eydelman, M.B., Center for Devices and Radiological Health, US Food and Drug Administration, Silver Spring, MD, United States; Maisel, W.H., Center for Devices and Radiological Health, US Food and Drug Administration, Silver Spring, MD, United States","Abràmoff, M.D.; Departments of Ophthalmology and Visual Sciences, United States; email: michael-abramoff@uiowa.edu",,"Nature Research",23986352,,,,"English","npj Digit. Med.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85170827609
"Avram R., Olgin J.E., Ahmed Z., Verreault-Julien L., Wan A., Barrios J., Abreau S., Wan D., Gonzalez J.E., Tardif J.-C., So D.Y., Soni K., Tison G.H.","56318080200;7006887967;57225915103;57190668684;57207759338;57038422800;57219783117;57225902848;57200981709;35399980400;7003869061;36101899500;6505822175;","CathAI: fully automated coronary angiography interpretation and stenosis estimation",2023,"npj Digital Medicine","6","1","142","","",,,"10.1038/s41746-023-00880-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168306190&doi=10.1038%2fs41746-023-00880-1&partnerID=40&md5=7cd0abada56138152f7006be2d2c7aa8","Division of Cardiology, Department of Medicine, University of California, San Francisco, Cardiology, 505 Parnassus Avenue, San Francisco, CA  94143, United States; Division of Cardiology, Department of Medicine, Montreal Heart Institute - Université de Montréal, 5000 Rue Belanger, Montreal, QC  H1T 1C8, Canada; Cardiovascular Research Institute, University of California, San Francisco, CA  94143, United States; Division of Cardiology, Department of Medicine, University of Ottawa Heart Institute, University of Ottawa, 40 Ruskin Street, Ottawa, ON  K1Y 4W7, Canada; Department of Electrical Engineering and Computer Science, RISE Lab, University of California, Berkeley, Soda Hall, Berkeley, CA  94720-1770, United States; Bakar Computational Health Sciences Institute, University of California, San Francisco, 94158, United States","Avram, R., Division of Cardiology, Department of Medicine, University of California, San Francisco, Cardiology, 505 Parnassus Avenue, San Francisco, CA  94143, United States, Division of Cardiology, Department of Medicine, Montreal Heart Institute - Université de Montréal, 5000 Rue Belanger, Montreal, QC  H1T 1C8, Canada; Olgin, J.E., Division of Cardiology, Department of Medicine, University of California, San Francisco, Cardiology, 505 Parnassus Avenue, San Francisco, CA  94143, United States, Cardiovascular Research Institute, University of California, San Francisco, CA  94143, United States; Ahmed, Z., Division of Cardiology, Department of Medicine, University of Ottawa Heart Institute, University of Ottawa, 40 Ruskin Street, Ottawa, ON  K1Y 4W7, Canada; Verreault-Julien, L., Division of Cardiology, Department of Medicine, University of Ottawa Heart Institute, University of Ottawa, 40 Ruskin Street, Ottawa, ON  K1Y 4W7, Canada; Wan, A., Cardiovascular Research Institute, University of California, San Francisco, CA  94143, United States; Barrios, J., Division of Cardiology, Department of Medicine, University of California, San Francisco, Cardiology, 505 Parnassus Avenue, San Francisco, CA  94143, United States; Abreau, S., Division of Cardiology, Department of Medicine, University of California, San Francisco, Cardiology, 505 Parnassus Avenue, San Francisco, CA  94143, United States; Wan, D., Department of Electrical Engineering and Computer Science, RISE Lab, University of California, Berkeley, Soda Hall, Berkeley, CA  94720-1770, United States; Gonzalez, J.E., Department of Electrical Engineering and Computer Science, RISE Lab, University of California, Berkeley, Soda Hall, Berkeley, CA  94720-1770, United States; Tardif, J.-C., Division of Cardiology, Department of Medicine, Montreal Heart Institute - Université de Montréal, 5000 Rue Belanger, Montreal, QC  H1T 1C8, Canada; So, D.Y., Division of Cardiology, Department of Medicine, University of Ottawa Heart Institute, University of Ottawa, 40 Ruskin Street, Ottawa, ON  K1Y 4W7, Canada; Soni, K., Division of Cardiology, Department of Medicine, University of California, San Francisco, Cardiology, 505 Parnassus Avenue, San Francisco, CA  94143, United States; Tison, G.H., Division of Cardiology, Department of Medicine, University of California, San Francisco, Cardiology, 505 Parnassus Avenue, San Francisco, CA  94143, United States, Cardiovascular Research Institute, University of California, San Francisco, CA  94143, United States, Department of Electrical Engineering and Computer Science, RISE Lab, University of California, Berkeley, Soda Hall, Berkeley, CA  94720-1770, United States, Bakar Computational Health Sciences Institute, University of California, San Francisco, 94158, United States","Tison, G.H.; Division of Cardiology, 505 Parnassus Avenue, United States; email: Geoff.Tison@ucsf.edu",,"Nature Research",23986352,,,,"English","npj Digit. Med.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85168306190
"Thompson H.R., Madsen K.A., Zamek M., McKenzie T.L., Dzewaltowski D.A.","35729849700;13403212500;57243711700;7006235265;34771046500;","Implementation of elementary school physical education quantity and quality law through school district audit, feedback, and coaching",2023,"International Journal of Behavioral Nutrition and Physical Activity","20","1","77","","",,,"10.1186/s12966-023-01479-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163706803&doi=10.1186%2fs12966-023-01479-1&partnerID=40&md5=4803993cab7ca0e5470bebe87b7f621a","School of Public Health, Community Health Sciences, UC Berkeley, Berkeley, CA, United States; School of Exercise and Nutritional Sciences, San Diego State University, San Diego, CA, United States; Department of Health Promotion, College of Public Health, University of Nebraska Medical Center, Omaha, NE, United States","Thompson, H.R., School of Public Health, Community Health Sciences, UC Berkeley, Berkeley, CA, United States; Madsen, K.A., School of Public Health, Community Health Sciences, UC Berkeley, Berkeley, CA, United States; Zamek, M., School of Public Health, Community Health Sciences, UC Berkeley, Berkeley, CA, United States; McKenzie, T.L., School of Exercise and Nutritional Sciences, San Diego State University, San Diego, CA, United States; Dzewaltowski, D.A., Department of Health Promotion, College of Public Health, University of Nebraska Medical Center, Omaha, NE, United States","Thompson, H.R.; School of Public Health, United States; email: thompsonh@berkeley.edu",,"BioMed Central Ltd",14795868,,,"37386631","English","Int. J. Behav. Nutr. Phys. Act.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85163706803
"Morrison A.M., Kulp M.T., Ciner E.B., Mitchell G.L., McDaniel C.E., Hertle R.W., Candy T.R., Roberts T.L., Peterseim M.M., Granet D.B., Robbins S.L., Srinivasan G., Allison C.L., Ying G.-S., Orel-Bixler D., Block S.S., Moore B.R.","57217112091;7003828989;6602463035;7403097831;36174359500;7006153174;6602823846;35278916800;6602076468;6701767974;7102094074;57211117923;7007175226;57613015300;6602291583;7103367347;7402320367;","Prescribing patterns for paediatric hyperopia among paediatric eye care providers",2023,"Ophthalmic and Physiological Optics","43","5",,"972","984",,,"10.1111/opo.13184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163044854&doi=10.1111%2fopo.13184&partnerID=40&md5=089e043f9b818ee89365837444be6a99","The Ohio State University College of Optometry, Columbus, OH, United States; Pennsylvania College of Optometry, Salus University, Elkins Park, PA, United States; Akron Children's Hospital, Akron, OH, United States; Indiana University Bloomington, Bloomington, IN, United States; Spencer Center for Vision Research, Byers Eye Institute at Stanford University, Palo Alto, CA, United States; Medical University of South Carolina Albert Florens Storm Eye Institute, Charleston, SC, United States; Viterbi Family Department of Ophthalmology, Ratner Children's Eye Center, University of California San Diego, La JollaCA, United States; Illinois College of Optometry, Chicago, IL, United States; University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, United States; Berkeley School of Optometry, University of California, Berkeley, CA, United States; New England College of Optometry, Boston, MA, United States","Morrison, A.M., The Ohio State University College of Optometry, Columbus, OH, United States; Kulp, M.T., The Ohio State University College of Optometry, Columbus, OH, United States; Ciner, E.B., Pennsylvania College of Optometry, Salus University, Elkins Park, PA, United States; Mitchell, G.L., The Ohio State University College of Optometry, Columbus, OH, United States; McDaniel, C.E., The Ohio State University College of Optometry, Columbus, OH, United States; Hertle, R.W., Akron Children's Hospital, Akron, OH, United States; Candy, T.R., Indiana University Bloomington, Bloomington, IN, United States; Roberts, T.L., Spencer Center for Vision Research, Byers Eye Institute at Stanford University, Palo Alto, CA, United States; Peterseim, M.M., Medical University of South Carolina Albert Florens Storm Eye Institute, Charleston, SC, United States; Granet, D.B., Viterbi Family Department of Ophthalmology, Ratner Children's Eye Center, University of California San Diego, La JollaCA, United States; Robbins, S.L., Viterbi Family Department of Ophthalmology, Ratner Children's Eye Center, University of California San Diego, La JollaCA, United States; Srinivasan, G., Spencer Center for Vision Research, Byers Eye Institute at Stanford University, Palo Alto, CA, United States; Allison, C.L., Illinois College of Optometry, Chicago, IL, United States; Ying, G.-S., University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, United States; Orel-Bixler, D., Berkeley School of Optometry, University of California, Berkeley, CA, United States; Block, S.S., Illinois College of Optometry, Chicago, IL, United States; Moore, B.R., New England College of Optometry, Boston, MA, United States","Morrison, A.M.; The Ohio State University College of OptometryUnited States; email: morrison.421@osu.edu",,"John Wiley and Sons Inc",02755408,,OPOPD,"37334937","English","Ophthalmic Physiol. Opt.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85163044854
"Oakley M., Sande H.","57259920900;57201016047;","The Relationship between Non-Native Perception and Phonological Patterning of Implosive Consonants",2023,"Language and Speech","66","3",,"786","815",,,"10.1177/00238309221132495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142884390&doi=10.1177%2f00238309221132495&partnerID=40&md5=7b2302e0ccfde4107cf517b1f444d558","North Carolina State University, United States; University of California, Berkeley, United States","Oakley, M., North Carolina State University, United States; Sande, H., University of California, Berkeley, United States","Oakley, M.; North Carolina State UniversityUnited States; email: mo643@georgetown.edu",,"SAGE Publications Ltd",00238309,,,"36440824","English","Lang. Speech",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85142884390
"Kim Y.H., Graham A.D., Li W., Dursch T.J., Peng C.-C., Radke C.J., Lin M.C.","57203809850;7402187827;37060711200;37063058800;35410086900;57220455376;55476712200;","Tear-film evaporation flux and its relationship to tear properties in symptomatic and asymptomatic soft-contact-lens wearers",2023,"Contact Lens and Anterior Eye","46","4","101850","","",,,"10.1016/j.clae.2023.101850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154043489&doi=10.1016%2fj.clae.2023.101850&partnerID=40&md5=075f931c2b92b937b5fc2fb16e45b106","Herbert Wertheim School of Optometry & Vision Science, University of California, Berkeley, CA  94720, United States; Clinical Research Center, Herbert Wertheim School of Optometry & Vision Science, University of California, Berkeley, CA  94720, United States; Chemical and Biomolecular Engineering Department, University of California, Berkeley, CA  94720, United States; CooperVision Inc., Pleasanton, CA  94588, United States","Kim, Y.H., Herbert Wertheim School of Optometry & Vision Science, University of California, Berkeley, CA  94720, United States, Clinical Research Center, Herbert Wertheim School of Optometry & Vision Science, University of California, Berkeley, CA  94720, United States, Chemical and Biomolecular Engineering Department, University of California, Berkeley, CA  94720, United States; Graham, A.D., Clinical Research Center, Herbert Wertheim School of Optometry & Vision Science, University of California, Berkeley, CA  94720, United States; Li, W., Herbert Wertheim School of Optometry & Vision Science, University of California, Berkeley, CA  94720, United States, Clinical Research Center, Herbert Wertheim School of Optometry & Vision Science, University of California, Berkeley, CA  94720, United States; Dursch, T.J., Clinical Research Center, Herbert Wertheim School of Optometry & Vision Science, University of California, Berkeley, CA  94720, United States, Chemical and Biomolecular Engineering Department, University of California, Berkeley, CA  94720, United States; Peng, C.-C., Clinical Research Center, Herbert Wertheim School of Optometry & Vision Science, University of California, Berkeley, CA  94720, United States, Chemical and Biomolecular Engineering Department, University of California, Berkeley, CA  94720, United States, CooperVision Inc., Pleasanton, CA  94588, United States; Radke, C.J., Herbert Wertheim School of Optometry & Vision Science, University of California, Berkeley, CA  94720, United States, Chemical and Biomolecular Engineering Department, University of California, Berkeley, CA  94720, United States; Lin, M.C., Herbert Wertheim School of Optometry & Vision Science, University of California, Berkeley, CA  94720, United States, Clinical Research Center, Herbert Wertheim School of Optometry & Vision Science, University of California, Berkeley, CA  94720, United States","Lin, M.C.; University of California, 360 Minor Hall, United States; email: mlin@berkeley.edu",,"Elsevier B.V.",13670484,,CLAEA,"37137757","English","Contact Lens Anterior Eye",Article,"Final","",Scopus,2-s2.0-85154043489
"Perugu B., Wadhwa V., Kim J., Cai J., Shin A., Gupta A.","58516832800;58517045700;58516832900;58517151400;58516728000;8451638300;","Surmounting Barriers to Healthcare Data and Information: International Case Studies",2023,"Telehealth and Medicine Today","8","4","428","","",,,"10.30953/thmt.v8.428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166423519&doi=10.30953%2fthmt.v8.428&partnerID=40&md5=0ce725289ee9f21d4f726309b6135830","Information Technology, ULV, Office Practicum, Fort WashingtonPA, United States; Department of Economics, University of California, Berkeley, CA, United States; Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, United States; Computer Science and Economics, Wellesley College, Wellesley, MA, United States","Perugu, B., Information Technology, ULV, Office Practicum, Fort WashingtonPA, United States; Wadhwa, V., Department of Economics, University of California, Berkeley, CA, United States; Kim, J., Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, United States; Cai, J., Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, United States; Shin, A., Computer Science and Economics, Wellesley College, Wellesley, MA, United States; Gupta, A., Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, United States","Cai, J.; Department of Electrical Engineering and Computer Science, United States; email: jxcai@mit.edu",,"Partners in Digital Health",24716960,,,,"English","Telehealth. Med. Today.",Article,"Final","",Scopus,2-s2.0-85166423519
"Perugu B., Wadhwa V., Kim J., Cai J., Shin A., Gupta A.","58516832800;58517045700;58516832900;58517151400;58516728000;8451638300;","Pragmatic Approaches to Interoperability in the U.S.: Surmounting Barriers to Healthcare Data and Information Across Organizations",2023,"Telehealth and Medicine Today","8","4","421","","",,,"10.30953/thmt.v8.421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166397443&doi=10.30953%2fthmt.v8.421&partnerID=40&md5=3ee9941244c2b9b692930a1c0ba71f7e","Information Technology, ULV, Office Practicum, Fort WashingtonPA, United States; Department of Economics, University of California, Berkeley, CA, United States; Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, United States; Computer Science and Economics, Wellesley College, Wellesley, MA, United States","Perugu, B., Information Technology, ULV, Office Practicum, Fort WashingtonPA, United States; Wadhwa, V., Department of Economics, University of California, Berkeley, CA, United States; Kim, J., Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, United States; Cai, J., Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, United States; Shin, A., Computer Science and Economics, Wellesley College, Wellesley, MA, United States; Gupta, A., Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, United States","Cai, J.; Department of Electrical Engineering and Computer Science, United States; email: jxcai@mit.edu",,"Partners in Digital Health",24716960,,,,"English","Telehealth. Med. Today.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85166397443
"Li J., Guan X., Wu Q., He C., Zhang W., Lin X., Liu C., Wei H., Xu X., Zhang Y.","56479406900;57146022100;57225959790;57736646300;57735487800;58193985400;35269306700;56814095100;56344436400;57148583100;","Direct localization and delineation of human pedunculopontine nucleus based on a self-supervised magnetic resonance image super-resolution method",2023,"Human Brain Mapping","44","9",,"3781","3794",,,"10.1002/hbm.26311","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153352708&doi=10.1002%2fhbm.26311&partnerID=40&md5=e6b835f8993da09251f3a782a3aaa475","School of Information Science and Technology, ShanghaiTech University, Shanghai, China; Department of Radiology, The Second Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China; Department of Electrical Engineering and Computer Science, University of California at Berkeley, Berkeley, CA, United States; Helen Wills Neuroscience Institute, University of California at Berkeley, Berkeley, CA, United States; School of Biomedical Engineering, Shanghai Jiao Tong University, Shanghai, China; Institute of Medical Robotics, Shanghai Jiao Tong University, Shanghai, China; Ihuman Institute, ShanghaiTech University, Shanghai, China","Li, J., School of Information Science and Technology, ShanghaiTech University, Shanghai, China; Guan, X., Department of Radiology, The Second Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China; Wu, Q., School of Information Science and Technology, ShanghaiTech University, Shanghai, China; He, C., School of Information Science and Technology, ShanghaiTech University, Shanghai, China; Zhang, W., School of Information Science and Technology, ShanghaiTech University, Shanghai, China; Lin, X., School of Information Science and Technology, ShanghaiTech University, Shanghai, China; Liu, C., Department of Electrical Engineering and Computer Science, University of California at Berkeley, Berkeley, CA, United States, Helen Wills Neuroscience Institute, University of California at Berkeley, Berkeley, CA, United States; Wei, H., School of Biomedical Engineering, Shanghai Jiao Tong University, Shanghai, China, Institute of Medical Robotics, Shanghai Jiao Tong University, Shanghai, China; Xu, X., Department of Radiology, The Second Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China; Zhang, Y., School of Information Science and Technology, ShanghaiTech University, Shanghai, China, Ihuman Institute, ShanghaiTech University, Shanghai, China","Zhang, Y.; School of Information Science and Technology, 393 Middle Huaxia Road, China; email: zhangyy8@shanghaitech.edu.cn
Xu, X.; Department of Radiology, 88 Jiefang Road, Zhejiang, China; email: xxjmailbox@zju.edu.cn",,"John Wiley and Sons Inc",10659471,,HBMAE,"37186095","English","Hum. Brain Mapp.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85153352708
"Nguyen A., Arteaga S., Mystic M.-I., Cuentos A., Armstead M., Arcara J., Jackson A.V., Marshall C., Gomez A.M.","58251558300;56926546400;58251137000;57295008100;57295008200;56677767200;42461568900;56765204500;23767243600;","Supporting Birthing People and Supporting Doulas: The Impact of the COVID-19 Pandemic on a Community-Based Doula Organization in San Francisco",2023,"Health Equity","7","1",,"356","363",,,"10.1089/heq.2022.0194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164410692&doi=10.1089%2fheq.2022.0194&partnerID=40&md5=66e9155bc1f7c9536e580fd80ba1895b","School of Public Health, University of California, Berkeley, Berkeley, CA, United States; Sexual Health and Reproductive Equity Program, School of Social Welfare, University of California, Berkeley, Berkeley, CA, United States; SisterWeb San Francisco Community Doula Network, San Francisco, CA, United States; Department of Obstetrics, Gynecology and Family Planning, Maternal, Child, and Adolescent Health Program, University of California, San Francisco, San Francisco, CA, United States","Nguyen, A., School of Public Health, University of California, Berkeley, Berkeley, CA, United States; Arteaga, S., Sexual Health and Reproductive Equity Program, School of Social Welfare, University of California, Berkeley, Berkeley, CA, United States; Mystic, M.-I., SisterWeb San Francisco Community Doula Network, San Francisco, CA, United States; Cuentos, A., SisterWeb San Francisco Community Doula Network, San Francisco, CA, United States; Armstead, M., SisterWeb San Francisco Community Doula Network, San Francisco, CA, United States; Arcara, J., Sexual Health and Reproductive Equity Program, School of Social Welfare, University of California, Berkeley, Berkeley, CA, United States; Jackson, A.V., Department of Obstetrics, Gynecology and Family Planning, Maternal, Child, and Adolescent Health Program, University of California, San Francisco, San Francisco, CA, United States; Marshall, C., School of Public Health, University of California, Berkeley, Berkeley, CA, United States; Gomez, A.M., Sexual Health and Reproductive Equity Program, School of Social Welfare, University of California, Berkeley, Berkeley, CA, United States","Gomez, A.M.; Sexual Health and Reproductive Equity Program, 113b Haviland Hall, MC 7400, United States; email: anugomez@berkeley.edu",,"Mary Ann Liebert Inc.",24731242,,,,"English","Health Equity",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85164410692
