Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Amses K., Desiró A., Bryson A., Grigoriev I., Mondo S., Lipzen A., LaButti K., Riley R., Singan V., Salazar-Hamm P., King J., Ballou E., Pawlowska T., Adeleke R., Bonito G., Uehling J.","57148402100;55319133700;57218119257;57195934346;17346297000;31967739800;12795096400;36524070500;8979872900;58407470700;58612495600;26025571100;6602571113;35726731100;6507694449;51162017400;","Convergent reductive evolution and host adaptation in Mycoavidus bacterial endosymbionts of Mortierellaceae fungi",2023,"Fungal Genetics and Biology","169",,"103838","","",,,"10.1016/j.fgb.2023.103838","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171855811&doi=10.1016%2fj.fgb.2023.103838&partnerID=40&md5=b25a9a08c7779a3b4011d35f1111fd0d","Department of Botany and Plant Pathology, Oregon State University, Corvallis, OR  97333, United States; Department of Plant Soil and Microbial Sciences, Michigan State University, East Lansing, MI  48824, United States; United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Department of Plant and Microbial Biology, University of California Berkeley, Berkeley, CA  94720, United States; Department of Agricultural Biology, Colorado State University, Fort Collins, CO, United States; School of Biosciences, University of Sheffield, Western Bank, S10 2TN, United Kingdom; MRC Centre for Medical Mycology, University of Exeter, Exeter, EX4 4QD, United Kingdom; School of Integrative Plant Science, Cornell University, Ithaca, NY  14853-5904, United States; Unit for Environmental Sciences and Management, North-West University, Potchefstroom, Private bag X60012520, South Africa","Amses, K., Department of Botany and Plant Pathology, Oregon State University, Corvallis, OR  97333, United States; Desiró, A., Department of Plant Soil and Microbial Sciences, Michigan State University, East Lansing, MI  48824, United States; Bryson, A., Department of Plant Soil and Microbial Sciences, Michigan State University, East Lansing, MI  48824, United States; Grigoriev, I., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Department of Plant and Microbial Biology, University of California Berkeley, Berkeley, CA  94720, United States; Mondo, S., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Department of Agricultural Biology, Colorado State University, Fort Collins, CO, United States; Lipzen, A., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; LaButti, K., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Riley, R., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Singan, V., United States Department of Energy Joint Genome Institute, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Salazar-Hamm, P., Department of Botany and Plant Pathology, Oregon State University, Corvallis, OR  97333, United States; King, J., Department of Agricultural Biology, Colorado State University, Fort Collins, CO, United States; Ballou, E., School of Biosciences, University of Sheffield, Western Bank, S10 2TN, United Kingdom; Pawlowska, T., MRC Centre for Medical Mycology, University of Exeter, Exeter, EX4 4QD, United Kingdom; Adeleke, R., School of Integrative Plant Science, Cornell University, Ithaca, NY  14853-5904, United States, Unit for Environmental Sciences and Management, North-West University, Potchefstroom, Private bag X60012520, South Africa; Bonito, G., Department of Plant Soil and Microbial Sciences, Michigan State University, East Lansing, MI  48824, United States; Uehling, J., Department of Botany and Plant Pathology, Oregon State University, Corvallis, OR  97333, United States","Uehling, J.; Department of Botany and Plant Pathology, United States; email: Jessie.Uehling@OregonState.edu",,"Academic Press Inc.",10871845,,FGBIF,"37716699","English","Fungal Genet. Biol.",Article,"Final","",Scopus,2-s2.0-85171855811
"Twentyman J., Khalifeh A., Felton A.L., Emerman M., Ohainle M.","56922136400;58258018400;57216604938;7006862840;12808409300;","Primate TRIM34 is a broadly-acting, TRIM5-dependent lentiviral restriction factor",2023,"Retrovirology","20","1","15","","",,1,"10.1186/s12977-023-00629-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168478479&doi=10.1186%2fs12977-023-00629-4&partnerID=40&md5=80ca98637995e709b24b3abffafff818","Department of Global Health, University of Washington, Seattle, WA, United States; Divisions of Human Biology and Basic Sciences, Fred Hutchinson Cancer Research Center, Seattle, WA, United States; Department of Molecular and Cell Biology, Division of Immunology and Molecular Medicine, University of California –Berkeley, Berkeley, CA, United States","Twentyman, J., Department of Global Health, University of Washington, Seattle, WA, United States, Divisions of Human Biology and Basic Sciences, Fred Hutchinson Cancer Research Center, Seattle, WA, United States; Khalifeh, A., Department of Molecular and Cell Biology, Division of Immunology and Molecular Medicine, University of California –Berkeley, Berkeley, CA, United States; Felton, A.L., Divisions of Human Biology and Basic Sciences, Fred Hutchinson Cancer Research Center, Seattle, WA, United States; Emerman, M., Divisions of Human Biology and Basic Sciences, Fred Hutchinson Cancer Research Center, Seattle, WA, United States; Ohainle, M., Divisions of Human Biology and Basic Sciences, Fred Hutchinson Cancer Research Center, Seattle, WA, United States, Department of Molecular and Cell Biology, Division of Immunology and Molecular Medicine, University of California –Berkeley, Berkeley, CA, United States","Ohainle, M.; Divisions of Human Biology and Basic Sciences, United States; email: ohainle@berkeley.edu",,"BioMed Central Ltd",17424690,,,"37608289","English","Retrovirology",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85168478479
"Winters S., Sabasaba A., Fahey C.A., Packel L., Katabaro E., Ndungile Y., Njau P.F., McCoy S.I.","57215591498;57205475921;57189661855;11640189200;57219093993;57226735261;56200212700;7005161905;","Increased prevalence of depression and anxiety among adults initiating antiretroviral therapy during the COVID-19 pandemic in Shinyanga region, Tanzania",2023,"AIDS Research and Therapy","20","1","36","","",,,"10.1186/s12981-023-00534-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161648133&doi=10.1186%2fs12981-023-00534-y&partnerID=40&md5=25f9d0b21042d5a9b6f038c3e6664595","School of Public Health, University of California, Berkeley, 2121 Berkeley Way, Berkeley, 94704, United States; Health for a Prosperous Nation, Dar es Salaam, Tanzania; School of Public Health, University of Washington, Seattle, United States; Ministry of Health, Dodoma, Tanzania","Winters, S., School of Public Health, University of California, Berkeley, 2121 Berkeley Way, Berkeley, 94704, United States; Sabasaba, A., Health for a Prosperous Nation, Dar es Salaam, Tanzania; Fahey, C.A., School of Public Health, University of Washington, Seattle, United States; Packel, L., School of Public Health, University of California, Berkeley, 2121 Berkeley Way, Berkeley, 94704, United States; Katabaro, E., Health for a Prosperous Nation, Dar es Salaam, Tanzania; Ndungile, Y., Ministry of Health, Dodoma, Tanzania; Njau, P.F., Ministry of Health, Dodoma, Tanzania; McCoy, S.I., School of Public Health, University of California, Berkeley, 2121 Berkeley Way, Berkeley, 94704, United States","Winters, S.; School of Public Health, 2121 Berkeley Way, United States; email: solis_winters@berkeley.edu",,"BioMed Central Ltd",17426405,,,"37301833","English","AIDS Res. Ther.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85161648133
"Walas N., Slown S., Amato H.K., Lloyd T., Bender M., Varghese V., Pandori M., Graham J.P.","57553475000;58029621900;57216892616;57217251204;57217252107;57521319000;57283800300;7404642721;","The role of plasmids in carbapenem resistant E. coli in Alameda County, California",2023,"BMC Microbiology","23","1","147","","",,1,"10.1186/s12866-023-02900-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159839712&doi=10.1186%2fs12866-023-02900-2&partnerID=40&md5=1829970e3b8e7f57b66556fc2290e9e1","School of Public Health, University of California, Berkeley, CA, United States; Alameda County Public Health Laboratory, Oakland, CA, United States; Nevada State Public Health Laboratory, Reno, NV, United States","Walas, N., School of Public Health, University of California, Berkeley, CA, United States; Slown, S., School of Public Health, University of California, Berkeley, CA, United States; Amato, H.K., School of Public Health, University of California, Berkeley, CA, United States; Lloyd, T., Alameda County Public Health Laboratory, Oakland, CA, United States; Bender, M., Alameda County Public Health Laboratory, Oakland, CA, United States; Varghese, V., Alameda County Public Health Laboratory, Oakland, CA, United States; Pandori, M., Alameda County Public Health Laboratory, Oakland, CA, United States, Nevada State Public Health Laboratory, Reno, NV, United States; Graham, J.P., School of Public Health, University of California, Berkeley, CA, United States","Walas, N.; School of Public Health, United States; email: nwalas@berkeley.edu",,"BioMed Central Ltd",14712180,,,"37217873","English","BMC Microbiol.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85159839712
"Adams J.D., Sander K.B., Criddle C.S., Arkin A.P., Clark D.S.","57226686855;55923804600;7004173112;7006902792;57219106275;","Engineering osmolysis susceptibility in Cupriavidus necator and Escherichia coli for recovery of intracellular products",2023,"Microbial Cell Factories","22","1","69","","",,,"10.1186/s12934-023-02064-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152326717&doi=10.1186%2fs12934-023-02064-8&partnerID=40&md5=cb49a1014d5de5a25f3f88b5677b6484","Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA  94720, United States; Department of Bioengineering, University of California, Berkeley, CA  94720, United States; Department of Civil and Environmental Engineering, Stanford University, Stanford, CA  94305, United States; Environmental Genomics and Systems Biology Division, Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA  94720, United States; Molecular Biophysics and Integrated Bioimaging Division, Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA  94720, United States","Adams, J.D., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA  94720, United States; Sander, K.B., Department of Bioengineering, University of California, Berkeley, CA  94720, United States; Criddle, C.S., Department of Civil and Environmental Engineering, Stanford University, Stanford, CA  94305, United States; Arkin, A.P., Department of Bioengineering, University of California, Berkeley, CA  94720, United States, Environmental Genomics and Systems Biology Division, Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA  94720, United States; Clark, D.S., Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA  94720, United States, Molecular Biophysics and Integrated Bioimaging Division, Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA  94720, United States","Clark, D.S.; Department of Chemical and Biomolecular Engineering, United States; email: dsc@berkeley.edu",,"BioMed Central Ltd",14752859,,MCFIC,"37046248","English","Microb. Cell Fact.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85152326717
"Lou Y.C., Hoff J., Olm M.R., West-Roberts J., Diamond S., Firek B.A., Morowitz M.J., Banfield J.F.","57221355098;57473566400;56080088300;57194638552;56599896600;56754323900;36962247200;7005748958;","Using strain-resolved analysis to identify contamination in metagenomics data",2023,"Microbiome","11","1","36","","",,1,"10.1186/s40168-023-01477-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149265918&doi=10.1186%2fs40168-023-01477-2&partnerID=40&md5=480491a420e3d95890ab782d2080cfd8","Department of Plant and Microbial Biology, University of California, Berkeley, CA, United States; Department of Earth and Planetary Science, University of California, Berkeley, CA, United States; Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford, CA  94305, United States; Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA, United States; Innovative Genomics Institute, University of California, Berkeley, CA, United States; Department of Surgery, University of Pittsburgh School of Medicine, Pittsburgh, PA, United States","Lou, Y.C., Department of Plant and Microbial Biology, University of California, Berkeley, CA, United States; Hoff, J., Department of Earth and Planetary Science, University of California, Berkeley, CA, United States; Olm, M.R., Department of Plant and Microbial Biology, University of California, Berkeley, CA, United States, Department of Microbiology and Immunology, Stanford University School of Medicine, Stanford, CA  94305, United States; West-Roberts, J., Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA, United States; Diamond, S., Department of Earth and Planetary Science, University of California, Berkeley, CA, United States, Innovative Genomics Institute, University of California, Berkeley, CA, United States; Firek, B.A., Department of Surgery, University of Pittsburgh School of Medicine, Pittsburgh, PA, United States; Morowitz, M.J., Department of Surgery, University of Pittsburgh School of Medicine, Pittsburgh, PA, United States; Banfield, J.F., Department of Earth and Planetary Science, University of California, Berkeley, CA, United States, Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA, United States, Innovative Genomics Institute, University of California, Berkeley, CA, United States","Banfield, J.F.; Innovative Genomics Institute, United States; email: jbanfield@berkeley.edu",,"BioMed Central Ltd",20492618,,,"36864482","English","Microbiome",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85149265918
"Rerolle F., Dantzer E., Phimmakong T., Lover A., Hongvanthong B., Phetsouvanh R., Marshall J., Sturrock H., Bennett A.","57023929000;57886309200;57738438100;56153246100;6506572507;12752874500;55471919700;35146667400;35228693900;","Characterizing mobility patterns of forest goers in southern Lao PDR using GPS loggers",2023,"Malaria Journal","22","1","38","","",,,"10.1186/s12936-023-04468-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147318550&doi=10.1186%2fs12936-023-04468-8&partnerID=40&md5=0beb4aab809f28bcdb0638cb31e5b9b8","Malaria Elimination Initiative, The Global Health Group, University of California, San Francisco, CA, United States; Department of Epidemiology and Biostatistics, University of California, San Francisco, CA, United States; Center for Malariology, Parasitology and Entomology, Ministry of Health, Vientiane, Laos; Department of Biostatistics and Epidemiology, School of Public Health and Health Sciences, University of Massachusetts, Amherst, MA, United States; Divisions of Epidemiology and Biostatistics, School of Public Health, University of California, Berkeley, CA, United States; Malaria and Neglected Tropical Diseases, PATH, Seattle, WA, United States","Rerolle, F., Malaria Elimination Initiative, The Global Health Group, University of California, San Francisco, CA, United States, Department of Epidemiology and Biostatistics, University of California, San Francisco, CA, United States; Dantzer, E., Malaria Elimination Initiative, The Global Health Group, University of California, San Francisco, CA, United States; Phimmakong, T., Center for Malariology, Parasitology and Entomology, Ministry of Health, Vientiane, Laos; Lover, A., Department of Biostatistics and Epidemiology, School of Public Health and Health Sciences, University of Massachusetts, Amherst, MA, United States; Hongvanthong, B., Center for Malariology, Parasitology and Entomology, Ministry of Health, Vientiane, Laos; Phetsouvanh, R., Center for Malariology, Parasitology and Entomology, Ministry of Health, Vientiane, Laos; Marshall, J., Divisions of Epidemiology and Biostatistics, School of Public Health, University of California, Berkeley, CA, United States; Sturrock, H., Malaria Elimination Initiative, The Global Health Group, University of California, San Francisco, CA, United States, Department of Epidemiology and Biostatistics, University of California, San Francisco, CA, United States; Bennett, A., Malaria Elimination Initiative, The Global Health Group, University of California, San Francisco, CA, United States, Department of Epidemiology and Biostatistics, University of California, San Francisco, CA, United States, Malaria and Neglected Tropical Diseases, PATH, Seattle, WA, United States","Rerolle, F.; Malaria Elimination Initiative, United States; email: francois.rerolle@ucsf.edu",,"BioMed Central Ltd",14752875,,,"36732769","English","Malar. J.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85147318550
"Jaffe A.L., Bardot C., Le Jeune A.-H., Liu J., Colombet J., Perrière F., Billard H., Castelle C.J., Lehours A.-C., Banfield J.F.","57191609513;36948336300;15064187400;57652854800;23011233300;54918402300;34869130000;25622343500;12142998200;7005748958;","Variable impact of geochemical gradients on the functional potential of bacteria, archaea, and phages from the permanently stratified Lac Pavin",2023,"Microbiome","11","1","14","","",,3,"10.1186/s40168-022-01416-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146758577&doi=10.1186%2fs40168-022-01416-7&partnerID=40&md5=9f1e4ae92770a00957daf1dc63b05257","Department of Plant and Microbial Biology, University of California, Berkeley, CA, United States; Laboratoire Microorganismes: Génome et Environnement (LMGE), UMR CNRS 6023, Université Clermont-Auvergne, Clermont-Ferrand, F-63000, France; Innovative Genomics Institute, University of California, Berkeley, CA, United States; Department of Earth and Planetary Science, University of California, Berkeley, CA, United States; Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA, United States; Chan Zuckerberg Biohub, San Francisco, CA, United States","Jaffe, A.L., Department of Plant and Microbial Biology, University of California, Berkeley, CA, United States; Bardot, C., Laboratoire Microorganismes: Génome et Environnement (LMGE), UMR CNRS 6023, Université Clermont-Auvergne, Clermont-Ferrand, F-63000, France; Le Jeune, A.-H., Laboratoire Microorganismes: Génome et Environnement (LMGE), UMR CNRS 6023, Université Clermont-Auvergne, Clermont-Ferrand, F-63000, France; Liu, J., Department of Plant and Microbial Biology, University of California, Berkeley, CA, United States; Colombet, J., Laboratoire Microorganismes: Génome et Environnement (LMGE), UMR CNRS 6023, Université Clermont-Auvergne, Clermont-Ferrand, F-63000, France; Perrière, F., Laboratoire Microorganismes: Génome et Environnement (LMGE), UMR CNRS 6023, Université Clermont-Auvergne, Clermont-Ferrand, F-63000, France; Billard, H., Laboratoire Microorganismes: Génome et Environnement (LMGE), UMR CNRS 6023, Université Clermont-Auvergne, Clermont-Ferrand, F-63000, France; Castelle, C.J., Innovative Genomics Institute, University of California, Berkeley, CA, United States; Lehours, A.-C., Laboratoire Microorganismes: Génome et Environnement (LMGE), UMR CNRS 6023, Université Clermont-Auvergne, Clermont-Ferrand, F-63000, France; Banfield, J.F., Innovative Genomics Institute, University of California, Berkeley, CA, United States, Department of Earth and Planetary Science, University of California, Berkeley, CA, United States, Department of Environmental Science, Policy, and Management, University of California, Berkeley, CA, United States, Chan Zuckerberg Biohub, San Francisco, CA, United States","Banfield, J.F.; Chan Zuckerberg BiohubUnited States; email: jbanfield@berkeley.edu",,"BioMed Central Ltd",20492618,,,"36694212","English","Microbiome",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85146758577
"Yang J., Liu Y., Zhong D., Xu L., Gao H., Keasling J.D., Luo X., Chou H.H.","58613704400;58614446900;58614601400;58613704500;58614447000;7005564120;56072967000;58160071500;","Combinatorial optimization and spatial remodeling of CYPs to control product profile",2023,"Metabolic Engineering","80",,,"119","129",,,"10.1016/j.ymben.2023.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172025823&doi=10.1016%2fj.ymben.2023.09.004&partnerID=40&md5=22282261cecf60bc2b2e2ea7e2564465","Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China; CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China; Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Joint BioEnergy Institute, Emeryville, CA  94608, United States; Biological Systems and Engineering Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Department of Chemical and Biomolecular Engineering & Department of Bioengineering, University of California, Berkeley, CA  94720, United States; Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark, Kgs. Lyngby2800, Denmark","Yang, J., Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Liu, Y., CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Zhong, D., CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Xu, L., Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Gao, H., CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Keasling, J.D., Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China, Joint BioEnergy Institute, Emeryville, CA  94608, United States, Biological Systems and Engineering Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Department of Chemical and Biomolecular Engineering & Department of Bioengineering, University of California, Berkeley, CA  94720, United States, Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark, Kgs. Lyngby2800, Denmark; Luo, X., Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China; Chou, H.H., Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, CAS Key Laboratory of Quantitative Engineering Biology, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, 518055, China, Center for Synthetic Biochemistry, Shenzhen Institute of Synthetic Biology, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences518055, China","Chou, H.H.; Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, China; email: howard@siat.ac.cn",,"Academic Press Inc.",10967176,,MEENF,"37703999","English","Metab. Eng.",Article,"Final","",Scopus,2-s2.0-85172025823
"Aminian-Dehkordi J., Rahimi S., Golzar-Ahmadi M., Singh A., Lopez J., Ledesma-Amaro R., Mijakovic I.","57202949214;38961952200;57224821398;57201303838;58588733700;55793172900;8325215500;","Synthetic biology tools for environmental protection",2023,"Biotechnology Advances","68",,"108239","","",,,"10.1016/j.biotechadv.2023.108239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169035008&doi=10.1016%2fj.biotechadv.2023.108239&partnerID=40&md5=2520bbd00cf7d5107f532806034a5460","Department of Bioengineering, University of California, Berkeley, United States; Department of Life Sciences, Chalmers University of Technology, Göteborg, Sweden; Norman B. Keevil Institute of Mining Engineering, University of British Columbia, Vancouver, Canada; Department of Bioengineering, Imperial College London, London, SW72AZ, United Kingdom; Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark, Lyngby, Denmark","Aminian-Dehkordi, J., Department of Bioengineering, University of California, Berkeley, United States; Rahimi, S., Department of Life Sciences, Chalmers University of Technology, Göteborg, Sweden; Golzar-Ahmadi, M., Norman B. Keevil Institute of Mining Engineering, University of British Columbia, Vancouver, Canada; Singh, A., Department of Bioengineering, Imperial College London, London, SW72AZ, United Kingdom; Lopez, J., Department of Bioengineering, Imperial College London, London, SW72AZ, United Kingdom; Ledesma-Amaro, R., Department of Bioengineering, Imperial College London, London, SW72AZ, United Kingdom; Mijakovic, I., Department of Life Sciences, Chalmers University of Technology, Göteborg, Sweden, Novo Nordisk Foundation Center for Biosustainability, Technical University of Denmark, Lyngby, Denmark","Mijakovic, I.; Department of Life Sciences, Sweden; email: ivan.mijakovic@chalmers.se
Ledesma-Amaro, R.; Department of Bioengineering, United Kingdom; email: r.ledesma-amaro@imperial.ac.uk",,"Elsevier Inc.",07349750,,BIADD,"37619824","English","Biotechnol. Adv.",Review,"Final","",Scopus,2-s2.0-85169035008
