Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Nguyen N., Herrington B., Chorazewicz K., Wang S.-F., Zielinski R., Turner J., Ashby P.D., Kilic U., Schubert E., Schubert M., Parrott R.A., Sweet A.A., Streubel R.","58562079000;57321775400;57203158324;57322363600;57321775300;57196581292;7006795630;57197299415;57293392700;57225358933;53876256400;16507735500;55201430400;","Ferromagnetic resonators synthesized by metal-organic decomposition epitaxy",2023,"Journal of Physics Condensed Matter","35","48","485801","","",,,"10.1088/1361-648X/acf35b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169760527&doi=10.1088%2f1361-648X%2facf35b&partnerID=40&md5=09eec0e387368b24ac2fd0a27d782fde","Department of Physics and Astronomy, University of Nebraska-Lincoln, Lincoln, NE  68588, United States; University of California Berkeley, Berkeley, CA  94720, United States; Vida Products Inc., Rohnert Park, CA  94928, United States; Molecular Foundry, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Department of Electrical and Computer Engineering, University of Nebraska-Lincoln, Lincoln, NE  68588, United States; Department of Electrical and Computer Engineering, Santa Clara University, Santa Clara, CA  95053, United States; Nebraska Center for Materials and Nanoscience, University of Nebraska-Lincoln, Lincoln, NE  68588, United States","Nguyen, N., Department of Physics and Astronomy, University of Nebraska-Lincoln, Lincoln, NE  68588, United States; Herrington, B., Department of Physics and Astronomy, University of Nebraska-Lincoln, Lincoln, NE  68588, United States; Chorazewicz, K., University of California Berkeley, Berkeley, CA  94720, United States; Wang, S.-F., Vida Products Inc., Rohnert Park, CA  94928, United States; Zielinski, R., Department of Physics and Astronomy, University of Nebraska-Lincoln, Lincoln, NE  68588, United States; Turner, J., Molecular Foundry, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Ashby, P.D., Molecular Foundry, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Kilic, U., Department of Electrical and Computer Engineering, University of Nebraska-Lincoln, Lincoln, NE  68588, United States; Schubert, E., Department of Electrical and Computer Engineering, University of Nebraska-Lincoln, Lincoln, NE  68588, United States; Schubert, M., Department of Electrical and Computer Engineering, University of Nebraska-Lincoln, Lincoln, NE  68588, United States; Parrott, R.A., Vida Products Inc., Rohnert Park, CA  94928, United States; Sweet, A.A., Vida Products Inc., Rohnert Park, CA  94928, United States, Department of Electrical and Computer Engineering, Santa Clara University, Santa Clara, CA  95053, United States; Streubel, R., Department of Physics and Astronomy, University of Nebraska-Lincoln, Lincoln, NE  68588, United States, Nebraska Center for Materials and Nanoscience, University of Nebraska-Lincoln, Lincoln, NE  68588, United States","Streubel, R.; Department of Physics and Astronomy, United States; email: streubel@unl.edu",,"Institute of Physics",09538984,,JCOME,"37611611","English","J Phys Condens Matter",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85169760527
"Thomsen M., Cruz J.J., Escudero F., Fernandez-Pello C., Fuentes A.","57188757303;57203544889;57021488500;56676952500;8725383200;","Sooting behavior on a spreading flame over PMMA rods under different oxygen concentrations",2023,"Fire Safety Journal","141",,"103967","","",,,"10.1016/j.firesaf.2023.103967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171616861&doi=10.1016%2fj.firesaf.2023.103967&partnerID=40&md5=9f3aafeebebb4d29d88b8eff4915d52c","Faculty of Engineering and Sciences, Universidad Adolfo Ibáñez, Santiago, Chile; Departamento de Industrias, Universidad Técnica Federico Santa María, Av. España 1680, Valparaíso, Chile; Department of Mechanical Engineering, University of California Berkeley, Berkeley, CA, United States","Thomsen, M., Faculty of Engineering and Sciences, Universidad Adolfo Ibáñez, Santiago, Chile; Cruz, J.J., Departamento de Industrias, Universidad Técnica Federico Santa María, Av. España 1680, Valparaíso, Chile; Escudero, F., Departamento de Industrias, Universidad Técnica Federico Santa María, Av. España 1680, Valparaíso, Chile; Fernandez-Pello, C., Department of Mechanical Engineering, University of California Berkeley, Berkeley, CA, United States; Fuentes, A., Departamento de Industrias, Universidad Técnica Federico Santa María, Av. España 1680, Valparaíso, Chile","Thomsen, M.; Faculty of Engineering and Sciences, Chile; email: maria.thomsen@uai.cl",,"Elsevier Ltd",03797112,,FSJOD,,"English","Fire Saf J",Article,"Final","",Scopus,2-s2.0-85171616861
"Ju X., Conkling M., Hajilou M., Lin S., Mostafa F., Ayyar A., McDowell A., Lisano M., Gollner M.J.","57192236737;58569634200;55928914200;57209984197;58569634300;58570044100;58569767100;58569837000;36760629900;","Laboratory quantification of firebrand generation from WUI fuels for model development",2023,"Fire Safety Journal","141",,"103921","","",,,"10.1016/j.firesaf.2023.103921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170420175&doi=10.1016%2fj.firesaf.2023.103921&partnerID=40&md5=4269fdac2dee565dc33f1f15a3c9500b","Department of Mechanical Engineering, University of California, Berkeley, CA, United States; State Key Laboratory of Fire Science, University of Science and Technology of China, Anhui, Hefei, China; Shiley School of Engineering, University of Portland, Oregon, United States; Department of Molecular and Cell Biology, University of California, Berkeley, CA, United States; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA, United States","Ju, X., Department of Mechanical Engineering, University of California, Berkeley, CA, United States, State Key Laboratory of Fire Science, University of Science and Technology of China, Anhui, Hefei, China; Conkling, M., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; Hajilou, M., Department of Mechanical Engineering, University of California, Berkeley, CA, United States, Shiley School of Engineering, University of Portland, Oregon, United States; Lin, S., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; Mostafa, F., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; Ayyar, A., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; McDowell, A., Department of Molecular and Cell Biology, University of California, Berkeley, CA, United States; Lisano, M., Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA, United States; Gollner, M.J., Department of Mechanical Engineering, University of California, Berkeley, CA, United States","Gollner, M.J.; Department of Mechanical Engineering, United States; email: mgollner@berkeley.edu",,"Elsevier Ltd",03797112,,FSJOD,,"English","Fire Saf J",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85170420175
"Garg P., Shan I., Lin S., Gollner M., Fernandez-Pello C.","57226563978;57984373400;57209984197;36760629900;56676952500;","Limiting conditions of smoldering-to-flaming transition of cellulose powder",2023,"Fire Safety Journal","141",,"103936","","",,,"10.1016/j.firesaf.2023.103936","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169577835&doi=10.1016%2fj.firesaf.2023.103936&partnerID=40&md5=398cf56a4b062bef5b34d51ab547c230","Department of Mechanical Engineering, University of California, Berkeley, CA, United States","Garg, P., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; Shan, I., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; Lin, S., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; Gollner, M., Department of Mechanical Engineering, University of California, Berkeley, CA, United States; Fernandez-Pello, C., Department of Mechanical Engineering, University of California, Berkeley, CA, United States","Gollner, M.; Department of Mechanical Engineering, United States; email: mgollner@berkeley.edu",,"Elsevier Ltd",03797112,,FSJOD,,"English","Fire Saf J",Article,"Final","",Scopus,2-s2.0-85169577835
"Peng Y., Shen Y., Huang Q., Yang X., Yang Y., Zhong J., Pan J., Han X.","57211016066;58545920800;57848206600;58606050100;58545781700;58546058600;58545497400;55450946600;","Separation of near-boiling mixtures (acetic acid and water) enhanced by ionic liquid",2023,"Journal of Chemical Thermodynamics","187",,"107147","","",,,"10.1016/j.jct.2023.107147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168585068&doi=10.1016%2fj.jct.2023.107147&partnerID=40&md5=1f37edffee4d6b7b78863b5eec2455bb","Key Laboratory of Chemical and Biological Processing Technology for Farm Products of Zhejiang Province, School of Biological and Chemical Engineering, Zhejiang University of Science and Technology, Hangzhou, 310023, China; Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA  94720, United States","Peng, Y., Key Laboratory of Chemical and Biological Processing Technology for Farm Products of Zhejiang Province, School of Biological and Chemical Engineering, Zhejiang University of Science and Technology, Hangzhou, 310023, China, Department of Chemical and Biomolecular Engineering, University of California, Berkeley, CA  94720, United States; Shen, Y., Key Laboratory of Chemical and Biological Processing Technology for Farm Products of Zhejiang Province, School of Biological and Chemical Engineering, Zhejiang University of Science and Technology, Hangzhou, 310023, China; Huang, Q., Key Laboratory of Chemical and Biological Processing Technology for Farm Products of Zhejiang Province, School of Biological and Chemical Engineering, Zhejiang University of Science and Technology, Hangzhou, 310023, China; Yang, X., Key Laboratory of Chemical and Biological Processing Technology for Farm Products of Zhejiang Province, School of Biological and Chemical Engineering, Zhejiang University of Science and Technology, Hangzhou, 310023, China; Yang, Y., Key Laboratory of Chemical and Biological Processing Technology for Farm Products of Zhejiang Province, School of Biological and Chemical Engineering, Zhejiang University of Science and Technology, Hangzhou, 310023, China; Zhong, J., Key Laboratory of Chemical and Biological Processing Technology for Farm Products of Zhejiang Province, School of Biological and Chemical Engineering, Zhejiang University of Science and Technology, Hangzhou, 310023, China; Pan, J., Key Laboratory of Chemical and Biological Processing Technology for Farm Products of Zhejiang Province, School of Biological and Chemical Engineering, Zhejiang University of Science and Technology, Hangzhou, 310023, China; Han, X., Key Laboratory of Chemical and Biological Processing Technology for Farm Products of Zhejiang Province, School of Biological and Chemical Engineering, Zhejiang University of Science and Technology, Hangzhou, 310023, China","Peng, Y.; Key Laboratory of Chemical and Biological Processing Technology for Farm Products of Zhejiang Province, China; email: 11128050@zju.edu.cn",,"Academic Press",00219614,,JCTDA,,"English","J Chem Thermodyn",Article,"Final","",Scopus,2-s2.0-85168585068
"Jasrasaria D., Rabani E.","57204776847;7003305034;","Circumventing the phonon bottleneck by multiphonon-mediated hot exciton cooling at the nanoscale",2023,"npj Computational Materials","9","1","145","","",,,"10.1038/s41524-023-01102-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168308198&doi=10.1038%2fs41524-023-01102-8&partnerID=40&md5=5394b7c04d51cefc84fbb98a56945eec","Department of Chemistry, University of California, Berkeley, CA  94720, United States; Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; The Sackler Center for Computational Molecular and Materials Science, Tel Aviv University, Tel Aviv, 69978, Israel; Department of Chemistry, Columbia University, New York, NY  10027, United States","Jasrasaria, D., Department of Chemistry, University of California, Berkeley, CA  94720, United States, Department of Chemistry, Columbia University, New York, NY  10027, United States; Rabani, E., Department of Chemistry, University of California, Berkeley, CA  94720, United States, Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, The Sackler Center for Computational Molecular and Materials Science, Tel Aviv University, Tel Aviv, 69978, Israel","Jasrasaria, D.; Department of Chemistry, United States; email: djasrasaria@berkeley.edu
Rabani, E.; Department of Chemistry, United States; email: eran.rabani@berkeley.edu",,"Nature Research",20573960,,,,"English","npj Computational Mater.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85168308198
"Bieberdorf N., Asta M., Capolungo L.","57227566200;7003468475;9239120200;","Grain boundary effects in high-temperature liquid-metal dealloying: a multi-phase field study",2023,"npj Computational Materials","9","1","127","","",,,"10.1038/s41524-023-01076-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165419952&doi=10.1038%2fs41524-023-01076-7&partnerID=40&md5=26481028f7e15940fac697585745708d","Department of Materials Science and Engineering, University of California, Berkeley, CA  94720, United States; Materials Science and Technology Division, Los Alamos National Laboratory, Los Alamos, NM  87545, United States","Bieberdorf, N., Department of Materials Science and Engineering, University of California, Berkeley, CA  94720, United States; Asta, M., Department of Materials Science and Engineering, University of California, Berkeley, CA  94720, United States; Capolungo, L., Materials Science and Technology Division, Los Alamos National Laboratory, Los Alamos, NM  87545, United States","Capolungo, L.; Materials Science and Technology Division, United States; email: laurent@lanl.gov",,"Nature Research",20573960,,,,"English","npj Computational Mater.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85165419952
"Ciocys S.T., Lanzara A.","56367779200;9743774400;","Ultrafast enhancement of electron-phonon coupling via dynamic quantum well states",2023,"Communications Materials","4","1","48","","",,,"10.1038/s43246-023-00370-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163415187&doi=10.1038%2fs43246-023-00370-7&partnerID=40&md5=0faadc124ab4fd43dfeef0fc156a36fa","Department of Physics, University of California, Berkeley, CA  94720, United States; Materials Science Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States","Ciocys, S.T., Department of Physics, University of California, Berkeley, CA  94720, United States, Materials Science Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Lanzara, A., Department of Physics, University of California, Berkeley, CA  94720, United States, Materials Science Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States","Lanzara, A.; Department of Physics, United States; email: alanzara@lbl.gov",,"Springer Nature",26624443,,,,"English","Commun. Mater.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85163415187
"Schuetzke J., Szymanski N.J., Reischl M.","57223193201;57200502052;6602490688;","Validating neural networks for spectroscopic classification on a universal synthetic dataset",2023,"npj Computational Materials","9","1","100","","",,,"10.1038/s41524-023-01055-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161414858&doi=10.1038%2fs41524-023-01055-y&partnerID=40&md5=775b8ab19009e8ed25724fac7b67baa5","Institute for Automation and Applied Informatics, Karlsruhe Institute of Technology, Karlsruhe, 76131, Germany; Department of Materials Science & Engineering, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Department of Materials Science & Engineering, UC Berkeley, Berkeley, CA  94720, United States","Schuetzke, J., Institute for Automation and Applied Informatics, Karlsruhe Institute of Technology, Karlsruhe, 76131, Germany; Szymanski, N.J., Department of Materials Science & Engineering, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Department of Materials Science & Engineering, UC Berkeley, Berkeley, CA  94720, United States; Reischl, M., Institute for Automation and Applied Informatics, Karlsruhe Institute of Technology, Karlsruhe, 76131, Germany","Reischl, M.; Institute for Automation and Applied Informatics, Germany; email: markus.reischl@kit.edu",,"Nature Research",20573960,,,,"English","npj Computational Mater.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85161414858
"Estlack Z., Golozar M., Butterworth A.L., Mathies R.A., Kim J.","57194680703;57216470902;7007101998;7103123753;57865820600;","Operation of a programmable microfluidic organic analyzer under microgravity conditions simulating space flight environments",2023,"npj Microgravity","9","1","41","","",,,"10.1038/s41526-023-00290-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161335506&doi=10.1038%2fs41526-023-00290-3&partnerID=40&md5=64c520caf4285c12245c3aea89e10c2c","Department of Mechanical Engineering, University of Utah, Salt Lake City, UT  84112, United States; Space Sciences Laboratory, University of California Berkeley, Berkeley, CA  94720, United States; Biophysics Graduate Group and Chemistry Department, University of California Berkeley, Berkeley, CA  94720, United States","Estlack, Z., Department of Mechanical Engineering, University of Utah, Salt Lake City, UT  84112, United States; Golozar, M., Space Sciences Laboratory, University of California Berkeley, Berkeley, CA  94720, United States, Biophysics Graduate Group and Chemistry Department, University of California Berkeley, Berkeley, CA  94720, United States; Butterworth, A.L., Space Sciences Laboratory, University of California Berkeley, Berkeley, CA  94720, United States; Mathies, R.A., Space Sciences Laboratory, University of California Berkeley, Berkeley, CA  94720, United States, Biophysics Graduate Group and Chemistry Department, University of California Berkeley, Berkeley, CA  94720, United States; Kim, J., Department of Mechanical Engineering, University of Utah, Salt Lake City, UT  84112, United States","Kim, J.; Department of Mechanical Engineering, United States; email: jkim@mech.utah.edu",,"Nature Research",23738065,,,,"English","npj Microgravity",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85161335506
"Huang Y., Perlmutter D., Fei-Huei Su A., Quenum J., Shevchenko P., Parkinson D.Y., Zenyuk I.V., Ushizima D.","57218165290;58115567100;58303750400;57222250413;57214364054;10341232700;55199825800;14827670900;","Detecting lithium plating dynamics in a solid-state battery with operando X-ray computed tomography using machine learning",2023,"npj Computational Materials","9","1","93","","",,,"10.1038/s41524-023-01039-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161049144&doi=10.1038%2fs41524-023-01039-y&partnerID=40&md5=39dc7e5b8ec922a09715bc3bd68546f8","Department of Materials Science & Engineering, University of California Irvine, Irvine, CA, United States; National Fuel Cell Research Center, University of California Irvine, Irvine, CA, United States; Applied Math and Computational Research Division, Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Department of Chemical & Biomolecular Engineering, University of California Irvine, Irvine, CA, United States; Department of Electrical Engineering and Computer Sciences, College of Engineering, University of California Berkeley, Berkeley, CA, United States; Advanced Photon Source, Argonne National Laboratory, 9700 South Cass Avenue, Lemont, IL, United States; Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Berkeley Institute for Data Science, University of California Berkeley, Berkeley, CA, United States","Huang, Y., Department of Materials Science & Engineering, University of California Irvine, Irvine, CA, United States, National Fuel Cell Research Center, University of California Irvine, Irvine, CA, United States; Perlmutter, D., Applied Math and Computational Research Division, Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Fei-Huei Su, A., National Fuel Cell Research Center, University of California Irvine, Irvine, CA, United States, Department of Chemical & Biomolecular Engineering, University of California Irvine, Irvine, CA, United States; Quenum, J., Applied Math and Computational Research Division, Lawrence Berkeley National Laboratory, Berkeley, CA, United States, Department of Electrical Engineering and Computer Sciences, College of Engineering, University of California Berkeley, Berkeley, CA, United States; Shevchenko, P., Advanced Photon Source, Argonne National Laboratory, 9700 South Cass Avenue, Lemont, IL, United States; Parkinson, D.Y., Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA, United States; Zenyuk, I.V., Department of Materials Science & Engineering, University of California Irvine, Irvine, CA, United States, National Fuel Cell Research Center, University of California Irvine, Irvine, CA, United States, Department of Electrical Engineering and Computer Sciences, College of Engineering, University of California Berkeley, Berkeley, CA, United States; Ushizima, D., Applied Math and Computational Research Division, Lawrence Berkeley National Laboratory, Berkeley, CA, United States, Berkeley Institute for Data Science, University of California Berkeley, Berkeley, CA, United States","Zenyuk, I.V.; Department of Materials Science & Engineering, United States; email: Iryna.zenyuk@uci.edu
Ushizima, D.; Applied Math and Computational Research Division, United States; email: dushizima@lbl.gov",,"Nature Research",20573960,,,,"English","npj Computational Mater.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85161049144
"Dai C., Popple D., Su C., Park J.-H., Watanabe K., Taniguchi T., Kong J., Zettl A.","57189689942;57201079216;55612288200;56949260400;55704890400;55252500400;26643411400;7005556530;","Evolution of nanopores in hexagonal boron nitride",2023,"Communications Chemistry","6","1","108","","",,,"10.1038/s42004-023-00899-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161013822&doi=10.1038%2fs42004-023-00899-1&partnerID=40&md5=2c32f519860799361e2bfd77a6c980e0","Department of Physics, University of California at Berkeley, Berkeley, CA  94720, United States; Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Kavli Energy NanoSciences Institute at the University of California at Berkeley and the Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Department of Chemistry, University of California at Berkeley, Berkeley, CA  94720, United States; Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA  02142, United States; International Centre for Materials Nanoarchitectonics, National Institute for Materials Science, Tsukuba, Japan","Dai, C., Department of Physics, University of California at Berkeley, Berkeley, CA  94720, United States, Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Kavli Energy NanoSciences Institute at the University of California at Berkeley and the Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Popple, D., Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Kavli Energy NanoSciences Institute at the University of California at Berkeley and the Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Department of Chemistry, University of California at Berkeley, Berkeley, CA  94720, United States; Su, C., Department of Physics, University of California at Berkeley, Berkeley, CA  94720, United States, Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Kavli Energy NanoSciences Institute at the University of California at Berkeley and the Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Park, J.-H., Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA  02142, United States; Watanabe, K., International Centre for Materials Nanoarchitectonics, National Institute for Materials Science, Tsukuba, Japan; Taniguchi, T., International Centre for Materials Nanoarchitectonics, National Institute for Materials Science, Tsukuba, Japan; Kong, J., Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA  02142, United States; Zettl, A., Department of Physics, University of California at Berkeley, Berkeley, CA  94720, United States, Materials Sciences Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Kavli Energy NanoSciences Institute at the University of California at Berkeley and the Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States","Zettl, A.; Department of Physics, United States; email: azettl@berkeley.edu",,"Nature Research",23993669,,,,"English","Commun. Chem.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85161013822
