Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Mundada N.S., Rojas J.C., Vandevrede L., Thijssen E.H., Iaccarino L., Okoye O.C., Shankar R., Soleimani-Meigooni D.N., Lago A.L., Miller B.L., Teunissen C.E., Heuer H., Rosen H.J., Dage J.L., Jagust W.J., Rabinovici G.D., Boxer A.L., La Joie R.","57223237764;57205947554;55188567800;57215650370;56114773500;58024383000;57871367400;57190289539;57226831337;35377631700;6701704380;58612293600;57210807888;6603019245;7006830290;56084814900;6701463422;36163258500;","Head-to-head comparison between plasma p-tau217 and flortaucipir-PET in amyloid-positive patients with cognitive impairment",2023,"Alzheimer's Research and Therapy","15","1","157","","",,,"10.1186/s13195-023-01302-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171858232&doi=10.1186%2fs13195-023-01302-w&partnerID=40&md5=32d7218a9e29bfda4de5f0c2f48eb9e7","Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States; Neurochemistry Laboratory, Department of Clinical Chemistry, Amsterdam Neuroscience, Neurodegeneration, Amsterdam UMC, Vrije Universiteit Amsterdam, Amsterdam, Netherlands; Eli Lilly and Company, Indianapolis, IN, United States; Global Brain Health Institute, San Francisco, CA, United States; Department of Neurology, Indiana University School of Medicine, Indianapolis, IN, United States; University of California, Berkeley, Berkeley, CA, United States","Mundada, N.S., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States; Rojas, J.C., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States; Vandevrede, L., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States; Thijssen, E.H., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States, Neurochemistry Laboratory, Department of Clinical Chemistry, Amsterdam Neuroscience, Neurodegeneration, Amsterdam UMC, Vrije Universiteit Amsterdam, Amsterdam, Netherlands; Iaccarino, L., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States, Eli Lilly and Company, Indianapolis, IN, United States; Okoye, O.C., Global Brain Health Institute, San Francisco, CA, United States; Shankar, R., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States; Soleimani-Meigooni, D.N., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States; Lago, A.L., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States; Miller, B.L., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States; Teunissen, C.E., Neurochemistry Laboratory, Department of Clinical Chemistry, Amsterdam Neuroscience, Neurodegeneration, Amsterdam UMC, Vrije Universiteit Amsterdam, Amsterdam, Netherlands; Heuer, H., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States; Rosen, H.J., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States; Dage, J.L., Department of Neurology, Indiana University School of Medicine, Indianapolis, IN, United States; Jagust, W.J., University of California, Berkeley, Berkeley, CA, United States; Rabinovici, G.D., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States; Boxer, A.L., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States; La Joie, R., Memory and Aging Center, Department of Neurology, Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA, United States, Global Brain Health Institute, San Francisco, CA, United States","La Joie, R.; Memory and Aging Center, San Francisco, United States; email: renaud.lajoie@ucsf.edu",,"BioMed Central Ltd",17589193,,,,"English","Alzheimers Res. Ther.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85171858232
"Nadler E.O., Darragh-Ford E., Desikan B.S., Conaway C., Chu M., Hull T., Guilbeault D.","57201114001;57211745129;57202579427;58581953000;57216991203;57221325332;57190262951;","Divergences in color perception between deep neural networks and humans",2023,"Cognition","241",,"105621","","",,,"10.1016/j.cognition.2023.105621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171358370&doi=10.1016%2fj.cognition.2023.105621&partnerID=40&md5=d347de6d59bee31c5bcc677ad893aeab","Carnegie Observatories, United States; Department of Physics, University of Southern California, United States; Kavli Institute for Particle Astrophysics and Cosmology and Department of Physics, Stanford University, United States; School of Computer and Communication Sciences, École Polytechnique Fédérale de Lausanne, Switzerland; Knowledge Lab, University of Chicago, United States; University of California, San Diego, United States; School of the Arts, Columbia University, United States; Psiphon Inc., Toronto, Canada; Haas School of Business, University of California, Berkeley, United States","Nadler, E.O., Carnegie Observatories, United States, Department of Physics, University of Southern California, United States; Darragh-Ford, E., Kavli Institute for Particle Astrophysics and Cosmology and Department of Physics, Stanford University, United States; Desikan, B.S., School of Computer and Communication Sciences, École Polytechnique Fédérale de Lausanne, Switzerland, Knowledge Lab, University of Chicago, United States; Conaway, C., University of California, San Diego, United States; Chu, M., School of the Arts, Columbia University, United States; Hull, T., Psiphon Inc., Toronto, Canada; Guilbeault, D., Haas School of Business, University of California, Berkeley, United States","Nadler, E.O.; Carnegie ObservatoriesUnited States; email: enadler@carnegiescience.edu
Guilbeault, D.; Haas School of Business, United States; email: douglas.guilbeault@haas.berkeley.edu",,"Elsevier B.V.",00100277,,CGTNA,,"English","Cognition",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85171358370
"Huang E.Y., Gao H., Zhong N.","58542381000;58542056700;58143813700;","Heterogeneity of clinical features, EEG and brain imaging findings in anti-leucine-rich glioma-inactivated protein 1 autoimmune encephalitis: a retrospective case series study and review of the literature",2023,"Acta Epileptologica","5","1","21","","",,,"10.1186/s42494-023-00132-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168337428&doi=10.1186%2fs42494-023-00132-5&partnerID=40&md5=b1caa48f39d5bf9486d7440405c728e1","Department of Molecular and Cell Biology, University of California, Berkeley, CA  94720, United States; Department of Molecular and Cell Biology and Helen Wills Neuroscience Institute, University of California, Berkeley, CA  94720, United States; Department of Neurology, Kaiser Permanente Sacramento Medical Center, Sacramento, CA  95825, United States; North Valley Regional Epilepsy Center, Kaiser Permanente Sacramento Medical Center, Sacramento, CA  95825, United States","Huang, E.Y., Department of Molecular and Cell Biology, University of California, Berkeley, CA  94720, United States; Gao, H., Department of Molecular and Cell Biology and Helen Wills Neuroscience Institute, University of California, Berkeley, CA  94720, United States; Zhong, N., Department of Neurology, Kaiser Permanente Sacramento Medical Center, Sacramento, CA  95825, United States, North Valley Regional Epilepsy Center, Kaiser Permanente Sacramento Medical Center, Sacramento, CA  95825, United States","Zhong, N.; Department of Neurology, United States; email: ning.zhong@kp.org",,"BioMed Central Ltd",25244434,,,,"English","Acta Epileptologica",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85168337428
"Asken B.M., Tanner J.A., Gaynor L.S., VandeVrede L., Mantyh W.G., Casaletto K.B., Staffaroni A.M., Fonseca C., Shankar R., Grant H., Smith K., Lago A.L., Xu H., La Joie R., Cobigo Y., Rosen H., Perry D.C., Rojas J.C., Miller B.L., Gardner R.C., Wang K.K.W., Kramer J.H., Rabinovici G.D.","57189763413;56597528400;56717534200;55188567800;26655862000;56135574100;55972629500;57216879946;57871367400;55866298400;57213077999;57226831337;57215498064;36163258500;57194623363;57210807888;57210856607;57205947554;57217566468;28567739800;57221120673;57219148089;56084814900;","Alzheimer’s pathology is associated with altered cognition, brain volume, and plasma biomarker patterns in traumatic encephalopathy syndrome",2023,"Alzheimer's Research and Therapy","15","1","126","","",,,"10.1186/s13195-023-01275-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165499294&doi=10.1186%2fs13195-023-01275-w&partnerID=40&md5=3905b5f8413179d556613cb75588419a","Department of Clinical & Health Psychology, 1Florida Alzheimer’s Disease Research Center, University of Florida, 1225 Center Drive, Gainesville, FL  32610, United States; Department of Neurology, Biggs Institute for Alzheimer’s and Neurodegenerative Diseases, South Texas Alzheimer’s Disease Research Center, University of Texas Health – San Antonio, 7703 Floyd Curl Drive, San Antonio, TX  78229, United States; Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Department of Neurology, University of Minnesota, PWB 12-100, 516 Delaware Street SE, Minneapolis, MN  55455, United States; Department of Neuroscience, Helen Wills Neuroscience Institute, University of California, 132 Barker Hall MC#3190, Berkeley, CA  94720, United States; Department of Surgery, University of Florida, PO Box 100128, Gainesville, FL  32610, United States; Sheba Medical Center, Tel Hashomer City of Health, Tel Aviv District, Derech Sheba 2, Ramat Gan, Israel; Department of Neurobiology, Morehouse School of Medicine, 720 Westview Drive SW, Atlanta, GA  30310, United States","Asken, B.M., Department of Clinical & Health Psychology, 1Florida Alzheimer’s Disease Research Center, University of Florida, 1225 Center Drive, Gainesville, FL  32610, United States; Tanner, J.A., Department of Neurology, Biggs Institute for Alzheimer’s and Neurodegenerative Diseases, South Texas Alzheimer’s Disease Research Center, University of Texas Health – San Antonio, 7703 Floyd Curl Drive, San Antonio, TX  78229, United States; Gaynor, L.S., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; VandeVrede, L., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Mantyh, W.G., Department of Neurology, University of Minnesota, PWB 12-100, 516 Delaware Street SE, Minneapolis, MN  55455, United States; Casaletto, K.B., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Staffaroni, A.M., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Fonseca, C., Department of Neuroscience, Helen Wills Neuroscience Institute, University of California, 132 Barker Hall MC#3190, Berkeley, CA  94720, United States; Shankar, R., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Grant, H., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Smith, K., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Lago, A.L., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Xu, H., Department of Surgery, University of Florida, PO Box 100128, Gainesville, FL  32610, United States; La Joie, R., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Cobigo, Y., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Rosen, H., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Perry, D.C., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Rojas, J.C., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Miller, B.L., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Gardner, R.C., Sheba Medical Center, Tel Hashomer City of Health, Tel Aviv District, Derech Sheba 2, Ramat Gan, Israel; Wang, K.K.W., Department of Neurobiology, Morehouse School of Medicine, 720 Westview Drive SW, Atlanta, GA  30310, United States; Kramer, J.H., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States; Rabinovici, G.D., Department of Neurology, Weill Institute for Neurosciences, Memory and Aging Center, University of California, San Francisco, 675 Nelson Rising Lane, San Francisco, CA  94158, United States","Asken, B.M.; Department of Clinical & Health Psychology, 1225 Center Drive, United States; email: basken8@phhp.ufl.edu",,"BioMed Central Ltd",17589193,,,"37480088","English","Alzheimers Res. Ther.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85165499294
"Cai W., Warren S.L., Duberg K., Yu A., Hinshaw S.P., Menon V.","15843014700;8986423500;57211387555;57734233100;7006793147;57203179800;","Both reactive and proactive control are deficient in children with ADHD and predictive of clinical symptoms",2023,"Translational Psychiatry","13","1","179","","",,,"10.1038/s41398-023-02471-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160277761&doi=10.1038%2fs41398-023-02471-w&partnerID=40&md5=862abc77b65ae49ef34aaef69053166b","Department of Psychiatry & Behavioral Sciences, Stanford University School of Medicine, Stanford, CA, United States; Wu Tsai Neuroscience Institute, Stanford University, Stanford, CA, United States; Department of Psychology, School of Behavioral and Brain Sciences, The University of Texas at Dallas, Richardson, TX, United States; Department of Cognitive Science, University of California, San Diego, CA, United States; Department of Psychology, University of California, Berkeley, CA, United States; Department of Psychiatry and Behavioral Sciences, University of California, San Francisco, United States; Department of Neurology & Neurological Sciences, Stanford University School of Medicine, Stanford, CA, United States","Cai, W., Department of Psychiatry & Behavioral Sciences, Stanford University School of Medicine, Stanford, CA, United States, Wu Tsai Neuroscience Institute, Stanford University, Stanford, CA, United States; Warren, S.L., Department of Psychology, School of Behavioral and Brain Sciences, The University of Texas at Dallas, Richardson, TX, United States; Duberg, K., Department of Psychiatry & Behavioral Sciences, Stanford University School of Medicine, Stanford, CA, United States; Yu, A., Department of Cognitive Science, University of California, San Diego, CA, United States; Hinshaw, S.P., Department of Psychology, University of California, Berkeley, CA, United States, Department of Psychiatry and Behavioral Sciences, University of California, San Francisco, United States; Menon, V., Department of Psychiatry & Behavioral Sciences, Stanford University School of Medicine, Stanford, CA, United States, Wu Tsai Neuroscience Institute, Stanford University, Stanford, CA, United States, Department of Neurology & Neurological Sciences, Stanford University School of Medicine, Stanford, CA, United States","Cai, W.; Department of Psychiatry & Behavioral Sciences, United States; email: wdcai@stanford.edu
Menon, V.; Department of Psychiatry & Behavioral Sciences, United States; email: menon@stanford.edu",,"Springer Nature",21583188,,,"37236924","English","Transl. Psychiatry",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85160277761
"Zerwas F.K., Ebo R., Allison G., Karnilowicz H.R., Carrillo B., Wilhelm F.H., Mauss I.B.","57222589412;57763066300;57217054299;57193812991;57221970570;7103335438;7801461623;","Corrigendum to “Spontaneous suppression in dating couples: Social and physiological correlates of suppressing negative and positive emotions during negative and positive conversations” [Int. J. Psychophysiol. 178 (2022) 60–70, (S0167876022001374), (10.1016/j.ijpsycho.2022.06.001)]",2023,"International Journal of Psychophysiology","193",,"112240","","",,,"10.1016/j.ijpsycho.2023.08.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171175420&doi=10.1016%2fj.ijpsycho.2023.08.013&partnerID=40&md5=d214952b55aa0b0c5e68887019437b66","University of California, Berkeley, United States; McGill University, Canada; University of Salzburg, Austria","Zerwas, F.K., University of California, Berkeley, United States; Ebo, R., University of California, Berkeley, United States; Allison, G., McGill University, Canada; Karnilowicz, H.R., University of California, Berkeley, United States; Carrillo, B., University of California, Berkeley, United States; Wilhelm, F.H., University of Salzburg, Austria; Mauss, I.B., University of California, Berkeley, United States","Zerwas, F.K.; University of CaliforniaUnited States; email: fzerwas@berkeley.edu",,"Elsevier B.V.",01678760,,IJPSE,,"English","Int. J. Psychophysiol.",Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-85171175420
"Ahmed M., Chen J., Arani A., Senjem M.L., Cogswell P.M., Jack C.R., Jr, Liu C.","58604155200;57215696096;27567466500;57226033215;57192876972;18033457700;35269306700;","The diamagnetic component map from quantitative susceptibility mapping (QSM) source separation reveals pathological alteration in Alzheimer's disease-driven neurodegeneration",2023,"NeuroImage","280",,,"120357","",,,"10.1016/j.neuroimage.2023.120357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171601363&doi=10.1016%2fj.neuroimage.2023.120357&partnerID=40&md5=2e9278a4981edd7d81d87d21d1cd7d46","Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA 94720, USA; Department of Radiology, Mayo Clinic, 200 First St SW, Rochester, United States; Department of Radiology, Mayo Clinic, 200 First St SW, Rochester, MN 55905, USA; Department of Information Technology, Mayo Clinic, 200 First St SW, Rochester, MN 55905, USA; Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA 94720, USA; Helen Wills Neuroscience Institute, University of California, Berkeley, CA 94720, USA","Ahmed, M., Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA 94720, USA; Chen, J., Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA 94720, USA; Arani, A., Department of Radiology, Mayo Clinic, 200 First St SW, Rochester, United States; Senjem, M.L., Department of Radiology, Mayo Clinic, 200 First St SW, Rochester, MN 55905, USA; Department of Information Technology, Mayo Clinic, 200 First St SW, Rochester, MN 55905, USA; Cogswell, P.M., Department of Radiology, Mayo Clinic, 200 First St SW, Rochester, United States; Jack, C.R., Jr, Department of Radiology, Mayo Clinic, 200 First St SW, Rochester, United States; Liu, C., Department of Electrical Engineering and Computer Sciences, University of California, Berkeley, CA 94720, USA; Helen Wills Neuroscience Institute, University of California, Berkeley, CA 94720, USA",,,"NLM (Medline)",10959572,,,"37661080","English","Neuroimage",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85171601363
"Chung B.T., Kim Y., Gordon J.W., Chen H.-Y., Autry A.W., Lee P.M., Hu J.Y., Tan C.T., Suszczynski C., Chang S.M., Villanueva-Meyer J.E., Bok R.A., Larson P.E.Z., Xu D., Li Y., Vigneron D.B.","57211332283;56525668300;48061302400;56331929100;57196298974;57217503248;57479364400;7402818137;57211336175;7405603707;57192945996;6603542209;14031664200;7404074118;56201829800;7006256489;","Hyperpolarized [2–13C]pyruvate MR molecular imaging with whole brain coverage",2023,"NeuroImage","280",,"120350","","",,,"10.1016/j.neuroimage.2023.120350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169058318&doi=10.1016%2fj.neuroimage.2023.120350&partnerID=40&md5=d5e3a068a400c00c7e8c74513acfdcdc","Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States; UCSF – UC Berkeley Graduate Program in Bioengineering, University of California, United States; ISOTEC Stable Isotope Division, MilliporeSigma, Merck KGaA, Miamisburg, OH  45342, United States; Department of Neurological Surgery, University of California, San Francisco, CA  94158, United States","Chung, B.T., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States, UCSF – UC Berkeley Graduate Program in Bioengineering, University of California, United States; Kim, Y., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States; Gordon, J.W., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States; Chen, H.-Y., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States; Autry, A.W., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States; Lee, P.M., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States, UCSF – UC Berkeley Graduate Program in Bioengineering, University of California, United States; Hu, J.Y., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States, UCSF – UC Berkeley Graduate Program in Bioengineering, University of California, United States; Tan, C.T., ISOTEC Stable Isotope Division, MilliporeSigma, Merck KGaA, Miamisburg, OH  45342, United States; Suszczynski, C., ISOTEC Stable Isotope Division, MilliporeSigma, Merck KGaA, Miamisburg, OH  45342, United States; Chang, S.M., Department of Neurological Surgery, University of California, San Francisco, CA  94158, United States; Villanueva-Meyer, J.E., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States; Bok, R.A., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States; Larson, P.E.Z., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States, UCSF – UC Berkeley Graduate Program in Bioengineering, University of California, United States; Xu, D., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States, UCSF – UC Berkeley Graduate Program in Bioengineering, University of California, United States; Li, Y., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States; Vigneron, D.B., Department of Radiology and Biomedical Imaging, University of California, 1700 Fourth Street, Byers Hall Suite 102, San Francisco, CA  94158, United States, UCSF – UC Berkeley Graduate Program in Bioengineering, University of California, United States, Department of Neurological Surgery, University of California, San Francisco, CA  94158, United States","Kim, Y.; Department of Radiology and Biomedical Imaging, 1700 Fourth Street, Byers Hall Suite 102, United States; email: yaewon.kim@ucsf.edu",,"Academic Press Inc.",10538119,,NEIME,"37634883","English","NeuroImage",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85169058318
"LeBel A., D'Mello A.M.","57222015889;56539698300;","A seat at the (language) table: incorporating the cerebellum into frameworks for language processing",2023,"Current Opinion in Behavioral Sciences","53",,"101310","","",,,"10.1016/j.cobeha.2023.101310","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171159572&doi=10.1016%2fj.cobeha.2023.101310&partnerID=40&md5=7189f9d026830ec0df68e76b61df2aca","Helen Wills Neuroscience Institute, University of California, Berkeley, CA, United States; Department of Psychiatry, University of Texas Southwestern Medical Center, Dallas, TX, United States; Peter O'Donnell Jr. Brain Institute, University of Texas Southwestern Medical Center, Dallas, TX, United States; Department of Psychology, University of Texas at Dallas, Richardson, TX, United States","LeBel, A., Helen Wills Neuroscience Institute, University of California, Berkeley, CA, United States; D'Mello, A.M., Department of Psychiatry, University of Texas Southwestern Medical Center, Dallas, TX, United States, Peter O'Donnell Jr. Brain Institute, University of Texas Southwestern Medical Center, Dallas, TX, United States, Department of Psychology, University of Texas at Dallas, Richardson, TX, United States",,,"Elsevier Ltd",23521546,,,,"English","Curr. Opin. Behav. Sci.",Review,"Final","",Scopus,2-s2.0-85171159572
"Montealegre-Mora F., Lapeyrolerie M., Chapman M., Keller A.G., Boettiger C.","57219500721;57225952152;57214151829;57221352001;15753693500;","Pretty Darn Good Control: When are Approximate Solutions Better than Approximate Models",2023,"Bulletin of Mathematical Biology","85","10","95","","",,,"10.1007/s11538-023-01198-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169649409&doi=10.1007%2fs11538-023-01198-5&partnerID=40&md5=85ba507b4dda4d53fcf319f6ca31951b","University of California Berkeley, Berkeley, United States","Montealegre-Mora, F., University of California Berkeley, Berkeley, United States; Lapeyrolerie, M., University of California Berkeley, Berkeley, United States; Chapman, M., University of California Berkeley, Berkeley, United States; Keller, A.G., University of California Berkeley, Berkeley, United States; Boettiger, C., University of California Berkeley, Berkeley, United States","Boettiger, C.; University of California BerkeleyUnited States; email: cboettig@berkeley.edu",,"Springer",00928240,,BMTBA,"37665428","English","Bull. Math. Biol.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85169649409
