Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Thompson H.R., Madsen K.A., Zamek M., McKenzie T.L., Dzewaltowski D.A.","35729849700;13403212500;57243711700;7006235265;34771046500;","Implementation of elementary school physical education quantity and quality law through school district audit, feedback, and coaching",2023,"International Journal of Behavioral Nutrition and Physical Activity","20","1","77","","",,,"10.1186/s12966-023-01479-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163706803&doi=10.1186%2fs12966-023-01479-1&partnerID=40&md5=4803993cab7ca0e5470bebe87b7f621a","School of Public Health, Community Health Sciences, UC Berkeley, Berkeley, CA, United States; School of Exercise and Nutritional Sciences, San Diego State University, San Diego, CA, United States; Department of Health Promotion, College of Public Health, University of Nebraska Medical Center, Omaha, NE, United States","Thompson, H.R., School of Public Health, Community Health Sciences, UC Berkeley, Berkeley, CA, United States; Madsen, K.A., School of Public Health, Community Health Sciences, UC Berkeley, Berkeley, CA, United States; Zamek, M., School of Public Health, Community Health Sciences, UC Berkeley, Berkeley, CA, United States; McKenzie, T.L., School of Exercise and Nutritional Sciences, San Diego State University, San Diego, CA, United States; Dzewaltowski, D.A., Department of Health Promotion, College of Public Health, University of Nebraska Medical Center, Omaha, NE, United States","Thompson, H.R.; School of Public Health, United States; email: thompsonh@berkeley.edu",,"BioMed Central Ltd",14795868,,,"37386631","English","Int. J. Behav. Nutr. Phys. Act.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85163706803
"Matias S.L., Anderson C.E., Koleilat M.","36006589500;57194723541;37032863300;","Breastfeeding moderates childhood obesity risk associated with prenatal exposure to excessive gestational weight gain",2023,"Maternal and Child Nutrition","19","4","e13545","","",,,"10.1111/mcn.13545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162849063&doi=10.1111%2fmcn.13545&partnerID=40&md5=92aa33666be24fbccdb7a9c7d718a489","Department of Nutritional Sciences and Toxicology, University of California, Berkeley, CA, United States; Public Health Foundation Enterprises WIC, Irwindale, CA, United States; Department of Public Health, California State University, Fullerton, CA, United States","Matias, S.L., Department of Nutritional Sciences and Toxicology, University of California, Berkeley, CA, United States; Anderson, C.E., Public Health Foundation Enterprises WIC, Irwindale, CA, United States; Koleilat, M., Department of Public Health, California State University, Fullerton, CA, United States","Matias, S.L.; Department of Nutritional Sciences and Toxicology, 225 Morgan Hall, United States; email: slmatias@berkeley.edu",,"John Wiley and Sons Inc",17408695,,,"37357364","English","Matern. Child Nutr.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85162849063
"Roey T., Hung D.Y., Rundall T.G., Fournier P.-L., Zhong A., Shortell S.M.","58566809100;13008264500;7004198916;57196348322;58566753100;7101883588;","Lean Performance Indicators and Facilitators of Outcomes in U.S. Public Hospitals",2023,"Journal of healthcare management / American College of Healthcare Executives","68","5",,"325","341",,,"10.1097/JHM-D-22-00107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170176613&doi=10.1097%2fJHM-D-22-00107&partnerID=40&md5=5f45eda6082b2b7370376358b2a78bca","Center for Lean Engagement & Research, Division of Health Policy and Management, University of California, Berkeley, CA, United States","Roey, T.; Hung, D.Y.; Rundall, T.G.; Fournier, P.-L.; Zhong, A.; Shortell, S.M., Center for Lean Engagement & Research, Division of Health Policy and Management, University of California, Berkeley, CA, United States",,,"NLM (Medline)",10969012,,,"37678825","English","J Healthc Manag",Article,"Final","",Scopus,2-s2.0-85170176613
"Mujahid M.S., Maddali S.R., Gao X., Oo K.H., Benjamin L.A., Lewis T.T.","12446049600;57208014574;57209835999;58550034200;58549921900;8277132100;","The Impact of Neighborhoods on Diabetes Risk and Outcomes: Centering Health Equity",2023,"Diabetes care","46","9",,"1609","1618",,1,"10.2337/dci23-0003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168795597&doi=10.2337%2fdci23-0003&partnerID=40&md5=340c44475795037635bf705abfbf4242","Division of Epidemiology, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Department of Epidemiology, Rollins School of Public Health, Emory University, Atlanta, GA, United States","Mujahid, M.S., Division of Epidemiology, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Maddali, S.R., Division of Epidemiology, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Gao, X., Division of Epidemiology, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Oo, K.H., Division of Epidemiology, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Benjamin, L.A., Division of Epidemiology, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Lewis, T.T., Department of Epidemiology, Rollins School of Public Health, Emory University, Atlanta, GA, United States",,,"NLM (Medline)",19355548,,,"37354326","English","Diabetes Care",Review,"Final","All Open Access, Bronze",Scopus,2-s2.0-85168795597
"Sagayama H., Kondo E., Tanabe Y., Uchizawa A., Evans W.J., Shankaran M., Nyangau E., Hellerstein M., Shiose K., Yoshida T., Yasukata J., Higaki Y., Ohnishi T., Takahashi H., Yamada Y.","55559366400;57194329438;54989097200;57214105576;57204261838;6507674459;57192311739;7005132498;54781845600;55805447700;56534220500;7005909686;57205331212;56672263600;57205240742;","Comparison of Bioelectrical Impedance Indices for Skeletal Muscle Mass and Intracellular Water Measurements of Physically Active Young Men and Athletes",2023,"Journal of Nutrition","153","9",,"2543","2551",,,"10.1016/j.tjnut.2023.07.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168363199&doi=10.1016%2fj.tjnut.2023.07.010&partnerID=40&md5=1983c7077e060bd696e88bf49a7342cc","Faculty of Health and Sport Sciences, University of Tsukuba, Ibaraki, Japan; Japan Society for the Promotion of Science, Kojimachi, Chiyoda-ku, Tokyo, Japan; Faculty of Human Life Design, Toyo University, Akabanedai, Kita-ku, Tokyo, Japan; Graduate School of Comprehensive Human Science, University of Tsukuba, Ibaraki, Japan; Department of Nutritional Sciences and Toxicology, University of California, Berkeley, CA, United States; Division of Geriatrics, Department of Medicine, Duke University Medical Center, Durham, NC, United States; Faculty of Education, University of Miyazaki, Miyazaki, Japan; National Institute of Health and Nutrition, National Institutes of Biomedical Innovation, Health and Nutrition, Osaka, Japan; Faculty of Sports and Health Science, Fukuoka University, Fukuoka, Japan; Japan Institute of Sports Sciences, Tokyo, Japan","Sagayama, H., Faculty of Health and Sport Sciences, University of Tsukuba, Ibaraki, Japan; Kondo, E., Faculty of Health and Sport Sciences, University of Tsukuba, Ibaraki, Japan, Japan Society for the Promotion of Science, Kojimachi, Chiyoda-ku, Tokyo, Japan; Tanabe, Y., Japan Society for the Promotion of Science, Kojimachi, Chiyoda-ku, Tokyo, Japan, Faculty of Human Life Design, Toyo University, Akabanedai, Kita-ku, Tokyo, Japan; Uchizawa, A., Japan Society for the Promotion of Science, Kojimachi, Chiyoda-ku, Tokyo, Japan, Graduate School of Comprehensive Human Science, University of Tsukuba, Ibaraki, Japan; Evans, W.J., Department of Nutritional Sciences and Toxicology, University of California, Berkeley, CA, United States, Division of Geriatrics, Department of Medicine, Duke University Medical Center, Durham, NC, United States; Shankaran, M., Department of Nutritional Sciences and Toxicology, University of California, Berkeley, CA, United States; Nyangau, E., Department of Nutritional Sciences and Toxicology, University of California, Berkeley, CA, United States; Hellerstein, M., Department of Nutritional Sciences and Toxicology, University of California, Berkeley, CA, United States; Shiose, K., Faculty of Education, University of Miyazaki, Miyazaki, Japan; Yoshida, T., National Institute of Health and Nutrition, National Institutes of Biomedical Innovation, Health and Nutrition, Osaka, Japan; Yasukata, J., Faculty of Sports and Health Science, Fukuoka University, Fukuoka, Japan; Higaki, Y., Faculty of Sports and Health Science, Fukuoka University, Fukuoka, Japan; Ohnishi, T., Japan Institute of Sports Sciences, Tokyo, Japan; Takahashi, H., Faculty of Health and Sport Sciences, University of Tsukuba, Ibaraki, Japan, Japan Institute of Sports Sciences, Tokyo, Japan; Yamada, Y., National Institute of Health and Nutrition, National Institutes of Biomedical Innovation, Health and Nutrition, Osaka, Japan","Sagayama, H.; Faculty of Health and Sport Sciences, Japan; email: sagayama.hiroyuki.ka@u.tsukuba.ac.jp",,"Elsevier B.V.",00223166,,JONUA,"37495114","English","J. Nutr.",Article,"Final","",Scopus,2-s2.0-85168363199
"Jung D.K., Tan S.T., Hemlock C., Mertens A.N., Stewart C.P., Rahman M.Z., Ali S., Raqib R., Grembi J.A., Karim M.R., Shahriar S., Roy A.K., Abdelrahman S., Shoab A.K., Famida S.L., Hossen M.S., Mutsuddi P., Akther S., Rahman M., Unicomb L., Hester L., Granger D.A., Erhardt J., Naved R.T., Al Mamun M.M., Parvin K., Colford J.M., Jr., Fernald L.C.H., Luby S.P., Dhabhar F.S., Lin A.","57218328215;57557025700;57218346741;57200410188;16426413600;57210956909;57202199063;55987308000;55345186200;55637831400;57221324414;57225168986;57323631500;57191892213;57202760202;57202758464;57202762227;57202761269;57706197000;7003809519;8237520600;57218489648;7004221251;6506307604;15758974500;57189456475;7004130553;6602092959;57226266310;7004209195;55567395400;","Micronutrient status during pregnancy is associated with child immune status in rural Bangladesh",2023,"Current Developments in Nutrition","7","8","101969","","",,,"10.1016/j.cdnut.2023.101969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166361749&doi=10.1016%2fj.cdnut.2023.101969&partnerID=40&md5=74f6a58fb2ff0eaee120798003f604e8","Division of Epidemiology and Biostatistics, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Division of Infectious Diseases and Geographic Medicine, Stanford University, Stanford, CA, United States; Institute for Global Nutrition, University of California Davis, Davis, CA, United States; Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Department of Medicine, University of Maryland, Baltimore, MD, United States; Institute for Interdisciplinary Salivary Bioscience Research, University of California Irvine, Irvine, CA, United States; VitMin Lab, Willstätt, Germany; Health System and Population Studies Division, icddr,b, Dhaka, Bangladesh; Division of Community Health Sciences, School of Public Health, University of California, Berkeley, Berkeley, CA, United States; Department of Psychiatry & Behavioral Sciences, Department of Microbiology and Immunology, Sylvester Comprehensive Cancer Center, Miller School of Medicine, University of Miami, Miami, FL, United States; Department of Microbiology and Environmental Toxicology, University of California, Santa Cruz, CA, United States","Jung, D.K., Division of Epidemiology and Biostatistics, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Tan, S.T., Division of Infectious Diseases and Geographic Medicine, Stanford University, Stanford, CA, United States; Hemlock, C., Division of Epidemiology and Biostatistics, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Mertens, A.N., Division of Epidemiology and Biostatistics, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Stewart, C.P., Institute for Global Nutrition, University of California Davis, Davis, CA, United States; Rahman, M.Z., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Ali, S., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Raqib, R., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Grembi, J.A., Division of Infectious Diseases and Geographic Medicine, Stanford University, Stanford, CA, United States; Karim, M.R., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Shahriar, S., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Roy, A.K., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Abdelrahman, S., Division of Epidemiology and Biostatistics, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Shoab, A.K., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Famida, S.L., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Hossen, M.S., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Mutsuddi, P., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Akther, S., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Rahman, M., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Unicomb, L., Environmental Interventions Unit, Infectious Diseases Division, icddr,b, Dhaka, 1212, Bangladesh; Hester, L., Department of Medicine, University of Maryland, Baltimore, MD, United States; Granger, D.A., Institute for Interdisciplinary Salivary Bioscience Research, University of California Irvine, Irvine, CA, United States; Erhardt, J., VitMin Lab, Willstätt, Germany; Naved, R.T., Health System and Population Studies Division, icddr,b, Dhaka, Bangladesh; Al Mamun, M.M., Health System and Population Studies Division, icddr,b, Dhaka, Bangladesh; Parvin, K., Health System and Population Studies Division, icddr,b, Dhaka, Bangladesh; Colford, J.M., Jr., Division of Epidemiology and Biostatistics, School of Public Health, University of California Berkeley, Berkeley, CA, United States; Fernald, L.C.H., Division of Community Health Sciences, School of Public Health, University of California, Berkeley, Berkeley, CA, United States; Luby, S.P., Division of Infectious Diseases and Geographic Medicine, Stanford University, Stanford, CA, United States; Dhabhar, F.S., Department of Psychiatry & Behavioral Sciences, Department of Microbiology and Immunology, Sylvester Comprehensive Cancer Center, Miller School of Medicine, University of Miami, Miami, FL, United States; Lin, A., Department of Microbiology and Environmental Toxicology, University of California, Santa Cruz, CA, United States","Lin, A.; Department of Microbiology and Environmental Toxicology, United States; email: audrielin@ucsc.edu",,"Elsevier B.V.",24752991,,,,"English","Curr. Dev. Nutr.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85166361749
"Olarte D.A., Tsai M.M., Chapman L., Hager E.R., Cohen J.F.W.","57432120600;57207244609;57194533330;7007157660;53877002200;","Alternative School Breakfast Service Models and Associations with Breakfast Participation, Diet Quality, Body Mass Index, Attendance, Behavior, and Academic Performance: A Systematic Review",2023,"Nutrients","15","13","2951","","",,,"10.3390/nu15132951","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164660104&doi=10.3390%2fnu15132951&partnerID=40&md5=3018023812020421cec8f34b92a1425c","Center for Health Inclusion, Research and Practice (CHIRP), Merrimack College, 315 Turnpike Street, North Andover, MA  01845, United States; Division of Epidemiology, School of Public Health, University of California Berkeley, 2121 Berkeley Way, Berkeley, CA  94704, United States; Department of Population, Family and Reproductive Health, Johns Hopkins Bloomberg School of Public Health, 615 N. Wolfe Street, Baltimore, MD  21205, United States; Department of Nutrition, Harvard T.H. Chan School of Public Health, Harvard University, 677 Huntington Avenue, Boston, MA  02115, United States","Olarte, D.A., Center for Health Inclusion, Research and Practice (CHIRP), Merrimack College, 315 Turnpike Street, North Andover, MA  01845, United States; Tsai, M.M., Division of Epidemiology, School of Public Health, University of California Berkeley, 2121 Berkeley Way, Berkeley, CA  94704, United States; Chapman, L., Center for Health Inclusion, Research and Practice (CHIRP), Merrimack College, 315 Turnpike Street, North Andover, MA  01845, United States; Hager, E.R., Department of Population, Family and Reproductive Health, Johns Hopkins Bloomberg School of Public Health, 615 N. Wolfe Street, Baltimore, MD  21205, United States; Cohen, J.F.W., Center for Health Inclusion, Research and Practice (CHIRP), Merrimack College, 315 Turnpike Street, North Andover, MA  01845, United States, Department of Nutrition, Harvard T.H. Chan School of Public Health, Harvard University, 677 Huntington Avenue, Boston, MA  02115, United States","Olarte, D.A.; Center for Health Inclusion, 315 Turnpike Street, United States; email: olarted@merrimack.edu",,"Multidisciplinary Digital Publishing Institute (MDPI)",20726643,,,"37447277","English","Nutrients",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85164660104
"Frank D.M., Bradshaw P.T., Mujahid M., Epel E., Lararia B.A.","58295486300;24330860600;12446049600;35416705700;57210970074;","Adolescent BMI trajectory and associations with adult metabolic syndrome and offspring obesity",2023,"Obesity","31","7",,"1924","1932",,,"10.1002/oby.23769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160615784&doi=10.1002%2foby.23769&partnerID=40&md5=8874c9452705fcbac781efaef323eda2","Division of Epidemiology, University of California, Berkeley, CA, United States; Department of Psychiatry, University of California, San Francisco, CA, United States; Division of Community Health Sciences, University of California, Berkeley, CA, United States","Frank, D.M., Division of Epidemiology, University of California, Berkeley, CA, United States; Bradshaw, P.T., Division of Epidemiology, University of California, Berkeley, CA, United States; Mujahid, M., Division of Epidemiology, University of California, Berkeley, CA, United States; Epel, E., Department of Psychiatry, University of California, San Francisco, CA, United States; Lararia, B.A., Division of Community Health Sciences, University of California, Berkeley, CA, United States","Frank, D.M.; Division of Epidemiology, 2121 Berkeley Way, #5302, United States; email: frank_darren@berkeley.edu",,"John Wiley and Sons Inc",19307381,,,"37231617","English","Obesity",Article,"Final","",Scopus,2-s2.0-85160615784
"Gopalakrishnan L., Diamond-Smith N., Acharya B., Puri M., Bertozzi S.M.","57208029536;25221215200;35387486100;16314266300;55993762800;","The relationship between the gendered norm of eating last and mental health of newly married women in Nepal: A longitudinal study",2023,"Maternal and Child Nutrition","19","3","e13508","","",,1,"10.1111/mcn.13508","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151918750&doi=10.1111%2fmcn.13508&partnerID=40&md5=08693c119b46862c9d50c357ad217e57","Department of Health Policy and Management, UC Berkeley, Berkeley, CA, United States; Institute of Global Health Sciences and Department of Epidemiology and Biostatistics, University of California, San Francisco, CA, United States; Department of Psychiatry, School of Medicine, UCSF Weill Institute for Neurosciences, San Francisco, CA, United States; Center for Research on Environment Health and Population Activities (CREHPA), Kathmandu, Nepal","Gopalakrishnan, L., Department of Health Policy and Management, UC Berkeley, Berkeley, CA, United States, Institute of Global Health Sciences and Department of Epidemiology and Biostatistics, University of California, San Francisco, CA, United States; Diamond-Smith, N., Institute of Global Health Sciences and Department of Epidemiology and Biostatistics, University of California, San Francisco, CA, United States; Acharya, B., Department of Psychiatry, School of Medicine, UCSF Weill Institute for Neurosciences, San Francisco, CA, United States; Puri, M., Center for Research on Environment Health and Population Activities (CREHPA), Kathmandu, Nepal; Bertozzi, S.M., Department of Health Policy and Management, UC Berkeley, Berkeley, CA, United States","Gopalakrishnan, L.; Institute of Global Health Sciences, 550 16th St, 3rd Floor, United States; email: lakshmi.gopalakrishnan2@ucsf.edu",,"John Wiley and Sons Inc",17408695,,,"36994887","English","Matern. Child Nutr.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85151918750
"Brooks S.J., Smith C., Stamoulis C.","57280821200;58169286300;6507795848;","Excess BMI in early adolescence adversely impacts maturating functional circuits supporting high-level cognition and their structural correlates",2023,"International Journal of Obesity","47","7",,"590","605",,,"10.1038/s41366-023-01303-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151569503&doi=10.1038%2fs41366-023-01303-7&partnerID=40&md5=d5ce8a1cdb4eace663edd8b287934eef","Boston Children’s Hospital, Department of Pediatrics, Division of Adolescent Medicine, Boston, MA, United States; University of California Berkeley, Helen Wills Neuroscience Institute, Berkeley, CA, United States; Harvard Medical School, Department of Pediatrics, Boston, MA, United States","Brooks, S.J., Boston Children’s Hospital, Department of Pediatrics, Division of Adolescent Medicine, Boston, MA, United States, University of California Berkeley, Helen Wills Neuroscience Institute, Berkeley, CA, United States; Smith, C., Boston Children’s Hospital, Department of Pediatrics, Division of Adolescent Medicine, Boston, MA, United States; Stamoulis, C., Boston Children’s Hospital, Department of Pediatrics, Division of Adolescent Medicine, Boston, MA, United States, Harvard Medical School, Department of Pediatrics, Boston, MA, United States","Stamoulis, C.; Boston Children’s Hospital, United States; email: caterina.stamoulis@childrens.harvard.edu",,"Springer Nature",03070565,,IJOBD,"37012426","English","Int. J. Obes.",Article,"Final","",Scopus,2-s2.0-85151569503
