Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Montealegre-Mora F., Lapeyrolerie M., Chapman M., Keller A.G., Boettiger C.","57219500721;57225952152;57214151829;57221352001;15753693500;","Pretty Darn Good Control: When are Approximate Solutions Better than Approximate Models",2023,"Bulletin of Mathematical Biology","85","10","95","","",,,"10.1007/s11538-023-01198-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169649409&doi=10.1007%2fs11538-023-01198-5&partnerID=40&md5=85ba507b4dda4d53fcf319f6ca31951b","University of California Berkeley, Berkeley, United States","Montealegre-Mora, F., University of California Berkeley, Berkeley, United States; Lapeyrolerie, M., University of California Berkeley, Berkeley, United States; Chapman, M., University of California Berkeley, Berkeley, United States; Keller, A.G., University of California Berkeley, Berkeley, United States; Boettiger, C., University of California Berkeley, Berkeley, United States","Boettiger, C.; University of California BerkeleyUnited States; email: cboettig@berkeley.edu",,"Springer",00928240,,BMTBA,"37665428","English","Bull. Math. Biol.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85169649409
"Hendricks J.M., Doubravsky C.E., Wehri E., Li Z., Roberts M.A., Deol K.K., Lange M., Lasheras-Otero I., Momper J.D., Dixon S.J., Bersuker K., Schaletzky J., Olzmann J.A.","57211786887;58080176100;57221349791;36673167600;57193083481;55927119600;58585877100;57215839965;37018543100;57201511153;35797901100;57507051500;6507190476;","Identification of structurally diverse FSP1 inhibitors that sensitize cancer cells to ferroptosis",2023,"Cell Chemical Biology","30","9",,"1090","1103.e7",,6,"10.1016/j.chembiol.2023.04.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162879046&doi=10.1016%2fj.chembiol.2023.04.007&partnerID=40&md5=eb3404fb9a650cc2050ba449e2927a6e","Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States; Department of Nutritional Sciences and Toxicology, University of California, Berkeley, Berkeley, CA  94720, United States; The Henry Wheeler Center for Emerging and Neglected Diseases, University of California, Berkeley, Berkeley, CA  94720, United States; Cancer Signaling Unit, Navarrabiomed, Hospital Universitario de Navarra (HUN), Universidad Pública de Navarra (UPNA), Pamplona, 31008, Spain; IdiSNA, Navarra Institute for Health Research, Pamplona, 31008, Spain; Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, La Jolla, CA  92093, United States; Department of Biology, Stanford University, Stanford, CA  94305, United States; Miller Institute for Basic Research in Science, University of California, Berkeley, Berkeley, CA  94720, United States; Chan Zuckerberg Biohub – San Francisco, San Francisco, CA  94158, United States","Hendricks, J.M., Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Nutritional Sciences and Toxicology, University of California, Berkeley, Berkeley, CA  94720, United States; Doubravsky, C.E., Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Nutritional Sciences and Toxicology, University of California, Berkeley, Berkeley, CA  94720, United States; Wehri, E., The Henry Wheeler Center for Emerging and Neglected Diseases, University of California, Berkeley, Berkeley, CA  94720, United States; Li, Z., Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Nutritional Sciences and Toxicology, University of California, Berkeley, Berkeley, CA  94720, United States; Roberts, M.A., Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Nutritional Sciences and Toxicology, University of California, Berkeley, Berkeley, CA  94720, United States; Deol, K.K., Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Nutritional Sciences and Toxicology, University of California, Berkeley, Berkeley, CA  94720, United States; Lange, M., Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Nutritional Sciences and Toxicology, University of California, Berkeley, Berkeley, CA  94720, United States; Lasheras-Otero, I., Cancer Signaling Unit, Navarrabiomed, Hospital Universitario de Navarra (HUN), Universidad Pública de Navarra (UPNA), Pamplona, 31008, Spain, IdiSNA, Navarra Institute for Health Research, Pamplona, 31008, Spain; Momper, J.D., Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, La Jolla, CA  92093, United States; Dixon, S.J., Department of Biology, Stanford University, Stanford, CA  94305, United States; Bersuker, K., Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Nutritional Sciences and Toxicology, University of California, Berkeley, Berkeley, CA  94720, United States; Schaletzky, J., The Henry Wheeler Center for Emerging and Neglected Diseases, University of California, Berkeley, Berkeley, CA  94720, United States; Olzmann, J.A., Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Nutritional Sciences and Toxicology, University of California, Berkeley, Berkeley, CA  94720, United States, Miller Institute for Basic Research in Science, University of California, Berkeley, Berkeley, CA  94720, United States, Chan Zuckerberg Biohub – San Francisco, San Francisco, CA  94158, United States","Schaletzky, J.; The Henry Wheeler Center for Emerging and Neglected Diseases, United States; email: jschaletzky@berkeley.edu
Olzmann, J.A.; Department of Molecular and Cell Biology, United States; email: olzmann@berkeley.edu",,"Elsevier Ltd",24519456,,,"37178691","English","Cell Chem. Biol.",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85162879046
"Hu Z., Zhang Y., Yu W., Li J., Yao J., Zhang J., Wang J., Wang C.","57751648200;57397001100;58303658300;58303121700;58304000800;57211485258;57222628825;56439088000;","Transient receptor potential ankyrin 1 (TRPA1) modulators: Recent update and future perspective",2023,"European Journal of Medicinal Chemistry","257",,"115392","","",,,"10.1016/j.ejmech.2023.115392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161039863&doi=10.1016%2fj.ejmech.2023.115392&partnerID=40&md5=cdc5560a6d4eb178f73eec7408e4b22f","Department of Pulmonary and Critical Care Medicine, Targeted Tracer Research and Development Laboratory, Institute of Respiratory Health, Frontiers Science Center for Disease-related Molecular Network, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China; Precision Medicine Key Laboratory of Sichuan Province & Precision Medicine Research Center, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China; College of Life Sciences, Sichuan University, Chengdu, 610064, China; College of Letters & Science, University of California, Berkeley, Berkeley, CA  94720, United States; Department of Pharmaceutical Sciences, College of Pharmacy, University of Tennessee Health Science Center, Memphis, TN  38163, United States","Hu, Z., Department of Pulmonary and Critical Care Medicine, Targeted Tracer Research and Development Laboratory, Institute of Respiratory Health, Frontiers Science Center for Disease-related Molecular Network, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China, Precision Medicine Key Laboratory of Sichuan Province & Precision Medicine Research Center, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China, College of Life Sciences, Sichuan University, Chengdu, 610064, China; Zhang, Y., Department of Pulmonary and Critical Care Medicine, Targeted Tracer Research and Development Laboratory, Institute of Respiratory Health, Frontiers Science Center for Disease-related Molecular Network, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China, Precision Medicine Key Laboratory of Sichuan Province & Precision Medicine Research Center, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China, College of Life Sciences, Sichuan University, Chengdu, 610064, China; Yu, W., College of Letters & Science, University of California, Berkeley, Berkeley, CA  94720, United States; Li, J., Department of Pulmonary and Critical Care Medicine, Targeted Tracer Research and Development Laboratory, Institute of Respiratory Health, Frontiers Science Center for Disease-related Molecular Network, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China, Precision Medicine Key Laboratory of Sichuan Province & Precision Medicine Research Center, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China; Yao, J., Department of Pulmonary and Critical Care Medicine, Targeted Tracer Research and Development Laboratory, Institute of Respiratory Health, Frontiers Science Center for Disease-related Molecular Network, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China, Precision Medicine Key Laboratory of Sichuan Province & Precision Medicine Research Center, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China, College of Life Sciences, Sichuan University, Chengdu, 610064, China; Zhang, J., Department of Pulmonary and Critical Care Medicine, Targeted Tracer Research and Development Laboratory, Institute of Respiratory Health, Frontiers Science Center for Disease-related Molecular Network, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China, Precision Medicine Key Laboratory of Sichuan Province & Precision Medicine Research Center, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China; Wang, J., Department of Pharmaceutical Sciences, College of Pharmacy, University of Tennessee Health Science Center, Memphis, TN  38163, United States; Wang, C., Department of Pulmonary and Critical Care Medicine, Targeted Tracer Research and Development Laboratory, Institute of Respiratory Health, Frontiers Science Center for Disease-related Molecular Network, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Sichuan, Chengdu, 610041, China","Wang, C.; Department of Pulmonary and Critical Care Medicine, Sichuan, China; email: chengdi_wang@scu.edu.cn",,"Elsevier Masson s.r.l.",02235234,,EJMCA,"37269667","English","Eur. J. Med. Chem.",Review,"Final","",Scopus,2-s2.0-85161039863
"Davidson A., Morisseau E., Li A., Joseph S., Johnson M.","58296532700;58296749900;58296750000;57888434000;58297410500;","Challenges in sample preparation for swellable core technology tablets: Approaches for the removal of polyethylene oxide and optimization of API recovery",2023,"Journal of Pharmaceutical and Biomedical Analysis","233",,"115492","","",,,"10.1016/j.jpba.2023.115492","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160786658&doi=10.1016%2fj.jpba.2023.115492&partnerID=40&md5=186bd096ea89e220b98b55b583184b91","Pfizer Global Research and Development, Eastern Point Road, Groton, CT  06340, United States; University of California, Berkeley, Department of Molecular and Cell Biology, 142 Weill Hall #3200, Berkeley, CA  94720-3200, United States; University of Connecticut Department of Chemistry, 55 N. Eagleville Road, U-3060, Storrs, CT  06269-3060, United States","Davidson, A., Pfizer Global Research and Development, Eastern Point Road, Groton, CT  06340, United States; Morisseau, E., Pfizer Global Research and Development, Eastern Point Road, Groton, CT  06340, United States; Li, A., University of California, Berkeley, Department of Molecular and Cell Biology, 142 Weill Hall #3200, Berkeley, CA  94720-3200, United States; Joseph, S., University of Connecticut Department of Chemistry, 55 N. Eagleville Road, U-3060, Storrs, CT  06269-3060, United States; Johnson, M., Pfizer Global Research and Development, Eastern Point Road, Groton, CT  06340, United States","Davidson, A.; Pfizer Global Research and Development, Eastern Point Road, United States; email: andrew.davidson@pfizer.com",,"Elsevier B.V.",07317085,,JPBAD,"37269578","English","J. Pharm. Biomed. Anal.",Article,"Final","",Scopus,2-s2.0-85160786658
"Popovitz J., Sharma R., Hoshyar R., Soo Kim B., Murthy N., Lee K.","57195836101;58590564700;18634171200;58535046000;35514354900;56185713500;","Gene editing therapeutics based on mRNA delivery",2023,"Advanced Drug Delivery Reviews","200",,"115026","","",,,"10.1016/j.addr.2023.115026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167834027&doi=10.1016%2fj.addr.2023.115026&partnerID=40&md5=213445bb26befd912d5d2093ab35cd1d","GenEdit, 681 Gateway Blvd., South San Francisco, CA  94080, United States; Department of Bioengineering, University of California, Berkeley, CA  94720, United States; Innovative Genomics Institute, 2151 Berkeley Way, Berkeley, CA  94704, United States","Popovitz, J., GenEdit, 681 Gateway Blvd., South San Francisco, CA  94080, United States; Sharma, R., Department of Bioengineering, University of California, Berkeley, CA  94720, United States, Innovative Genomics Institute, 2151 Berkeley Way, Berkeley, CA  94704, United States; Hoshyar, R., GenEdit, 681 Gateway Blvd., South San Francisco, CA  94080, United States; Soo Kim, B., GenEdit, 681 Gateway Blvd., South San Francisco, CA  94080, United States; Murthy, N., Department of Bioengineering, University of California, Berkeley, CA  94720, United States, Innovative Genomics Institute, 2151 Berkeley Way, Berkeley, CA  94704, United States; Lee, K., GenEdit, 681 Gateway Blvd., South San Francisco, CA  94080, United States","Murthy, N.; Department of Bioengineering, United States; email: nmurthy@berkeley.edu",,"Elsevier B.V.",0169409X,,ADDRE,"37516409","English","Adv. Drug Deliv. Rev.",Review,"Final","",Scopus,2-s2.0-85167834027
"Stahl E.C., Sabo J.K., Kang M.H., Allen R., Applegate E., Kim S.E., Kwon Y., Seth A., Lemus N., Salinas-Rios V., Soczek K.M., Trinidad M., Vo L.T., Jeans C., Wozniak A., Morris T., Kimberlin A., Foti T., Savage D.F., Doudna J.A.","55311549100;58345198300;58298844300;58298722400;58298223500;57221691690;58429060200;57218837259;58580246100;51664057300;57205111342;57222438653;55909182200;57202119686;58298472500;58298348200;55983530600;57210144983;7202012519;7006285665;","Genome editing in the mouse brain with minimally immunogenic Cas9 RNPs",2023,"Molecular Therapy","31","8",,"2422","2438",,,"10.1016/j.ymthe.2023.06.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166183881&doi=10.1016%2fj.ymthe.2023.06.019&partnerID=40&md5=c3e23eee2527a04aabe6e4a9ee4574c7","Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States; California Institute for Quantitative Biosciences (QB3), University of California, Berkeley, Berkeley, CA  94720, United States; Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States; Aldevron LLC, Madison, WI  53719, United States; Howard Hughes Medical Institute, University of California, Berkeley, Berkeley, CA  94720, United States; Department of Chemistry, University of California, Berkeley, Berkeley, CA  94720, United States; MBIB Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States; Gladstone Institutes, University of California, Berkeley, San Francisco, CA  94114, United States","Stahl, E.C., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States, California Institute for Quantitative Biosciences (QB3), University of California, Berkeley, Berkeley, CA  94720, United States, Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States; Sabo, J.K., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States; Kang, M.H., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States, Howard Hughes Medical Institute, University of California, Berkeley, Berkeley, CA  94720, United States; Allen, R., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States; Applegate, E., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States; Kim, S.E., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States; Kwon, Y., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States; Seth, A., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States; Lemus, N., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States; Salinas-Rios, V., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States; Soczek, K.M., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States, California Institute for Quantitative Biosciences (QB3), University of California, Berkeley, Berkeley, CA  94720, United States, Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States; Trinidad, M., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States; Vo, L.T., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States; Jeans, C., California Institute for Quantitative Biosciences (QB3), University of California, Berkeley, Berkeley, CA  94720, United States; Wozniak, A., Aldevron LLC, Madison, WI  53719, United States; Morris, T., Aldevron LLC, Madison, WI  53719, United States; Kimberlin, A., Aldevron LLC, Madison, WI  53719, United States; Foti, T., Aldevron LLC, Madison, WI  53719, United States; Savage, D.F., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States, Howard Hughes Medical Institute, University of California, Berkeley, Berkeley, CA  94720, United States; Doudna, J.A., Innovative Genomics Institute, University of California, Berkeley, Berkeley, CA  94720, United States, California Institute for Quantitative Biosciences (QB3), University of California, Berkeley, Berkeley, CA  94720, United States, Department of Molecular and Cell Biology, University of California, Berkeley, Berkeley, CA  94720, United States, Howard Hughes Medical Institute, University of California, Berkeley, Berkeley, CA  94720, United States, Department of Chemistry, University of California, Berkeley, Berkeley, CA  94720, United States, MBIB Division, Lawrence Berkeley National Laboratory, Berkeley, CA  94720, United States, Gladstone Institutes, University of California, Berkeley, San Francisco, CA  94114, United States","Doudna, J.A.; Innovative Genomics Institute, United States; email: doudna@berkeley.edu",,"Cell Press",15250016,,MTOHC,"37403358","English","Mol. Ther.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85166183881
"MacNair C.R., Tsai C.N., Rutherford S.T., Tan M.-W.","57192207887;57196053379;14024725000;7401464700;","Returning to Nature for the Next Generation of Antimicrobial Therapeutics",2023,"Antibiotics","12","8","1267","","",,,"10.3390/antibiotics12081267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169065827&doi=10.3390%2fantibiotics12081267&partnerID=40&md5=3a6664d1faf6e4ac5c2000e5ac5880f1","Department of Infectious Diseases, Genentech Inc, South San Francisco, CA  94080, United States; School of Law, University of California, Berkeley, Berkeley, CA  94704, United States","MacNair, C.R., Department of Infectious Diseases, Genentech Inc, South San Francisco, CA  94080, United States; Tsai, C.N., School of Law, University of California, Berkeley, Berkeley, CA  94704, United States; Rutherford, S.T., Department of Infectious Diseases, Genentech Inc, South San Francisco, CA  94080, United States; Tan, M.-W., Department of Infectious Diseases, Genentech Inc, South San Francisco, CA  94080, United States","Rutherford, S.T.; Department of Infectious Diseases, United States; email: rutherford.steven@gene.com
Tan, M.-W.; Department of Infectious Diseases, United States; email: tan.man-wah@gene.com",,"Multidisciplinary Digital Publishing Institute (MDPI)",20796382,,,,"English","Antibiotics",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85169065827
"Seidel J., Du Y., Devanathan R., Law R., Hu Z., Zill N.A., Iavarone A.T., Zhang W.","57210514614;57215203082;58533703900;58533304300;57211644523;57211399760;7003290369;55706399000;","Tag and Snag: A New Platform for Bioactive Natural Product Screening from Mixtures",2023,"Molecules","28","15","5726","","",,,"10.3390/molecules28155726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167749209&doi=10.3390%2fmolecules28155726&partnerID=40&md5=3a4984fb5bf81cedf0625cde6fcbb8f4","Department of Chemical and Biomolecular Engineering, University of California Berkeley, Berkeley, CA  94720-3220, United States; California Institute for Quantitative Biosciences (QB3), University of California Berkeley, Berkeley, CA  94720-3220, United States; QB3—Chemistry Mass Spectrometry Facility, University of California Berkeley, Berkeley, CA  94720-3220, United States","Seidel, J., Department of Chemical and Biomolecular Engineering, University of California Berkeley, Berkeley, CA  94720-3220, United States; Du, Y., Department of Chemical and Biomolecular Engineering, University of California Berkeley, Berkeley, CA  94720-3220, United States, California Institute for Quantitative Biosciences (QB3), University of California Berkeley, Berkeley, CA  94720-3220, United States; Devanathan, R., Department of Chemical and Biomolecular Engineering, University of California Berkeley, Berkeley, CA  94720-3220, United States; Law, R., Department of Chemical and Biomolecular Engineering, University of California Berkeley, Berkeley, CA  94720-3220, United States; Hu, Z., Department of Chemical and Biomolecular Engineering, University of California Berkeley, Berkeley, CA  94720-3220, United States, California Institute for Quantitative Biosciences (QB3), University of California Berkeley, Berkeley, CA  94720-3220, United States; Zill, N.A., Department of Chemical and Biomolecular Engineering, University of California Berkeley, Berkeley, CA  94720-3220, United States; Iavarone, A.T., California Institute for Quantitative Biosciences (QB3), University of California Berkeley, Berkeley, CA  94720-3220, United States, QB3—Chemistry Mass Spectrometry Facility, University of California Berkeley, Berkeley, CA  94720-3220, United States; Zhang, W., Department of Chemical and Biomolecular Engineering, University of California Berkeley, Berkeley, CA  94720-3220, United States, California Institute for Quantitative Biosciences (QB3), University of California Berkeley, Berkeley, CA  94720-3220, United States","Zhang, W.; Department of Chemical and Biomolecular Engineering, United States; email: wjzhang@berkeley.edu",,"Multidisciplinary Digital Publishing Institute (MDPI)",14203049,,MOLEF,"37570695","English","Molecules",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85167749209
"Kristina Wharton M., Balassone A., Thomas S., Treffers R., Paschall M.J., Lam L., Lipperman-Kreda S.","57208781068;57202745844;57211838136;55248079800;6603703866;58160199600;24080786100;","Covid-19 shelter-in-place, modified reopening orders, and order compliance impact on adolescent alcohol use and drinking contexts in California: A longitudinal analysis",2023,"Addictive Behaviors","143",,"107707","","",,,"10.1016/j.addbeh.2023.107707","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151026122&doi=10.1016%2fj.addbeh.2023.107707&partnerID=40&md5=203fcac3c9162666e2793c5c2a0dba5f","Prevention Research Center, Pacific Institute for Research and Evaluation, 2150 Shattuck St. Suite 601, Berkeley, CA  94704, United States; University of California – Berkeley, School of Public Health, Berkeley Way, Berkeley, CA  94704, United States; Pacific Institute for Research and Evaluation, National Capital Region Center 4061 Powder Mill Road, Suite 350, Beltsville, MD  20705, United States","Kristina Wharton, M., Prevention Research Center, Pacific Institute for Research and Evaluation, 2150 Shattuck St. Suite 601, Berkeley, CA  94704, United States, University of California – Berkeley, School of Public Health, Berkeley Way, Berkeley, CA  94704, United States; Balassone, A., Prevention Research Center, Pacific Institute for Research and Evaluation, 2150 Shattuck St. Suite 601, Berkeley, CA  94704, United States; Thomas, S., Pacific Institute for Research and Evaluation, National Capital Region Center 4061 Powder Mill Road, Suite 350, Beltsville, MD  20705, United States; Treffers, R., Pacific Institute for Research and Evaluation, National Capital Region Center 4061 Powder Mill Road, Suite 350, Beltsville, MD  20705, United States; Paschall, M.J., Prevention Research Center, Pacific Institute for Research and Evaluation, 2150 Shattuck St. Suite 601, Berkeley, CA  94704, United States; Lam, L., Prevention Research Center, Pacific Institute for Research and Evaluation, 2150 Shattuck St. Suite 601, Berkeley, CA  94704, United States; Lipperman-Kreda, S., Prevention Research Center, Pacific Institute for Research and Evaluation, 2150 Shattuck St. Suite 601, Berkeley, CA  94704, United States","Kristina Wharton, M.; Prevention Research Center, 2150 Shattuck St. Suite 601, United States; email: mwharton@prev.org",,"Elsevier Ltd",03064603,,ADBED,"36989700","English","Addict. Behav.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85151026122
"Liu J., Yin H., Tang X., Zhu T., Zhang Q., Liu Z., Tang X., Yi H.","57214238865;57221248526;57189602295;57218260036;55624487711;57196426525;15078647800;57684120400;","Corrigendum to ‘Transition in air pollution, disease burden and health cost in China: A comparative study of long-term and short-term exposure’ [Environmental Pollution 277 (2021) Start page 4–End page 4/116770] (Environmental Pollution (2021) 277, (S026974912100350X), (10.1016/j.envpol.2021.116770))",2023,"Environmental Pollution","329",,"121714","","",,,"10.1016/j.envpol.2023.121714","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153482732&doi=10.1016%2fj.envpol.2023.121714&partnerID=40&md5=26844f48681266e3cf666464e272fe7f","Department of Environmental Engineering, School of Energy and Environmental Engineering, University of Science and Technology Beijing, Beijing, 100083, China; Beijing Key Laboratory of Resource-oriented Treatment of Industrial Pollutants, University of Science and Technology Beijing, Beijing, 100083, China; Ministry of Education Key Laboratory for Earth System Modeling, Department of Earth System Science, Tsinghua University, Beijing, 100084, China; School of Population and Public Health, The University of British Columbia, Vancouver, BC, Canada; Energy and Resources Group, University of California, Berkeley, CA, United States; State Key Laboratory of Atmospheric Boundary Physics and Atmospheric Chemistry, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, 100029, China; State Key Joint Laboratory of Environmental Simulation and Pollution Control, College of Environmental Sciences and Engineering, Peking University, Beijing, 100871, China","Liu, J., Department of Environmental Engineering, School of Energy and Environmental Engineering, University of Science and Technology Beijing, Beijing, 100083, China, Beijing Key Laboratory of Resource-oriented Treatment of Industrial Pollutants, University of Science and Technology Beijing, Beijing, 100083, China, Ministry of Education Key Laboratory for Earth System Modeling, Department of Earth System Science, Tsinghua University, Beijing, 100084, China; Yin, H., Ministry of Education Key Laboratory for Earth System Modeling, Department of Earth System Science, Tsinghua University, Beijing, 100084, China, School of Population and Public Health, The University of British Columbia, Vancouver, BC, Canada, Energy and Resources Group, University of California, Berkeley, CA, United States; Tang, X., State Key Laboratory of Atmospheric Boundary Physics and Atmospheric Chemistry, Institute of Atmospheric Physics, Chinese Academy of Sciences, Beijing, 100029, China; Zhu, T., State Key Joint Laboratory of Environmental Simulation and Pollution Control, College of Environmental Sciences and Engineering, Peking University, Beijing, 100871, China; Zhang, Q., Ministry of Education Key Laboratory for Earth System Modeling, Department of Earth System Science, Tsinghua University, Beijing, 100084, China; Liu, Z., Ministry of Education Key Laboratory for Earth System Modeling, Department of Earth System Science, Tsinghua University, Beijing, 100084, China; Tang, X., Department of Environmental Engineering, School of Energy and Environmental Engineering, University of Science and Technology Beijing, Beijing, 100083, China, Beijing Key Laboratory of Resource-oriented Treatment of Industrial Pollutants, University of Science and Technology Beijing, Beijing, 100083, China; Yi, H., Department of Environmental Engineering, School of Energy and Environmental Engineering, University of Science and Technology Beijing, Beijing, 100083, China, Beijing Key Laboratory of Resource-oriented Treatment of Industrial Pollutants, University of Science and Technology Beijing, Beijing, 100083, China","Yi, H.; Department of Environmental Engineering, China; email: yihonghong@tsinghua.org.cn",,"Elsevier Ltd",02697491,,ENPOE,,"English","Environ. Pollut.",Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-85153482732
